"TOWNSHIP CON LOT","UTM","DATE CNTR","CASING DIA","WATER","PUMP TEST","WELL USE","SCREEN","WELL","FORMATION"
"   ","18 445317 5025560 W","2008-03 7241","2.04 ","","","MT ","0005 25 ","7104280 (Z80997) A056001","BLCK LOAM SOFT  DRY 0002 BRWN SAND SILT SOFT 0008 GREY CLAY SILT SOFT 0020 GREY SILT CLAY SAND 0030 "
"   ","18 443941 5019097 W","2006-10 6907","","","","","","7038102 (Z50978) A045486",""
"   ","18 414476 5039853 W","2007-09 6574","5.98 5.51 ","FR 0030 ","10/19/10/1:","DO ","0026 4  ","7103359 (Z42174) A037746","BLCK LOAM 0002 BRWN SAND FSND 0016 BRWN MSND 0033 "
"   ","18 414054 5008519 W","2007-09 4879","6.25 ","UK 0102 UK 0144 ","76/86/12/1:0","DO ","","7103355 (Z60206) A060101","BRWN SAND STNS 0001 GREY LMSN LMSN 0118 GREY LMSN SNDS LYRD 0170 "
"   ","18 401198 5033104 W","2008-01 4879","6.25 ","UK 0038 ","4/30/5/1:0","DO ","","7103354 (Z60072) A060071","BRWN SAND FILL 0001 BRWN SAND STNS 0004 WHIT DLMT FCRD 0005 WHIT DLMT 0038 GREY GRNT LYRD 0195 "
"   ","18 413746 5035579 W","2008-02 4879","6.25 ","UK 0192 ","16/27/12/1:0","DO ","","7103351 (Z60073) A060070","BRWN CLAY FILL 0003 BRWN CLAY DNSE 0013 GREY CLAY SOFT 0045 GREY CLAY SILT 0073 GREY CLAY SOFT 0103 GREY SAND 0123 BRWN LMSN 0192 GREY GRNT 0219 "
"   ","18 437479 5006790 W","2006-11 6907","","","","","","7038100 (Z50981) A045490",""
"   ","18 471236 5025315 W","2007-10 6667","","","","DO ","","7103318 (Z63265) A061289",""
"   ","18 439452 5009032 W","2007-05 6964","2.04 ","","","","0124 10 ","7044290 (Z34847) A035404",""
"   ","18 432325 5008674 W","2006-10 6907","","","","","","7038103 (Z50977) A045485",""
"   ","18 432190 5011534 W","2006-10 6907","","","","","","7038101 (Z50980) A045487",""
"   ","18 445303 5025534 W","2008-03 7241","2.04 ","","","MT ","0005 25 ","7104279 (Z92137) A039294","BLCK LOAM SOFT  DRY 0002 BRWN SAND SILT SOFT 0008 GREY CLAY SILT SOFT 0020 GREY SILT CLAY SAND 0030 "
"   ","18 424058 5034652 W","2006-10 6907","","","","","","7038104 (Z50975) A017509",""
"   ","18 462432 5037724 W","2008-04 6964","","","","","","7105072 (M00810) A032167 A",""
"    ","","2006-05 6894","","","","","","1536378 (Z45502)  A",""
"   ","18 444926 5019218 W","2006-09 6907","","","","","","7038106 (Z50974) A017500",""
"   ","18 457875 5033769 W","2008-10 7241","1.36 ","","","MT ","0018 2  ","7114847 (M00484) A075477","BRWN GRVL SAND DNSE 0003 BRWN SAND SILT SOFT 0010 BRWN SAND SILT SOFT 0012 GREY CLAY SILT WBRG 0020 "
"   ","18 444335 5019376 W","2006-09 6907","","","","","","7038107 (Z50979) A017510",""
"   ","18 413506 5038551 W","2006-10 6907","","","","","","7038105 (Z50976) A017508",""
"   ","18 445341 5025575 W","2008-03 7241","2.04 ","","","MT ","0003 12 ","7104281 (Z80998) A055999","BLCK LOAM SOFT  DRY 0002 BRWN SAND FILL SOFT 0005  DRY GREY CLAY SILT SOFT 0015 WBRG "
