CODE,DES,prn,Comment,Start_dttm,End_dttm
0,,,,2007-05-15 00:00:00,
1,Domestic,DO,,1970-01-01 00:00:00,
2,Livestock,ST,,1970-01-01 00:00:00,
3,Irrigation,IR,,1970-01-01 00:00:00,
4,Industrial,IN,,1970-01-01 00:00:00,
5,Commerical,CO,,1970-01-01 00:00:00,
6,Municipal,MN,,1970-01-01 00:00:00,
7,Public,PS,,1970-01-01 00:00:00,
8,Cooling And A/C,AC,,1970-01-01 00:00:00,
9,Not Used,NU,,1970-01-01 00:00:00,
A,Other,OT,,2007-05-15 00:00:00,
B,Test Hole,TH,,2007-05-15 00:00:00,
C,Dewatering,DE,,2007-05-15 00:00:00,
D,Monitoring,MO,,2007-05-15 00:00:00,
E,Monitoring and Test Hole,MT,,2014-01-23 00:00:00,
