CODE,DES,prn,Comment,Start_dttm,End_dttm
0,Not Known,,,1970-01-01 00:00:00,
1,Cable Tool,,,1970-01-01 00:00:00,
2,Rotary (Convent.),,,1970-01-01 00:00:00,
3,Rotary (Reverse),,,1970-01-01 00:00:00,
4,Rotary (Air),,,1970-01-01 00:00:00,
5,Air Percussion,,,1970-01-01 00:00:00,
6,Boring,,,1970-01-01 00:00:00,
7,Diamond,,,1970-01-01 00:00:00,
8,Jetting,,,1970-01-01 00:00:00,
9,Driving,,,1970-01-01 00:00:00,
A,Digging,,,1970-01-01 00:00:00,
B,Other Method,,,1970-01-01 00:00:00,
C,TBD,,,2008-04-24 00:00:00,
D,Direct Push,,,2008-04-24 00:00:00,
E,Auger,,,2008-04-24 00:00:00,
F,H.S.A.,,,2008-04-24 00:00:00,
G,S.S.A.,,,2008-04-24 00:00:00,
H,Geoprobe,,,2008-04-24 00:00:00,
I,Sonic,,,2008-04-24 00:00:00,
