CODE,DES,prn,Comment,Start_dttm,End_dttm
0,,,,2007-05-15 00:00:00,
1,Water Supply,SUP,Both,1970-01-01 00:00:00,
2,Observation Wells,OBS,Both,1970-01-01 00:00:00,
3,Test Hole,TST,Both,1970-01-01 00:00:00,
4,Recharge Well,RCH,Both,1970-01-01 00:00:00,
5,Abandoned-Supply,ABS,Both,1970-01-01 00:00:00,
6,Abandoned-Quality,ABQ,Both,1970-01-01 00:00:00,
7,Unfinished,UFN,Old,1970-01-01 00:00:00,
8,Not A Well,NAW,Old,1970-01-01 00:00:00,
9,Dewatering,DEW,Both,1970-01-01 00:00:00,
A,Abandoned-Other,ABO,Both,1970-01-01 00:00:00,
B,Replacement Well,REP,Both,1970-01-01 00:00:00,
C,Alteration,ALT,New,2007-05-15 00:00:00,
D,Other Status,OTH,New,2007-05-15 00:00:00,
E,Monitoring and Test Hole,MON,New,2014-01-23 00:00:00,
F,Abandoned Monitoring and Test Hole,ABM,New,2015-09-24 13:44:05,
