CODE,DES,ABBREV
00,UNKNOWN TYPE,UNKN
01,FILL,FILL
02,TOPSOIL,LOAM
03,MUCK,MUCK
04,PEAT,PEAT
05,CLAY,CLAY
06,SILT,SILT
07,QUICKSAND,QSND
08,FINE SAND,FSND
09,MEDIUM SAND,MSND
10,COARSE SAND,CSND
11,GRAVEL,GRVL
12,STONES,STNS
13,BOULDERS,BLDR
14,HARDPAN,HPAN
15,LIMESTONE,LMSN
16,DOLOMITE,DLMT
17,SHALE,SHLE
18,SANDSTONE,SNDS
19,SLATE,SLTE
20,QUARTZITE,QRTZ
21,GRANITE,GRNT
22,GREENSTONE,GRSN
23,PREVIOUSLY DUG,PRDG
24,PREV. DRILLED,PRDR
25,OVERBURDEN,OBDN
26,ROCK,ROCK
27,OTHER,----
28,SAND,SAND
29,FINE GRAVEL,FGVL
30,MEDIUM GRAVEL,MGVL
31,COARSE GRAVEL,CGVL
32,PEA GRAVEL,PGVL
33,MARL,MARL
34,TILL,TILL
35,WOOD FRAGMENTS,WDFR
36,BASALT,BSLT
37,CHERT,CHRT
38,CONGLOMERATE,CONG
39,FELDSPAR,FLDS
40,FLINT,FLNT
41,GNEISS,GNIS
42,GREYWACKE,GRWK
43,GYPSUM,GYPS
44,IRON FORMATION,IRFM
45,MARBLE,MRBL
46,QUARTZ, QTZ
47,SCHIST,SHST
48,SOAPSTONE,SPST
60,CEMENTED,CMTD
61,CLAYEY,CLYY
62,CLEAN, CLN
63,COARSE-GRAINED,CGRD
64,CRYSTALLINE,CRYS
65,DARK-COLOURED,DKCL
66,DENSE,DNSE
67,DIRTY,DRTY
68,DRY, DRY
69,FINE-GRAINED,FGRD
70,FOSILIFEROUS,FOSS
71,FRACTURED,FCRD
72,GRAVELLY,GVLY
73,HARD,HARD
74,LAYERED,LYRD
75,LIGHT-COLOURED,LTCL
76,LIMY,LIMY
77,LOOSE,LOOS
78,MEDIUM-GRAINED,MGRD
79,PACKED,PCKD
80,POROUS,PORS
81,SANDY,SNDY
82,SHALY,SHLY
83,SHARP,SHRP
84,SILTY,SLTY
85,SOFT,SOFT
86,STICKY,STKY
87,STONEY,STNY
88,THICK,THIK
89,THIN,THIN
90,VERY,VERY
91,WATER-BEARING,WBRG
92,WEATHERED,WTHD
