"BORE_HOLE_ID","WELL_ID","DP2BR","CODEOB","OPEN_HOLE","DATE_COMPLETED","Remarks","ZONE","EAST83","NORTH83","UTMRC","LOCATION_METHOD","ORGCS","ELEVATION","ELEVRC","LOCATION_SOURCE_DATE","SOURCE_REVISION_COMMENT","IMPROVEMENT_LOCATION_SOURCE","IMPROVEMENT_LOCATION_METHOD","SUPPLIER_COMMENT","SPATIAL_STATUS","CLUSTER_KIND"
1006182672,"1303505",,,,2/26/1986 0:00:00,"",,,,"9","wwr","UTM83",,"",,,,,,,
10022046,"1500001",,,,7/12/1950 0:00:00,"",18,447730.7,5031642,"5","p5",,,"",,,,,,,
10022047,"1500002",,,,12/20/1951 0:00:00,"",18,447730.7,5031642,"5","p5",,,"",,,,,,,
10022048,"1500003",,,,8/8/1958 0:00:00,"",18,452630.7,5032862,"9","p9",,,"",,,,,,,
10022049,"1500004",,,,6/14/1959 0:00:00,"",18,448500.7,5031612,"5","p5",,,"",,,,,,,
10022050,"1500005",,,,4/15/1964 0:00:00,"",18,448130.7,5032162,"5","p5",,,"",,,,,,,
10022051,"1500006",,,,6/27/1957 0:00:00,"",18,401340.4,5021282,"5","p5",,,"",,,,,,,
10022052,"1500007",,,,4/14/1959 0:00:00,"",18,402145.4,5021787,"5","p5",,,"",,,,,,,
10022053,"1500008",,,,6/10/1958 0:00:00,"",18,401120.4,5021492,"9","p9",,,"",,,,,,,
10022054,"1500009",,,,2/18/1959 0:00:00,"",18,401845.4,5022372,"5","p5",,,"",,,,,,,
10022055,"1500010",,,,12/17/1965 0:00:00,"",18,401440.4,5022342,"5","p5",,,"",,,,,,,
10022056,"1500011",,,,6/5/1959 0:00:00,"",18,400905.4,5022672,"5","p5",,,"",,,,,,,
10022057,"1500012",,,,12/18/1950 0:00:00,"",18,399550.4,5023582,"9","p9",,,"",,,,,,,
10022058,"1500013",,,,5/15/1957 0:00:00,"",18,399230.4,5023702,"5","p5",,,"",,,,,,,
10022059,"1500014",,,,1/5/1961 0:00:00,"",18,399420.4,5023697,"5","p5",,,"",,,,,,,
10022060,"1500015",,,,12/20/1950 0:00:00,"",18,399080.4,5024122,"5","p5",,,"",,,,,,,
10022061,"1500016",,,,7/12/1955 0:00:00,"",18,399060.4,5025527,"5","p5",,,"",,,,,,,
10022062,"1500017",,,,11/22/1960 0:00:00,"",18,397270.4,5025673,"5","p5",,,"",,,,,,,
10022063,"1500018",,,,3/25/1961 0:00:00,"",18,396880.4,5026583,"5","p5",,,"",,,,,,,
10022064,"1500019",,,,11/16/1961 0:00:00,"",18,396920.4,5026123,"5","p5",,,"",,,,,,,
10022065,"1500020",,,,6/15/1952 0:00:00,"",18,396815.4,5027948,"9","p9",,,"",,,,,,,
10022066,"1500021",,,,6/17/1952 0:00:00,"",18,396815.4,5027948,"9","p9",,,"",,,,,,,
10022067,"1500022",,,,6/16/1952 0:00:00,"",18,396815.4,5027948,"9","p9",,,"",,,,,,,
10022068,"1500023",,,,6/18/1952 0:00:00,"",18,396880.5,5028023,"9","p9",,,"",,,,,,,
10022069,"1500024",,,,7/14/1955 0:00:00,"",18,396550.4,5027422,"5","p5",,,"",,,,,,,
10022070,"1500025",,,,5/27/1957 0:00:00,"",18,397030.4,5027638,"5","p5",,,"",,,,,,,
10022071,"1500026",,,,4/23/1965 0:00:00,"",18,396380.4,5028147,"5","p5",,,"",,,,,,,
10022072,"1500027",,,,10/13/1960 0:00:00,"",18,395290.4,5028047,"5","p5",,,"",,,,,,,
10022073,"1500028",,,,2/28/1950 0:00:00,"",18,395165.4,5029943,"9","p9",,,"",,,,,,,
10022074,"1500029",,,,9/12/1963 0:00:00,"",18,394980.4,5029472,"5","p5",,,"",,,,,,,
10022075,"1500030",,,,9/4/1967 0:00:00,"",18,394630.4,5028872,"5","p5",,,"",,,,,,,
10022076,"1500031",,,,6/2/1958 0:00:00,"",18,406620.5,5019287,"5","p5",,,"",,,,,,,
10022077,"1500032",,,,11/20/1964 0:00:00,"",18,406630.5,5018972,"5","p5",,,"",,,,,,,
10022078,"1500033",,,,11/1/1961 0:00:00,"",18,405430.5,5020447,"5","gis",,,"",,,,,,,
10022079,"1500034",,,,3/16/1962 0:00:00,"",18,404380.5,5020547,"5","p5",,,"",,,,,,,
10022080,"1500035",,,,12/15/1960 0:00:00,"",18,404690.5,5021222,"5","p5",,,"",,,,,,,
10022081,"1500036",,,,9/13/1962 0:00:00,"",18,404380.5,5021547,"5","p5",,,"",,,,,,,
10022082,"1500037",,,,4/24/1959 0:00:00,"",18,403065.4,5021222,"5","p5",,,"",,,,,,,
10022083,"1500038",,,,3/3/1962 0:00:00,"",18,404065.5,5021687,"5","p5",,,"",,,,,,,
10022084,"1500039",,,,6/5/1962 0:00:00,"",18,419680.6,5021792,"5","p5",,,"",,,,,,,
10022085,"1500040",,,,12/30/1960 0:00:00,"",18,401895.5,5024347,"5","p5",,,"",,,,,,,
10022086,"1500041",,,,8/22/1963 0:00:00,"",18,400920.4,5023687,"5","p5",,,"",,,,,,,
10022087,"1500042",,,,6/17/1957 0:00:00,"",18,419010.5,5021692,"9","p9",,,"",,,,,,,
10022088,"1500043",,,,11/20/1962 0:00:00,"",18,398320.5,5027783,"5","p5",,,"",,,,,,,
10022089,"1500044",,,,4/15/1961 0:00:00,"",18,397930.5,5028933,"5","p5",,,"",,,,,,,
10022090,"1500045",,,,6/18/1952 0:00:00,"",18,396930.5,5028173,"9","p9",,,"",,,,,,,
10022091,"1500046",,,,6/2/1959 0:00:00,"",18,397780.5,5028648,"5","p5",,,"",,,,,,,
10022092,"1500047",,,,7/4/1955 0:00:00,"",18,397220.5,5027803,"5","p5",,,"",,,,,,,
10022093,"1500048",,,,10/29/1960 0:00:00,"",18,397120.5,5027898,"5","p5",,,"",,,,,,,
