"CASING_ID","PIPE_ID","WELL_ID","LAYER","MATERIAL","DEPTH_FROM","DEPTH_TO","CASING_DIAMETER","CASING_DIAMETER_UOM","CASING_DEPTH_UOM"
930037038,10570616,"1500001",1,"1",,15.00,8.00,"inch","ft"
930037039,10570616,"1500001",2,"4",,197.00,8.00,"inch","ft"
930037040,10570617,"1500002",1,"1",,191.00,8.00,"inch","ft"
930037041,10570617,"1500002",2,"4",,742.00,4.00,"inch","ft"
930037042,10570618,"1500003",1,"1",,13.00,5.00,"inch","ft"
930037043,10570618,"1500003",2,"4",,110.00,5.00,"inch","ft"
930037044,10570619,"1500004",1,"1",,60.00,2.00,"inch","ft"
930037045,10570619,"1500004",2,"4",,400.00,2.00,"inch","ft"
930037046,10570620,"1500005",1,"1",,14.00,6.00,"inch","ft"
930037047,10570620,"1500005",2,"4",,190.00,6.00,"inch","ft"
930037049,10570621,"1500006",2,"4",,205.00,5.00,"inch","ft"
930037048,10570621,"1500006",1,"1",,64.00,5.00,"inch","ft"
930037050,10570622,"1500007",1,"1",,70.00,5.00,"inch","ft"
930037051,10570622,"1500007",2,"4",,102.00,5.00,"inch","ft"
930037052,10570623,"1500008",1,"1",,30.00,2.00,"inch","ft"
930037053,10570623,"1500008",2,"4",,160.00,2.00,"inch","ft"
930037054,10570624,"1500009",1,"1",,32.00,5.00,"inch","ft"
930037055,10570624,"1500009",2,"4",,70.00,5.00,"inch","ft"
930037056,10570625,"1500010",1,"1",,150.00,5.00,"inch","ft"
930037057,10570625,"1500010",2,"4",,326.00,5.00,"inch","ft"
930037058,10570626,"1500011",1,"1",,159.00,5.00,"inch","ft"
930037059,10570626,"1500011",2,"4",,191.00,5.00,"inch","ft"
930037062,10570627,"1500012",3,"4",,80.00,4.00,"inch","ft"
930037060,10570627,"1500012",1,"1",,10.00,4.00,"inch","ft"
930037061,10570627,"1500012",2,,,16.00,4.00,"inch","ft"
930037063,10570628,"1500013",1,"1",,82.00,5.00,"inch","ft"
930037064,10570628,"1500013",2,"4",,164.00,5.00,"inch","ft"
930037065,10570629,"1500014",1,"1",,118.00,6.00,"inch","ft"
930037066,10570629,"1500014",2,"4",,187.00,6.00,"inch","ft"
930037067,10570630,"1500015",1,"1",,25.00,4.00,"inch","ft"
930037068,10570630,"1500015",2,"4",,161.00,4.00,"inch","ft"
930037070,10570631,"1500016",2,,,186.00,4.00,"inch","ft"
930037069,10570631,"1500016",1,"1",,20.00,4.00,"inch","ft"
930037072,10570632,"1500017",2,"4",,124.00,6.00,"inch","ft"
930037071,10570632,"1500017",1,"1",,98.00,6.00,"inch","ft"
930037073,10570633,"1500018",1,"1",,86.00,4.00,"inch","ft"
930037074,10570633,"1500018",2,"4",,122.00,4.00,"inch","ft"
930037075,10570634,"1500019",1,,,1.00,,"inch","ft"
930037076,10570634,"1500019",2,"1",,130.00,6.00,"inch","ft"
930037077,10570635,"1500020",1,,,,5.00,"inch","ft"
930037078,10570636,"1500021",1,,,,5.00,"inch","ft"
930037079,10570637,"1500022",1,,,,5.00,"inch","ft"
930037080,10570638,"1500023",1,,,,5.00,"inch","ft"
930037081,10570639,"1500024",1,"1",,14.00,4.00,"inch","ft"
930037082,10570639,"1500024",2,,,166.00,4.00,"inch","ft"
930037083,10570640,"1500025",1,"1",,157.00,5.00,"inch","ft"
930037084,10570640,"1500025",2,"4",,255.00,5.00,"inch","ft"
930037086,10570641,"1500026",2,"4",,245.00,6.00,"inch","ft"
930037085,10570641,"1500026",1,"1",,187.00,6.00,"inch","ft"
930037088,10570642,"1500027",2,"4",,258.00,5.00,"inch","ft"
930037087,10570642,"1500027",1,"1",,200.00,5.00,"inch","ft"
930037089,10570643,"1500028",1,"1",,70.00,3.00,"inch","ft"
930037090,10570643,"1500028",2,"4",,200.00,3.00,"inch","ft"
930037091,10570644,"1500029",1,"1",,40.00,6.00,"inch","ft"
930037092,10570644,"1500029",2,"4",,80.00,6.00,"inch","ft"
930037093,10570645,"1500030",1,"1",,202.00,6.00,"inch","ft"
930037094,10570646,"1500031",1,"1",,12.00,5.00,"inch","ft"
930037095,10570646,"1500031",2,"4",,100.00,5.00,"inch","ft"
930037097,10570647,"1500032",2,"4",,176.00,6.00,"inch","ft"
930037096,10570647,"1500032",1,"1",,16.00,6.00,"inch","ft"
930037098,10570648,"1500033",1,"1",,33.00,6.00,"inch","ft"
930037099,10570648,"1500033",2,"4",,114.00,6.00,"inch","ft"
930037100,10570649,"1500034",1,"1",,92.00,6.00,"inch","ft"
930037101,10570649,"1500034",2,"4",,242.00,6.00,"inch","ft"
930037102,10570650,"1500035",1,"1",,94.00,4.00,"inch","ft"
930037103,10570650,"1500035",2,"4",,290.00,4.00,"inch","ft"
930037104,10570651,"1500036",1,"1",,170.00,6.00,"inch","ft"
930037105,10570651,"1500036",2,"4",,326.00,6.00,"inch","ft"
930037106,10570652,"1500037",1,"1",,11.00,5.00,"inch","ft"
930037107,10570652,"1500037",2,"4",,115.00,5.00,"inch","ft"
930037108,10570653,"1500038",1,"1",,200.00,6.00,"inch","ft"
930037109,10570653,"1500038",2,"4",,268.00,6.00,"inch","ft"
930037110,10570654,"1500039",1,"1",,97.00,5.00,"inch","ft"
930037111,10570654,"1500039",2,"4",,163.00,5.00,"inch","ft"
930037113,10570655,"1500040",2,"4",,158.00,6.00,"inch","ft"
930037112,10570655,"1500040",1,"1",,98.00,6.00,"inch","ft"
930037114,10570656,"1500041",1,"1",,134.00,6.00,"inch","ft"
930037115,10570656,"1500041",2,"4",,244.00,6.00,"inch","ft"
930037116,10570657,"1500042",1,"1",,75.00,4.00,"inch","ft"
930037118,10570658,"1500043",2,,,271.00,6.00,"inch","ft"
930037117,10570658,"1500043",1,"1",,269.00,6.00,"inch","ft"
930037120,10570659,"1500044",2,"4",,327.00,6.00,"inch","ft"
930037119,10570659,"1500044",1,"1",,265.00,6.00,"inch","ft"
930037121,10570660,"1500045",1,"1",,10.00,4.00,"inch","ft"
930037122,10570661,"1500046",1,"1",,164.00,5.00,"inch","ft"
930037123,10570661,"1500046",2,"4",,196.00,5.00,"inch","ft"
930037124,10570662,"1500047",1,"1",,280.00,3.00,"inch","ft"
930037125,10570662,"1500047",2,"4",,320.00,3.00,"inch","ft"
930037126,10570663,"1500048",1,"1",,198.00,6.00,"inch","ft"
930037127,10570663,"1500048",2,"4",,268.00,6.00,"inch","ft"
930037129,10570664,"1500049",2,"4",,185.00,4.00,"inch","ft"
930037128,10570664,"1500049",1,"1",,181.00,6.00,"inch","ft"
930037130,10570665,"1500050",1,"1",,95.00,3.00,"inch","ft"
930037131,10570665,"1500050",2,"4",,190.00,3.00,"inch","ft"
930037132,10570666,"1500051",1,"1",,95.00,6.00,"inch","ft"
930037133,10570666,"1500051",2,"4",,207.00,6.00,"inch","ft"
930037134,10570667,"1500052",1,"1",,41.00,5.00,"inch","ft"
930037135,10570667,"1500052",2,"4",,110.00,5.00,"inch","ft"
930037136,10570668,"1500053",1,"1",,30.00,6.00,"inch","ft"
930037137,10570668,"1500053",2,"4",,60.00,6.00,"inch","ft"
930037138,10570669,"1500054",1,"1",,40.00,5.00,"inch","ft"
930037139,10570669,"1500054",2,"4",,89.00,5.00,"inch","ft"
930037140,10570670,"1500055",1,"1",,42.00,6.00,"inch","ft"
930037141,10570670,"1500055",2,"4",,68.00,6.00,"inch","ft"
930037142,10570671,"1500056",1,"1",,29.00,2.00,"inch","ft"
930037143,10570671,"1500056",2,"4",,132.00,2.00,"inch","ft"
930037145,10570672,"1500057",2,"4",,100.00,2.00,"inch","ft"
930037144,10570672,"1500057",1,"1",,16.00,2.00,"inch","ft"
930037146,10570673,"1500058",1,"1",,18.00,2.00,"inch","ft"
930037147,10570673,"1500058",2,,,24.00,2.00,"inch","ft"
930037148,10570673,"1500058",3,"4",,111.00,2.00,"inch","ft"
930037150,10570674,"1500059",2,"4",,125.00,2.00,"inch","ft"
930037149,10570674,"1500059",1,"1",,27.00,2.00,"inch","ft"
930037152,10570675,"1500060",2,"4",,201.00,5.00,"inch","ft"
930037151,10570675,"1500060",1,"1",,30.00,5.00,"inch","ft"
930037153,10570676,"1500061",1,"1",,14.00,5.00,"inch","ft"
930037154,10570676,"1500061",2,"4",,50.00,5.00,"inch","ft"
930037155,10570677,"1500062",1,"1",,40.00,6.00,"inch","ft"
930037156,10570677,"1500062",2,"4",,145.00,6.00,"inch","ft"
930037158,10570678,"1500063",2,"4",,158.00,6.00,"inch","ft"
930037157,10570678,"1500063",1,"1",,22.00,6.00,"inch","ft"
930037159,10570679,"1500064",1,"1",,16.00,6.00,"inch","ft"
930037160,10570679,"1500064",2,"4",,110.00,6.00,"inch","ft"
930037161,10570680,"1500065",1,"1",,17.00,5.00,"inch","ft"
930037162,10570680,"1500065",2,"4",,202.00,5.00,"inch","ft"
930037163,10570681,"1500066",1,"1",,18.00,6.00,"inch","ft"
930037164,10570681,"1500066",2,"4",,69.00,6.00,"inch","ft"
930037166,10570682,"1500067",2,"4",,121.00,6.00,"inch","ft"
930037165,10570682,"1500067",1,"1",,12.00,6.00,"inch","ft"
930037168,10570683,"1500068",2,"4",,72.00,6.00,"inch","ft"
930037167,10570683,"1500068",1,"1",,14.00,6.00,"inch","ft"
930037169,10570684,"1500069",1,"1",,15.00,6.00,"inch","ft"
930037170,10570684,"1500069",2,"4",,100.00,6.00,"inch","ft"
930037171,10570685,"1500070",1,"1",,48.00,6.00,"inch","ft"
930037172,10570685,"1500070",2,"4",,160.00,6.00,"inch","ft"
930037174,10570686,"1500071",2,"4",,317.00,6.00,"inch","ft"
930037173,10570686,"1500071",1,"1",,50.00,6.00,"inch","ft"
930037175,10570687,"1500072",1,"1",,55.00,5.00,"inch","ft"
930037176,10570687,"1500072",2,"4",,93.00,5.00,"inch","ft"
930037177,10570688,"1500073",1,"1",,64.00,6.00,"inch","ft"
930037178,10570688,"1500073",2,"4",,115.00,6.00,"inch","ft"
930037179,10570689,"1500074",1,"1",,63.00,5.00,"inch","ft"
930037180,10570689,"1500074",2,"4",,130.00,5.00,"inch","ft"
930037182,10570690,"1500075",2,"4",,134.00,6.00,"inch","ft"
930037181,10570690,"1500075",1,"1",,63.00,6.00,"inch","ft"
930037184,10570691,"1500076",2,"4",,516.00,5.00,"inch","ft"
930037183,10570691,"1500076",1,"1",,438.00,5.00,"inch","ft"
930037185,10570692,"1500077",1,"1",,90.00,6.00,"inch","ft"
930037186,10570693,"1500078",1,"1",,113.00,5.00,"inch","ft"
930037187,10570693,"1500078",2,,,115.00,5.00,"inch","ft"
930037188,10570693,"1500078",3,"4",,175.00,5.00,"inch","ft"
930037190,10570694,"1500079",2,"4",,87.00,5.00,"inch","ft"
930037189,10570694,"1500079",1,"1",,42.00,5.00,"inch","ft"
930037191,10570695,"1500080",1,"1",,20.00,5.00,"inch","ft"
930037192,10570695,"1500080",2,"4",,110.00,5.00,"inch","ft"
930037193,10570696,"1500081",1,"1",,54.00,6.00,"inch","ft"
930037194,10570696,"1500081",2,"4",,94.00,6.00,"inch","ft"
930037195,10570697,"1500082",1,"1",,70.00,5.00,"inch","ft"
930037196,10570697,"1500082",2,"4",,100.00,5.00,"inch","ft"
930037198,10570698,"1500083",2,"4",,52.00,6.00,"inch","ft"
930037197,10570698,"1500083",1,"1",,22.00,6.00,"inch","ft"
930037201,10570699,"1500084",3,"4",,87.00,2.00,"inch","ft"
930037199,10570699,"1500084",1,"1",,15.00,2.00,"inch","ft"
930037200,10570699,"1500084",2,,,16.00,2.00,"inch","ft"
930037202,10570700,"1500085",1,"1",,20.00,5.00,"inch","ft"
930037203,10570700,"1500085",2,"4",,90.00,5.00,"inch","ft"
930037204,10570701,"1500086",1,"1",,20.00,5.00,"inch","ft"
930037205,10570701,"1500086",2,"4",,70.00,5.00,"inch","ft"
930037206,10570702,"1500087",1,"1",,18.00,6.00,"inch","ft"
930037207,10570702,"1500087",2,"4",,45.00,6.00,"inch","ft"
930037208,10570703,"1500088",1,,,,6.00,"inch","ft"
930037209,10570704,"1500089",1,,,,6.00,"inch","ft"
930037210,10570705,"1500090",1,"1",,60.00,5.00,"inch","ft"
930037211,10570705,"1500090",2,"4",,116.00,5.00,"inch","ft"
930037212,10570706,"1500091",1,"1",,55.00,6.00,"inch","ft"
930037213,10570706,"1500091",2,"4",,168.00,6.00,"inch","ft"
930037214,10570707,"1500092",1,"1",,57.00,5.00,"inch","ft"
930037215,10570707,"1500092",2,"4",,80.00,5.00,"inch","ft"
930037216,10570708,"1500093",1,"1",,18.00,4.00,"inch","ft"
930037217,10570709,"1500094",1,"1",,116.00,4.00,"inch","ft"
930037218,10570709,"1500094",2,"4",,285.00,4.00,"inch","ft"
930037219,10570710,"1500095",1,"1",,21.00,6.00,"inch","ft"
930037220,10570710,"1500095",2,"4",,250.00,6.00,"inch","ft"
930037221,10570711,"1500096",1,"1",,152.00,5.00,"inch","ft"
930037222,10570712,"1500097",1,"1",,132.00,6.00,"inch","ft"
930037223,10570712,"1500097",2,"4",,198.00,6.00,"inch","ft"
930037225,10570713,"1500098",2,"4",,283.00,5.00,"inch","ft"
930037224,10570713,"1500098",1,"1",,192.00,5.00,"inch","ft"
930037226,10570714,"1500099",1,"1",,240.00,6.00,"inch","ft"
930037227,10570714,"1500099",2,"4",,320.00,6.00,"inch","ft"
930037228,10570715,"1500100",1,,,,3.00,"inch","ft"
930037230,10570716,"1500101",2,"4",,145.00,5.00,"inch","ft"
930037229,10570716,"1500101",1,"1",,26.00,5.00,"inch","ft"
930037233,10570717,"1500102",3,"4",,141.00,4.00,"inch","ft"
930037231,10570717,"1500102",1,"1",,65.00,5.00,"inch","ft"
930037232,10570717,"1500102",2,"1",,75.00,4.00,"inch","ft"
930037234,10570718,"1500103",1,"1",,78.00,6.00,"inch","ft"
930037235,10570718,"1500103",2,"4",,142.00,6.00,"inch","ft"
930037236,10570719,"1500104",1,"1",,80.00,6.00,"inch","ft"
930037237,10570719,"1500104",2,"4",,187.00,6.00,"inch","ft"
930037238,10570720,"1500105",1,"1",,65.00,6.00,"inch","ft"
930037239,10570721,"1500106",1,"1",,78.00,6.00,"inch","ft"
930037240,10570721,"1500106",2,"4",,142.00,4.00,"inch","ft"
930037241,10570722,"1500107",1,"1",,38.00,6.00,"inch","ft"
930037242,10570722,"1500107",2,"4",,82.00,6.00,"inch","ft"
930037243,10570723,"1500108",1,"1",,36.00,6.00,"inch","ft"
930037244,10570723,"1500108",2,"4",,116.00,6.00,"inch","ft"
930037246,10570724,"1500109",2,"4",,106.00,6.00,"inch","ft"
930037245,10570724,"1500109",1,"1",,64.00,6.00,"inch","ft"
930037248,10570725,"1500110",2,"4",,86.00,5.00,"inch","ft"
930037247,10570725,"1500110",1,"1",,20.00,5.00,"inch","ft"
930037249,10570726,"1500111",1,"1",,11.00,5.00,"inch","ft"
930037250,10570726,"1500111",2,"4",,82.00,5.00,"inch","ft"
930037251,10570727,"1500112",1,"1",,35.00,4.00,"inch","ft"
930037252,10570727,"1500112",2,"4",,110.00,4.00,"inch","ft"
930037254,10570728,"1500113",2,"4",,86.00,6.00,"inch","ft"
930037253,10570728,"1500113",1,"1",,13.00,6.00,"inch","ft"
930037255,10570729,"1500114",1,"1",,26.00,6.00,"inch","ft"
930037256,10570729,"1500114",2,"4",,86.00,6.00,"inch","ft"
930037257,10570730,"1500115",1,"1",,5.00,6.00,"inch","ft"
930037258,10570730,"1500115",2,"4",,83.00,6.00,"inch","ft"
930037259,10570731,"1500116",1,"1",,8.00,5.00,"inch","ft"
930037260,10570731,"1500116",2,"4",,238.00,5.00,"inch","ft"
930037262,10570732,"1500117",2,"4",,165.00,5.00,"inch","ft"
930037261,10570732,"1500117",1,"1",,130.00,5.00,"inch","ft"
930037264,10570733,"1500118",2,"4",,312.00,4.00,"inch","ft"
930037263,10570733,"1500118",1,"1",,15.00,4.00,"inch","ft"
930037265,10570734,"1500119",1,"1",,48.00,5.00,"inch","ft"
930037266,10570735,"1500120",1,"1",,27.00,6.00,"inch","ft"
930037267,10570735,"1500120",2,"4",,100.00,6.00,"inch","ft"
930037268,10570736,"1500121",1,"1",,24.00,6.00,"inch","ft"
930037269,10570736,"1500121",2,"4",,240.00,6.00,"inch","ft"
930037270,10570737,"1500122",1,"1",,233.00,5.00,"inch","ft"
930037271,10570737,"1500122",2,"4",,270.00,5.00,"inch","ft"
930037273,10570738,"1500123",2,"4",,110.00,6.00,"inch","ft"
930037272,10570738,"1500123",1,"1",,11.00,6.00,"inch","ft"
930037274,10570739,"1500124",1,"1",,108.00,3.00,"inch","ft"
930037275,10570739,"1500124",2,"4",,140.00,3.00,"inch","ft"
930037276,10570740,"1500125",1,"1",,26.00,2.00,"inch","ft"
930037277,10570740,"1500125",2,"4",,304.00,2.00,"inch","ft"
930037278,10570741,"1500126",1,"1",,75.00,5.00,"inch","ft"
930037279,10570741,"1500126",2,"4",,198.00,5.00,"inch","ft"
930037280,10570742,"1500127",1,"1",,40.00,5.00,"inch","ft"
930037281,10570742,"1500127",2,"4",,201.00,5.00,"inch","ft"
930037282,10570743,"1500128",1,"1",,26.00,2.00,"inch","ft"
930037283,10570743,"1500128",2,"4",,185.00,2.00,"inch","ft"
930037284,10570744,"1500129",1,"1",,46.00,5.00,"inch","ft"
930037285,10570744,"1500129",2,"4",,125.00,5.00,"inch","ft"
930037286,10570745,"1500130",1,"1",,66.00,5.00,"inch","ft"
930037287,10570745,"1500130",2,"4",,220.00,5.00,"inch","ft"
930037289,10570746,"1500131",2,"4",,166.00,5.00,"inch","ft"
930037288,10570746,"1500131",1,"1",,63.00,5.00,"inch","ft"
930037290,10570747,"1500132",1,"1",,55.00,4.00,"inch","ft"
930037291,10570747,"1500132",2,"4",,99.00,4.00,"inch","ft"
930037292,10570748,"1500133",1,"1",,18.00,4.00,"inch","ft"
930037293,10570748,"1500133",2,"4",,175.00,4.00,"inch","ft"
930037294,10570749,"1500134",1,"1",,93.00,4.00,"inch","ft"
930037295,10570749,"1500134",2,"4",,125.00,4.00,"inch","ft"
930037296,10570750,"1500135",1,"1",,77.00,5.00,"inch","ft"
930037297,10570750,"1500135",2,"4",,157.00,5.00,"inch","ft"
930037298,10570751,"1500136",1,"1",,40.00,2.00,"inch","ft"
930037299,10570751,"1500136",2,"4",,268.00,2.00,"inch","ft"
930037300,10570752,"1500137",1,"1",,43.00,3.00,"inch","ft"
930037301,10570752,"1500137",2,"4",,310.00,3.00,"inch","ft"
930037302,10570753,"1500138",1,"1",,75.00,5.00,"inch","ft"
930037303,10570753,"1500138",2,"4",,140.00,5.00,"inch","ft"
930037305,10570754,"1500139",2,"4",,217.00,5.00,"inch","ft"
930037304,10570754,"1500139",1,"1",,82.00,5.00,"inch","ft"
930037306,10570755,"1500140",1,"1",,67.00,5.00,"inch","ft"
930037307,10570755,"1500140",2,"4",,82.00,5.00,"inch","ft"
930037308,10570756,"1500141",1,"1",,93.00,6.00,"inch","ft"
930037309,10570756,"1500141",2,"4",,233.00,6.00,"inch","ft"
930037310,10570757,"1500142",1,"1",,75.00,5.00,"inch","ft"
930037311,10570757,"1500142",2,"4",,150.00,5.00,"inch","ft"
930037312,10570758,"1500143",1,"1",,185.00,5.00,"inch","ft"
930037313,10570759,"1500144",1,"1",,168.00,6.00,"inch","ft"
930037314,10570760,"1500145",1,"1",,14.00,5.00,"inch","ft"
930037315,10570760,"1500145",2,"4",,136.00,5.00,"inch","ft"
930037316,10570761,"1500146",1,"1",,10.00,6.00,"inch","ft"
930037317,10570761,"1500146",2,"4",,75.00,6.00,"inch","ft"
930037318,10570762,"1500147",1,"1",,24.00,4.00,"inch","ft"
930037319,10570762,"1500147",2,"4",,208.00,4.00,"inch","ft"
930037321,10570763,"1500148",2,"4",,105.00,4.00,"inch","ft"
930037320,10570763,"1500148",1,"1",,29.00,4.00,"inch","ft"
930037322,10570764,"1500149",1,"1",,16.00,4.00,"inch","ft"
930037323,10570764,"1500149",2,"4",,165.00,4.00,"inch","ft"
930037324,10570765,"1500150",1,"1",,18.00,4.00,"inch","ft"
930037325,10570765,"1500150",2,"4",,160.00,4.00,"inch","ft"
930037326,10570766,"1500151",1,"1",,11.00,6.00,"inch","ft"
930037327,10570766,"1500151",2,"4",,150.00,6.00,"inch","ft"
930037328,10570767,"1500152",1,"1",,15.00,4.00,"inch","ft"
930037329,10570767,"1500152",2,"4",,54.00,4.00,"inch","ft"
930037330,10570768,"1500153",1,"1",,27.00,6.00,"inch","ft"
930037331,10570768,"1500153",2,"4",,110.00,6.00,"inch","ft"
930037332,10570769,"1500154",1,"1",,17.00,6.00,"inch","ft"
930037333,10570769,"1500154",2,"4",,92.00,6.00,"inch","ft"
930037334,10570770,"1500155",1,"1",,71.00,6.00,"inch","ft"
930037335,10570770,"1500155",2,"4",,343.00,6.00,"inch","ft"
930037337,10570771,"1500156",2,"4",,223.00,3.00,"inch","ft"
930037336,10570771,"1500156",1,"1",,121.00,3.00,"inch","ft"
930037338,10570772,"1500157",1,"1",,64.00,5.00,"inch","ft"
930037339,10570772,"1500157",2,"4",,210.00,5.00,"inch","ft"
930037340,10570773,"1500158",1,"1",,104.00,6.00,"inch","ft"
930037341,10570773,"1500158",2,"4",,120.00,6.00,"inch","ft"
930037342,10570774,"1500159",1,"1",,350.00,5.00,"inch","ft"
930037343,10570775,"1500160",1,"1",,310.00,5.00,"inch","ft"
930037344,10570776,"1500161",1,"1",,100.00,3.00,"inch","ft"
930037345,10570776,"1500161",2,"4",,203.00,3.00,"inch","ft"
930037346,10570777,"1500162",1,"1",,7.00,6.00,"inch","ft"
930037347,10570777,"1500162",2,"4",,85.00,6.00,"inch","ft"
930037348,10570778,"1500163",1,"1",,8.00,6.00,"inch","ft"
930037349,10570778,"1500163",2,"4",,83.00,6.00,"inch","ft"
930037350,10570779,"1500164",1,"1",,21.00,5.00,"inch","ft"
930037351,10570779,"1500164",2,"4",,375.00,5.00,"inch","ft"
930037353,10570780,"1500165",2,"4",,102.00,6.00,"inch","ft"
930037352,10570780,"1500165",1,"1",,38.00,6.00,"inch","ft"
930037354,10570781,"1500166",1,"1",,14.00,6.00,"inch","ft"
930037355,10570781,"1500166",2,"4",,64.00,6.00,"inch","ft"
930037356,10570782,"1500167",1,"1",,10.00,6.00,"inch","ft"
930037357,10570782,"1500167",2,"4",,130.00,6.00,"inch","ft"
930037358,10570783,"1500168",1,"1",,11.00,5.00,"inch","ft"
930037359,10570783,"1500168",2,"4",,109.00,5.00,"inch","ft"
930037360,10570784,"1500169",1,"1",,122.00,5.00,"inch","ft"
930037361,10570784,"1500169",2,"4",,170.00,5.00,"inch","ft"
930037362,10570785,"1500170",1,"1",,144.00,6.00,"inch","ft"
930037363,10570785,"1500170",2,"4",,195.00,4.00,"inch","ft"
930037364,10570786,"1500171",1,"1",,21.00,6.00,"inch","ft"
930037365,10570786,"1500171",2,"4",,175.00,6.00,"inch","ft"
930037366,10570787,"1500172",1,"1",,105.00,7.00,"inch","ft"
930037367,10570787,"1500172",2,"4",,176.00,7.00,"inch","ft"
930037369,10570788,"1500173",2,"4",,70.00,7.00,"inch","ft"
930037368,10570788,"1500173",1,"1",,60.00,7.00,"inch","ft"
930037370,10570789,"1500174",1,"1",,14.00,6.00,"inch","ft"
930037371,10570789,"1500174",2,"4",,180.00,6.00,"inch","ft"
930037372,10570790,"1500175",1,"1",,12.00,6.00,"inch","ft"
930037373,10570790,"1500175",2,"4",,90.00,6.00,"inch","ft"
930037374,10570791,"1500176",1,"1",,33.00,5.00,"inch","ft"
930037375,10570791,"1500176",2,"4",,120.00,5.00,"inch","ft"
930037376,10570792,"1500177",1,"1",,40.00,5.00,"inch","ft"
930037377,10570792,"1500177",2,"4",,98.00,5.00,"inch","ft"
930037378,10570793,"1500178",1,"1",,12.00,6.00,"inch","ft"
930037379,10570793,"1500178",2,"4",,118.00,6.00,"inch","ft"
930037380,10570794,"1500179",1,"1",,4.00,5.00,"inch","ft"
930037381,10570794,"1500179",2,"4",,229.00,5.00,"inch","ft"
930037382,10570795,"1500180",1,"1",,23.00,5.00,"inch","ft"
930037383,10570795,"1500180",2,"4",,93.00,5.00,"inch","ft"
930037384,10570796,"1500181",1,"1",,54.00,6.00,"inch","ft"
930037385,10570797,"1500182",1,"1",,9.00,6.00,"inch","ft"
930037386,10570797,"1500182",2,"4",,193.00,6.00,"inch","ft"
930037387,10570798,"1500183",1,"1",,20.00,6.00,"inch","ft"
