"FORMATION_ID","BORE_HOLE_ID","WELL_ID","LAYER","COLOR","MAT1","MAT2","MAT3","FORMATION_TOP_DEPTH","FORMATION_END_DEPTH","FORMATION_END_DEPTH_UOM"
930988093,10022046,"1500001",1,,"05",,,0.00,5.00,"ft"
930988094,10022046,"1500001",2,"3","17",,,5.00,145.00,"ft"
930988095,10022046,"1500001",3,"1","15",,,145.00,197.00,"ft"
930988096,10022047,"1500002",1,,"24",,,0.00,191.00,"ft"
930988097,10022047,"1500002",2,"2","15",,,191.00,700.00,"ft"
930988098,10022047,"1500002",3,,"18",,,700.00,742.00,"ft"
930988099,10022048,"1500003",1,"6","05","13",,0.00,5.00,"ft"
930988100,10022048,"1500003",2,"6","15",,,5.00,110.00,"ft"
930988101,10022049,"1500004",1,,"05","13",,0.00,12.00,"ft"
930988102,10022049,"1500004",2,"8","17",,,12.00,400.00,"ft"
930988103,10022050,"1500005",1,,"01",,,0.00,7.00,"ft"
930988104,10022050,"1500005",2,"8","17",,,7.00,190.00,"ft"
930988105,10022051,"1500006",1,,"05",,,0.00,60.00,"ft"
930988106,10022051,"1500006",2,,"09",,,60.00,64.00,"ft"
930988107,10022051,"1500006",3,,"15",,,64.00,205.00,"ft"
930988108,10022052,"1500007",1,,"05",,,0.00,70.00,"ft"
930988109,10022052,"1500007",2,,"15",,,70.00,102.00,"ft"
930988110,10022053,"1500008",1,,"05",,,0.00,10.00,"ft"
930988111,10022053,"1500008",2,,"15",,,10.00,160.00,"ft"
930988112,10022054,"1500009",1,,"05",,,0.00,31.00,"ft"
930988113,10022054,"1500009",2,"2","15",,,31.00,70.00,"ft"
930988114,10022055,"1500010",1,"3","05",,,0.00,146.00,"ft"
930988115,10022055,"1500010",2,"2","15",,,146.00,326.00,"ft"
930988116,10022056,"1500011",1,,"05",,,0.00,158.00,"ft"
930988117,10022056,"1500011",2,,"09",,,158.00,159.00,"ft"
930988118,10022056,"1500011",3,"2","15",,,159.00,191.00,"ft"
930988119,10022057,"1500012",1,"2","05",,,0.00,16.00,"ft"
930988120,10022057,"1500012",2,,"26",,,16.00,80.00,"ft"
930988121,10022058,"1500013",1,,"05",,,0.00,80.00,"ft"
930988122,10022058,"1500013",2,,"09",,,80.00,82.00,"ft"
930988123,10022058,"1500013",3,"2","15",,,82.00,164.00,"ft"
930988124,10022059,"1500014",1,"3","05",,,0.00,118.00,"ft"
930988125,10022059,"1500014",2,"2","15",,,118.00,187.00,"ft"
930988126,10022060,"1500015",1,"2","05",,,0.00,21.00,"ft"
930988127,10022060,"1500015",2,,"26",,,21.00,161.00,"ft"
930988128,10022061,"1500016",1,,"02",,,0.00,18.00,"ft"
930988129,10022061,"1500016",2,"3","05",,,18.00,185.00,"ft"
930988130,10022061,"1500016",3,,"11",,,185.00,186.00,"ft"
930988131,10022062,"1500017",1,"3","05",,,0.00,97.00,"ft"
930988132,10022062,"1500017",2,"2","15",,,97.00,124.00,"ft"
930988133,10022063,"1500018",1,"3","05",,,0.00,78.00,"ft"
930988134,10022063,"1500018",2,,"15",,,78.00,122.00,"ft"
930988135,10022064,"1500019",1,,"23",,,0.00,20.00,"ft"
930988136,10022064,"1500019",2,"3","05",,,20.00,129.00,"ft"
930988137,10022064,"1500019",3,,"11",,,129.00,130.00,"ft"
930988138,10022065,"1500020",1,"6","02","05",,0.00,18.00,"ft"
930988139,10022065,"1500020",2,"3","05",,,18.00,160.00,"ft"
930988140,10022066,"1500021",1,"6","02","05",,0.00,18.00,"ft"
930988141,10022066,"1500021",2,"3","05",,,18.00,160.00,"ft"
930988142,10022066,"1500021",3,,"26",,,160.00,161.00,"ft"
930988143,10022067,"1500022",1,"6","02","05",,0.00,18.00,"ft"
930988144,10022067,"1500022",2,"3","05",,,18.00,160.00,"ft"
930988145,10022067,"1500022",3,,"26",,,160.00,161.00,"ft"
930988146,10022068,"1500023",1,"6","02","05",,0.00,15.00,"ft"
930988147,10022068,"1500023",2,"3","05",,,15.00,185.00,"ft"
930988148,10022068,"1500023",3,,"26",,,185.00,186.00,"ft"
930988149,10022069,"1500024",1,,"02",,,0.00,14.00,"ft"
930988150,10022069,"1500024",2,"3","05",,,14.00,165.00,"ft"
930988151,10022069,"1500024",3,,"11",,,165.00,166.00,"ft"
930988152,10022070,"1500025",1,,"05",,,0.00,150.00,"ft"
930988153,10022070,"1500025",2,,"09",,,150.00,157.00,"ft"
930988154,10022070,"1500025",3,"2","15",,,157.00,255.00,"ft"
930988155,10022071,"1500026",1,"3","05",,,0.00,187.00,"ft"
930988156,10022071,"1500026",2,"2","15",,,187.00,245.00,"ft"
930988157,10022072,"1500027",1,"3","05",,,0.00,197.00,"ft"
930988158,10022072,"1500027",2,,"09",,,197.00,200.00,"ft"
930988159,10022072,"1500027",3,"2","15",,,200.00,258.00,"ft"
930988160,10022073,"1500028",1,,"05",,,0.00,70.00,"ft"
930988161,10022073,"1500028",2,"1","15",,,70.00,200.00,"ft"
930988162,10022074,"1500029",1,"3","05",,,0.00,39.00,"ft"
930988163,10022074,"1500029",2,"2","15",,,39.00,80.00,"ft"
930988164,10022075,"1500030",1,"6","05",,,0.00,190.00,"ft"
930988165,10022075,"1500030",2,,"11",,,190.00,202.00,"ft"
930988166,10022076,"1500031",1,,"05",,,0.00,7.00,"ft"
930988167,10022076,"1500031",2,"2","15",,,7.00,100.00,"ft"
930988168,10022077,"1500032",1,,"02",,,0.00,14.00,"ft"
930988169,10022077,"1500032",2,"2","15",,,14.00,176.00,"ft"
930988170,10022078,"1500033",1,,"02",,,0.00,1.00,"ft"
930988171,10022078,"1500033",2,"3","05",,,1.00,30.00,"ft"
930988172,10022078,"1500033",3,"3","15",,,30.00,114.00,"ft"
930988173,10022079,"1500034",1,"3","05",,,0.00,92.00,"ft"
930988174,10022079,"1500034",2,"2","15",,,92.00,242.00,"ft"
930988175,10022080,"1500035",1,,"05",,,0.00,92.00,"ft"
930988176,10022080,"1500035",2,"2","15",,,92.00,290.00,"ft"
