"Hole_Id","Bore_Hole_ID","WELL_ID","Diameter","Depth_from","Depth_to","HOLE_DEPTH_UOM","HOLE_DIAMETER_UOM"
1007448561,10045259,"1523484",,,,"ft","inch"
11109032,11104722,"1534287",25.40,0.00,6.80,"m","cm"
11109033,11104722,"1534287",16.80,6.80,16.80,"m","cm"
11109035,11104723,"1534288",25.40,0.00,6.20,"m","cm"
11109036,11104723,"1534288",16.80,6.20,14.07,"m","cm"
11109038,11104724,"1534398",4.10,0.00,4.00,"m","cm"
11109040,11104725,"1534399",22.80,0.00,6.00,"m","cm"
11109041,11104725,"1534399",16.83,6.00,0.94,"m","cm"
11109043,11104726,"1534400",22.80,0.00,6.00,"m","cm"
11109044,11104726,"1534400",16.83,6.00,15.30,"m","cm"
11109046,11104727,"1534401",27.20,0.00,6.20,"m","cm"
11109047,11104727,"1534401",15.86,6.20,37.00,"m","cm"
11109049,11104728,"1534402",25.40,0.00,6.70,"m","cm"
11109051,11104729,"1534403",25.40,0.00,670.00,"m","cm"
11109053,11104730,"1534404",25.40,0.00,6.70,"m","cm"
11109055,11104731,"1534405",22.53,0.00,12.80,"m","cm"
11109056,11104731,"1534405",15.23,12.80,33.53,"m","cm"
11109058,11104732,"1534406",22.53,0.00,6.40,"m","cm"
11109059,11104732,"1534406",15.55,6.40,57.91,"m","cm"
11109061,11104733,"1534407",22.21,0.00,3.96,"m","cm"
11109062,11104733,"1534407",15.23,3.96,52.43,"m","cm"
11109065,11104735,"1534409",22.53,0.00,13.41,"m","cm"
11109066,11104735,"1534409",15.23,13.41,83.21,"m","cm"
11109068,11104736,"1534410",22.21,0.00,6.25,"m","cm"
11109069,11104736,"1534410",15.23,6.25,52.43,"m","cm"
11109071,11104737,"1534411",22.53,0.00,50.25,"m","cm"
11109072,11104737,"1534411",15.23,6.25,52.43,"m","cm"
11109074,11104738,"1534412",24.08,0.00,19.70,"m","cm"
11109075,11104738,"1534412",15.20,19.70,67.10,"m","cm"
11109077,11104739,"1534433",25.40,0.00,6.70,"m","cm"
11109079,11104740,"1534434",7.62,0.00,30.00,"m","cm"
11109081,11104741,"1534435",7.62,0.00,30.00,"m","cm"
11109083,11104742,"1534436",7.62,0.00,30.00,"m","cm"
11109085,11104743,"1534437",7.62,0.00,30.00,"m","cm"
11109087,11104744,"1534438",7.62,0.00,30.00,"m","cm"
11109089,11104745,"1534439",27.20,0.00,25.80,"m","cm"
11109090,11104745,"1534439",15.80,23.80,25.40,"m","cm"
11109092,11104746,"1534440",25.40,0.00,22.00,"m","cm"
11109094,11104747,"1534472",15.24,0.00,94.18,"m","cm"
11109096,11104748,"1534473",15.24,0.00,43.58,"m","cm"
11109098,11104749,"1534474",15.24,0.00,62.18,"m","cm"
11109100,11104750,"1534475",15.24,0.00,96.31,"m","cm"
11109102,11104751,"1534476",15.24,0.00,54.86,"m","cm"
11109104,11104752,"1534477",15.24,0.00,24.38,"m","cm"
11109106,11104753,"1534478",15.24,0.00,18.59,"m","cm"
11109108,11104754,"1534479",15.24,0.00,55.47,"m","cm"
11109110,11104755,"1534480",15.24,0.00,19.20,"m","cm"
11109112,11104756,"1534481",15.24,0.00,49.70,"m","cm"
11109114,11104757,"1534482",15.24,0.00,18.59,"m","cm"
11109116,11104758,"1534483",15.24,43.28,0.00,"m","cm"
11109118,11104759,"1534484",15.24,0.00,67.36,"m","cm"
11109120,11104760,"1534485",15.24,0.00,36.58,"m","cm"
11109122,11104761,"1534486",15.24,0.00,37.18,"m","cm"
11109124,11104762,"1534487",15.24,48.80,0.00,"m","cm"
11109126,11104763,"1534488",15.24,0.00,37.49,"m","cm"
11109128,11104764,"1534489",15.24,0.00,25.30,"m","cm"
11109131,11104766,"1534491",22.53,0.00,13.10,"m","cm"
11109132,11104766,"1534491",14.91,13.10,37.49,"m","cm"
11109134,11104767,"1534492",22.53,0.00,13.10,"m","cm"
11109135,11104767,"1534492",14.91,13.10,37.49,"m","cm"
11109137,11104768,"1534493",22.53,0.00,13.10,"m","cm"
11109138,11104768,"1534493",15.23,13.10,83.21,"m","cm"
11109140,11104769,"1534494",22.21,0.00,22.55,"m","cm"
11109141,11104769,"1534494",14.91,22.55,137.10,"m","cm"
11109142,11104769,"1534494",14.75,137.20,140.50,"m","cm"
11109144,11104770,"1534495",22.21,0.00,6.24,"m","cm"
11109145,11104770,"1534495",15.39,6.24,67.66,"m","cm"
11109147,11104771,"1534496",22.53,0.00,16.15,"m","cm"
11109148,11104771,"1534496",15.07,16.15,22.25,"m","cm"
11109150,11104772,"1534497",22.21,0.00,19.66,"m","cm"
11109151,11104772,"1534497",15.39,19.66,52.73,"m","cm"
11109153,11104773,"1534498",22.53,0.00,12.80,"m","cm"
11109154,11104773,"1534498",15.55,12.80,67.66,"m","cm"
11109156,11104774,"1534499",22.23,0.00,12.50,"m","cm"
11109157,11104774,"1534499",15.23,12.50,67.66,"m","cm"
11109159,11104775,"1534500",22.21,0.00,15.24,"m","cm"
11109160,11104775,"1534500",15.23,15.24,106.70,"m","cm"
11109167,11104781,"1534506",22.21,0.00,24.38,"m","cm"
