"METHOD_CONSTRUCTION_ID","BORE_HOLE_ID","WELL_ID","METHOD_CONSTRUCTION_CODE","OTHER_METHOD_CONSTRUCTION"
961500001,10022046,"1500001","1",
961500002,10022047,"1500002","1",
961500003,10022048,"1500003","1",
961500004,10022049,"1500004","7",
961500005,10022050,"1500005","7",
961500006,10022051,"1500006","1",
961500007,10022052,"1500007","1",
961500008,10022053,"1500008","7",
961500009,10022054,"1500009","1",
961500010,10022055,"1500010","1",
961500011,10022056,"1500011","1",
961500012,10022057,"1500012","1",
961500013,10022058,"1500013","1",
961500014,10022059,"1500014","1",
961500015,10022060,"1500015","1",
961500016,10022061,"1500016","1",
961500017,10022062,"1500017","1",
961500018,10022063,"1500018","1",
961500019,10022064,"1500019","1",
961500020,10022065,"1500020","1",
961500021,10022066,"1500021","1",
961500022,10022067,"1500022","1",
961500023,10022068,"1500023","1",
961500024,10022069,"1500024","1",
961500025,10022070,"1500025","1",
961500026,10022071,"1500026","1",
961500027,10022072,"1500027","1",
961500028,10022073,"1500028","7",
961500029,10022074,"1500029","1",
961500030,10022075,"1500030","1",
961500031,10022076,"1500031","1",
961500032,10022077,"1500032","1",
961500033,10022078,"1500033","1",
961500034,10022079,"1500034","1",
961500035,10022080,"1500035","1",
961500036,10022081,"1500036","1",
961500037,10022082,"1500037","1",
961500038,10022083,"1500038","1",
961500039,10022084,"1500039","1",
961500040,10022085,"1500040","1",
961500041,10022086,"1500041","1",
961500042,10022087,"1500042","1",
961500043,10022088,"1500043","1",
961500044,10022089,"1500044","1",
961500045,10022090,"1500045","1",
961500046,10022091,"1500046","1",
961500047,10022092,"1500047","7",
961500048,10022093,"1500048","1",
961500049,10022094,"1500049","7",
961500050,10022095,"1500050","7",
961500051,10022096,"1500051","1",
961500052,10022097,"1500052","1",
961500053,10022098,"1500053","1",
961500054,10022099,"1500054","1",
961500055,10022100,"1500055","1",
961500056,10022101,"1500056","7",
961500057,10022102,"1500057","7",
961500058,10022103,"1500058","7",
961500059,10022104,"1500059","7",
961500060,10022105,"1500060","1",
961500061,10022106,"1500061","1",
961500062,10022107,"1500062","1",
961500063,10022108,"1500063","1",
