"SCREEN_ID","WELL_ID","PIPE_ID","Layer","Slot","SCRN_TOP_DEPTH","SCRN_END_DEPTH","SCRN_MATERIAL","SCRN_DEPTH_UOM","SCRN_DIAMETER_UOM","SCRN_DIAMETER"
933325845,"1500105",10570720,1,"012",64.00,68.00,,"ft","inch",
933325846,"1500144",10570759,1,"010",164.00,168.00,,"ft","inch",
933325847,"1500679",10571292,1,"100",150.00,165.00,,"ft","inch",
933325848,"1500680",10571293,1,"050",146.00,154.00,,"ft","inch",
933325849,"1500680",10571293,2,"025",,,,"ft","inch",
933325850,"1500693",10571306,1,"040",179.00,183.00,,"ft","inch",
933325851,"1500694",10571307,1,"025",187.00,191.00,,"ft","inch",5.00
933325852,"1500698",10571311,1,"025",170.00,174.00,,"ft","inch",5.00
933325853,"1500700",10571313,1,"025",158.00,162.00,,"ft","inch",20.00
933325854,"1500701",10571314,1,"040",148.00,152.00,,"ft","inch",5.00
933325855,"1500702",10571315,1,"012",212.00,220.00,,"ft","inch",8.00
933325856,"1500750",10571363,1,"040",93.00,98.00,,"ft","inch",
933325857,"1500765",10571378,1,"016",180.00,186.00,,"ft","inch",
933325858,"1500896",10571509,1,,250.00,,,"ft","inch",5.00
933325859,"1500953",10571566,1,,,,,"ft","inch",
933325860,"1501054",10571667,1,,76.00,78.00,,"ft","inch",
933325861,"1501787",10572400,1,,,,,"ft","inch",2.00
933325862,"1501929",10572542,1,"010",,,,"ft","inch",
933325863,"1502148",10572761,1,"050",22.00,42.00,,"ft","inch",10.00
933325864,"1503047",10573660,1,"018",46.00,50.00,,"ft","inch",5.00
933325865,"1503078",10573691,1,,,,,"ft","inch",
933325866,"1503086",10573699,1,"012",81.00,85.00,,"ft","inch",6.00
933325867,"1503154",10573767,1,,117.00,132.00,,"ft","inch",
933325868,"1503161",10573774,1,,,,,"ft","inch",
933325869,"1503164",10573777,1,,112.00,127.00,,"ft","inch",
933325870,"1503165",10573778,1,"035",107.00,111.00,,"ft","inch",6.00
933325871,"1503320",10573933,1,,76.00,80.00,,"ft","inch",6.00
933325872,"1504023",10574636,1,"025",75.00,80.00,,"ft","inch",
933325873,"1504036",10574649,1,"080",68.00,88.00,,"ft","inch",
933325874,"1504413",10575026,1,"012",52.00,59.00,,"ft","inch",
933325875,"1505915",10576528,1,,,,,"ft","inch",
933325876,"1505989",10576602,1,"050",60.00,68.00,,"ft","inch",
933325877,"1506587",10577193,1,,48.00,52.00,,"ft","inch",
933325878,"1506738",10577344,1,"006",66.00,70.00,,"ft","inch",
933325879,"1508315",10578920,1,,,,,"ft","inch",1.50
933325880,"1508328",10578933,1,"014",45.00,50.00,,"ft","inch",5.00
933325881,"1508440",10579044,1,,28.00,48.00,,"ft","inch",
933325882,"1509439",10580042,1,"012",109.00,114.00,,"ft","inch",
933325883,"1510015",10580616,1,,95.00,110.00,,"ft","inch",6.25
933325884,"1510138",10580738,1,"100",88.00,103.00,,"ft","inch",
933325885,"1510208",10580806,1,"100",86.00,99.00,,"ft","inch",12.00
933325886,"1510314",10580912,1,,,,,"ft","inch",5.0e-03
933325887,"1510566",10581163,1,"025",31.00,35.00,,"ft","inch",6.00
933325888,"1512721",10583279,1,"025",16.00,20.00,,"ft","inch",6.00
933325889,"1512859",10583417,1,,110.00,124.00,,"ft","inch",11.75
933325890,"1513047",10583605,1,,89.00,94.00,,"ft","inch",
933325891,"1513076",10583634,1,"040",102.00,107.00,,"ft","inch",
933325892,"1513853",10584405,1,"006",45.00,48.00,,"ft","inch",1.25
