"WELL_ID","AUDIT_NO","TAG","FINAL_STA","DATA_SRC","CONTRACTOR","DATE_RECEIVED","FORMVERSION","COUNTY","MUNIC_CODE","CONREG","CONN","LOT","STREET","CITY","SITE","OWNER","USE_2ND","USE_1ST","selected_flag","data_entry_status","ABANDONMENT_REC"
"1303505",,,,,"1702",2/27/1987 0:00:00,1,"15","15005","FC W"," 02","003","  ",,,,,,1,1,
"1500001",,,"1","1","3725",8/8/1951 0:00:00,1,"15","15501",,,,"  ",,,,"0","4",1,,
"1500002",,,"1","1","1107",1/23/1952 0:00:00,1,"15","15501",,,,"  ",,,,"0","8",1,,
"1500003",,,"1","1","3002",8/11/1958 0:00:00,1,"15","15002","OF"," 01","019","  ",,,,"0","1",1,,
"1500004",,,"1","1","1801",7/13/1959 0:00:00,1,"15","15501",,,,"  ",,,,"0","7",1,,
"1500005",,,"1","1","1802",7/6/1964 0:00:00,1,"15","15501",,,,"  ",,,,"0","1",1,,
"1500006",,,"1","1","4806",11/20/1957 0:00:00,1,"15","15001","CON"," 01","009","  ",,,,"0","2",1,,
"1500007",,,"1","1","4806",5/11/1959 0:00:00,1,"15","15001","CON"," 01","009","  ",,,,"0","1",1,,
"1500008",,,"1","1","1802",7/18/1958 0:00:00,1,"15","15001","CON"," 01","010","  ",,,,"0","1",1,,
"1500009",,,"1","1","4806",5/11/1959 0:00:00,1,"15","15001","CON"," 01","010","  ",,,,"0","2",1,,
"1500010",,,"1","1","4806",2/21/1966 0:00:00,1,"15","15001","CON"," 01","010","  ",,,,"0","2",1,,
"1500011",,,"1","1","4806",10/26/1959 0:00:00,1,"15","15001","CON"," 01","011","  ",,,,"0","1",1,,
"1500012",,,"1","1","1331",2/28/1951 0:00:00,1,"15","15001","CON"," 01","014","  ",,,,"0","2",1,,
"1500013",,,"1","1","4806",9/17/1957 0:00:00,1,"15","15001","CON"," 01","014","  ",,,,"0","2",1,,
"1500014",,,"1","1","4806",8/21/1961 0:00:00,1,"15","15001","CON"," 01","014","  ",,,,"0","2",1,,
"1500015",,,"1","1","1331",2/28/1951 0:00:00,1,"15","15001","CON"," 01","015","  ",,,,"0","2",1,,
"1500016",,,"1","1","1331",9/16/1955 0:00:00,1,"15","15001","CON"," 01","017","  ",,,,"0","2",1,,
"1500017",,,"1","1","4806",6/13/1961 0:00:00,1,"15","15001","CON"," 01","019","  ",,,,"0","2",1,,
"1500018",,,"1","1","4825",5/25/1961 0:00:00,1,"15","15001","CON"," 01","020","  ",,,,"0","1",1,,
"1500019",,,"1","1","3517",12/8/1961 0:00:00,1,"15","15001","CON"," 01","020","  ",,,,"0","2",1,,
"1500020",,,"5","1","1331",12/2/1952 0:00:00,1,"15","15001","CON"," 01","022","  ",,,,"0","9",1,,
"1500021",,,"5","1","1331",8/17/1952 0:00:00,1,"15","15001","CON"," 01","022","  ",,,,"0","9",1,,
"1500022",,,"5","1","1331",8/16/1952 0:00:00,1,"15","15001","CON"," 01","022","  ",,,,"0","9",1,,
"1500023",,,"5","1","1331",8/18/1952 0:00:00,1,"15","15001","CON"," 01","022","  ",,,,"0","9",1,,
"1500024",,,"1","1","1331",9/16/1955 0:00:00,1,"15","15001","CON"," 01","022","  ",,,,"0","2",1,,
"1500025",,,"1","1","4806",9/17/1957 0:00:00,1,"15","15001","CON"," 01","022","  ",,,,"0","2",1,,
"1500026",,,"1","1","4806",6/17/1965 0:00:00,1,"15","15001","CON"," 01","023","  ",,,,"1","2",1,,
"1500027",,,"1","1","4806",6/13/1961 0:00:00,1,"15","15001","CON"," 01","024","  ",,,,"0","2",1,,
"1500028",,,"1","1","1802",3/14/1950 0:00:00,1,"15","15001","CON"," 01","026","  ",,,,"0","1",1,,
"1500029",,,"1","1","4806",3/24/1964 0:00:00,1,"15","15001","CON"," 01","026","  ",,,,"0","1",1,,
"1500030",,,"1","1","4724",10/10/1967 0:00:00,1,"15","15001","CON"," 01","026","  ",,,,"0","1",1,,
"1500031",,,"1","1","4806",1/19/1959 0:00:00,1,"15","15001","CON"," 02","001","  ",,,,"0","1",1,,
"1500032",,,"1","1","4806",1/26/1965 0:00:00,1,"15","15001","CON"," 02","001","  ",,,,"1","2",1,,
"1500033",,,"1","1","2402",12/11/1961 0:00:00,1,"15","15001","CON"," 02","004","  ",,,,"1","2",1,,
"1500034",,,"1","1","4806",10/2/1962 0:00:00,1,"15","15001","CON"," 02","005","  ",,,,"0","1",1,,
"1500035",,,"1","1","1603",5/25/1961 0:00:00,1,"15","15001","CON"," 02","006","  ",,,,"1","2",1,,
"1500036",,,"1","1","4806",2/26/1963 0:00:00,1,"15","15001","CON"," 02","006","  ",,,,"1","2",1,,
"1500037",,,"1","1","4806",5/11/1959 0:00:00,1,"15","15001","CON"," 02","007","  ",,,,"0","1",1,,
"1500038",,,"1","1","4806",10/2/1962 0:00:00,1,"15","15001","CON"," 02","007","  ",,,,"0","1",1,,
"1500039",,,"1","1","1503",9/5/1962 0:00:00,1,"15","15005","CON"," 02","017","  ",,,,"0","1",1,,
"1500040",,,"1","1","3503",2/1/1961 0:00:00,1,"15","15001","CON"," 02","012","  ",,,,"1","2",1,,
"1500041",,,"1","1","4806",9/4/1963 0:00:00,1,"15","15001","CON"," 02","013","  ",,,,"0","2",1,,
"1500042",,,"1","1","4833",10/29/1957 0:00:00,1,"15","15005","CON"," 02","018","  ",,,,"0","5",1,,
"1500043",,,"1","1","4806",2/26/1963 0:00:00,1,"15","15001","CON"," 02","020","  ",,,,"0","2",1,,
"1500044",,,"1","1","4806",8/21/1961 0:00:00,1,"15","15001","CON"," 02","022","  ",,,,"1","2",1,,
"1500045",,,"1","1","1331",12/2/1952 0:00:00,1,"15","15001","CON"," 02","022","  ",,,,"1","2",1,,
"1500046",,,"1","1","4806",10/26/1959 0:00:00,1,"15","15001","CON"," 02","022","  ",,,,"0","1",1,,
"1500047",,,"1","1","1802",8/23/1955 0:00:00,1,"15","15001","CON"," 02","022","  ",,,,"0","1",1,,
"1500048",,,"1","1","4806",6/13/1961 0:00:00,1,"15","15001","CON"," 02","022","  ",,,,"0","2",1,,
"1500049",,,"1","1","1802",9/5/1962 0:00:00,1,"15","15001","CON"," 02","022","  ",,,,"1","2",1,,
"1500050",,,"1","1","1802",8/23/1955 0:00:00,1,"15","15001","CON"," 02","023","  ",,,,"0","2",1,,
"1500051",,,"1","1","4806",8/21/1961 0:00:00,1,"15","15001","CON"," 02","023","  ",,,,"0","1",1,,
"1500052",,,"1","1","3517",12/8/1961 0:00:00,1,"15","15001","CON"," 02","025","  ",,,,"1","2",1,,
"1500053",,,"1","1","4724",1/3/1967 0:00:00,1,"15","15001","CON"," 02","026","  ",,,,"0","1",1,,
"1500054",,,"1","1","4724",1/3/1967 0:00:00,1,"15","15001","CON"," 02","026","  ",,,,"0","1",1,,
"1500055",,,"1","1","4767",5/22/1968 0:00:00,1,"15","15001","CON"," 02","026","  ",,,,"0","1",1,,
"1500056",,,"1","1","1802",2/17/1954 0:00:00,1,"15","15001","CON"," 02","027","  ",,,,"0","1",1,,
"1500057",,,"1","1","1802",2/17/1954 0:00:00,1,"15","15001","CON"," 02","027","  ",,,,"1","2",1,,
"1500058",,,"1","1","1802",9/20/1954 0:00:00,1,"15","15001","CON"," 02","027","  ",,,,"0","1",1,,
"1500059",,,"1","1","1802",5/10/1955 0:00:00,1,"15","15001","CON"," 02","027","  ",,,,"0","1",1,,
"1500060",,,"1","1","4306",2/11/1957 0:00:00,1,"15","15001","CON"," 02","027","  ",,,,"0","7",1,,
"1500061",,,"1","1","4806",10/26/1959 0:00:00,1,"15","15001","CON"," 02","027","  ",,,,"0","1",1,,
"1500062",,,"1","1","3503",9/19/1967 0:00:00,1,"15","15001","CON"," 02","027","  ",,,,"0","1",1,,
"1500063",,,"1","1","2402",5/10/1966 0:00:00,1,"15","15001","CON"," 03","001","  ",,,,"1","2",1,,
"1500064",,,"1","1","4806",3/14/1968 0:00:00,1,"15","15001","CON"," 03","001","  ",,,,"0","1",1,,
"1500065",,,"1","1","4806",1/11/1950 0:00:00,1,"15","15001","CON"," 03","002","  ",,,,"0","1",1,,
"1500066",,,"1","1","2402",9/5/1965 0:00:00,1,"15","15001","CON"," 03","002","  ",,,,"1","2",1,,
"1500067",,,"1","1","2402",5/29/1961 0:00:00,1,"15","15001","CON"," 03","003","  ",,,,"1","2",1,,
"1500068",,,"1","1","2402",5/11/1967 0:00:00,1,"15","15001","CON"," 03","003","  ",,,,"0","1",1,,
"1500069",,,"1","1","2402",7/4/1961 0:00:00,1,"15","15001","CON"," 03","004","  ",,,,"1","2",1,,
"1500070",,,"1","1","2415",1/11/1952 0:00:00,1,"15","15001","CON"," 03","005","  ",,,,"1","2",1,,
