"WATER_ID","WELL_ID","PIPE_ID","Layer","kind","WATER_FOUND_DEPTH","WATER_FOUND_DEPTH_UOM"
933452380,"1500001",10570616,1,"1",90.00,"ft"
933452381,"1500001",10570616,2,"1",160.00,"ft"
933452382,"1500002",10570617,1,"2",742.00,"ft"
933452383,"1500003",10570618,1,"1",80.00,"ft"
933452384,"1500003",10570618,2,"1",100.00,"ft"
933452385,"1500004",10570619,1,"3",260.00,"ft"
933452386,"1500005",10570620,1,"1",185.00,"ft"
933452387,"1500006",10570621,1,"1",91.00,"ft"
933452388,"1500006",10570621,2,"5",157.00,"ft"
933452389,"1500006",10570621,3,"5",200.00,"ft"
933452390,"1500007",10570622,1,"1",95.00,"ft"
933452391,"1500007",10570622,2,"5",100.00,"ft"
933452392,"1500008",10570623,1,"1",150.00,"ft"
933452393,"1500009",10570624,1,"1",54.00,"ft"
933452394,"1500010",10570625,1,"3",221.00,"ft"
933452395,"1500010",10570625,2,"5",325.00,"ft"
933452396,"1500011",10570626,1,"2",176.00,"ft"
933452397,"1500011",10570626,2,"5",190.00,"ft"
933452398,"1500012",10570627,1,"1",80.00,"ft"
933452399,"1500013",10570628,1,"3",113.00,"ft"
933452400,"1500013",10570628,2,"5",160.00,"ft"
933452401,"1500014",10570629,1,"3",163.00,"ft"
933452402,"1500014",10570629,2,"5",185.00,"ft"
933452403,"1500015",10570630,1,"2",161.00,"ft"
933452404,"1500016",10570631,1,"1",185.00,"ft"
933452405,"1500017",10570632,1,"1",115.00,"ft"
933452406,"1500017",10570632,2,"1",123.00,"ft"
933452407,"1500018",10570633,1,"1",120.00,"ft"
933452408,"1500019",10570634,1,"2",130.00,"ft"
933452409,"1500020",10570635,1,"5",,"ft"
933452410,"1500021",10570636,1,"5",,"ft"
933452411,"1500022",10570637,1,"5",,"ft"
933452412,"1500023",10570638,1,"5",,"ft"
933452413,"1500024",10570639,1,"1",165.00,"ft"
933452414,"1500025",10570640,1,"1",197.00,"ft"
933452415,"1500025",10570640,2,"1",245.00,"ft"
933452416,"1500025",10570640,3,"2",255.00,"ft"
933452417,"1500026",10570641,1,"2",245.00,"ft"
933452418,"1500027",10570642,1,"1",225.00,"ft"
933452419,"1500027",10570642,2,"1",255.00,"ft"
933452420,"1500028",10570643,1,"1",22.00,"ft"
933452421,"1500029",10570644,1,"1",75.00,"ft"
933452422,"1500029",10570644,2,"1",80.00,"ft"
933452423,"1500030",10570645,1,"2",200.00,"ft"
933452424,"1500031",10570646,1,"1",63.00,"ft"
933452425,"1500031",10570646,2,"1",98.00,"ft"
933452426,"1500032",10570647,1,"1",103.00,"ft"
933452427,"1500032",10570647,2,"1",174.00,"ft"
933452428,"1500033",10570648,1,"1",110.00,"ft"
933452429,"1500034",10570649,1,"1",240.00,"ft"
933452430,"1500035",10570650,1,"2",290.00,"ft"
933452431,"1500036",10570651,1,"1",257.00,"ft"
933452432,"1500036",10570651,2,"1",320.00,"ft"
933452433,"1500037",10570652,1,"1",63.00,"ft"
933452434,"1500037",10570652,2,"1",108.00,"ft"
933452435,"1500038",10570653,1,"1",251.00,"ft"
933452436,"1500038",10570653,2,"1",268.00,"ft"
933452437,"1500039",10570654,1,"1",125.00,"ft"
933452438,"1500039",10570654,2,"1",160.00,"ft"
933452439,"1500040",10570655,1,"2",125.00,"ft"
933452440,"1500041",10570656,1,"2",200.00,"ft"
933452441,"1500041",10570656,2,"2",244.00,"ft"
933452442,"1500042",10570657,1,"1",75.00,"ft"
933452443,"1500043",10570658,1,"2",271.00,"ft"
933452444,"1500044",10570659,1,"1",292.00,"ft"
933452445,"1500044",10570659,2,"1",325.00,"ft"
933452446,"1500045",10570660,1,"4",200.00,"ft"
933452447,"1500046",10570661,1,"1",183.00,"ft"
933452448,"1500046",10570661,2,"1",195.00,"ft"
933452449,"1500047",10570662,1,"2",315.00,"ft"
933452450,"1500048",10570663,1,"2",240.00,"ft"
933452451,"1500049",10570664,1,"1",183.00,"ft"
933452452,"1500050",10570665,1,"1",189.00,"ft"
933452453,"1500051",10570666,1,"1",156.00,"ft"
933452454,"1500051",10570666,2,"1",170.00,"ft"
933452455,"1500051",10570666,3,"1",205.00,"ft"
933452456,"1500052",10570667,1,"1",65.00,"ft"
933452457,"1500052",10570667,2,"1",109.00,"ft"
933452458,"1500053",10570668,1,"1",53.00,"ft"
933452459,"1500053",10570668,2,"1",57.00,"ft"
933452460,"1500054",10570669,1,"1",70.00,"ft"
933452461,"1500054",10570669,2,"1",85.00,"ft"
933452462,"1500055",10570670,1,"1",62.00,"ft"
933452463,"1500056",10570671,1,"1",130.00,"ft"
933452464,"1500057",10570672,1,"1",95.00,"ft"
933452465,"1500058",10570673,1,"1",111.00,"ft"
933452466,"1500059",10570674,1,"1",125.00,"ft"
933452467,"1500060",10570675,1,"1",87.00,"ft"
933452468,"1500061",10570676,1,"1",30.00,"ft"
933452469,"1500061",10570676,2,"1",48.00,"ft"
933452470,"1500062",10570677,1,"1",134.00,"ft"
933452471,"1500063",10570678,1,"5",123.00,"ft"
933452472,"1500063",10570678,2,"1",157.00,"ft"
933452473,"1500064",10570679,1,"1",110.00,"ft"
933452474,"1500065",10570680,1,"1",20.00,"ft"
933452475,"1500065",10570680,2,"1",73.00,"ft"
933452476,"1500065",10570680,3,"1",202.00,"ft"
933452477,"1500066",10570681,1,"5",23.00,"ft"
933452478,"1500066",10570681,2,"1",62.00,"ft"
933452479,"1500067",10570682,1,"1",106.00,"ft"
933452480,"1500067",10570682,2,"1",115.00,"ft"
933452481,"1500068",10570683,1,"1",68.00,"ft"
933452482,"1500069",10570684,1,"1",56.00,"ft"
933452483,"1500070",10570685,1,"1",69.00,"ft"
933452484,"1500070",10570685,2,"1",90.00,"ft"
933452485,"1500070",10570685,3,"1",155.00,"ft"
933452486,"1500071",10570686,1,"1",316.00,"ft"
933452487,"1500072",10570687,1,"3",75.00,"ft"
933452488,"1500073",10570688,1,"1",110.00,"ft"
933452489,"1500074",10570689,1,"1",128.00,"ft"
933452490,"1500075",10570690,1,"1",128.00,"ft"
933452491,"1500076",10570691,1,"2",475.00,"ft"
933452492,"1500076",10570691,2,"2",515.00,"ft"
933452493,"1500077",10570692,1,"1",65.00,"ft"
933452494,"1500078",10570693,1,"5",135.00,"ft"
933452495,"1500078",10570693,2,"1",175.00,"ft"
933452496,"1500079",10570694,1,"1",50.00,"ft"
933452497,"1500079",10570694,2,"1",87.00,"ft"
933452498,"1500080",10570695,1,"1",48.00,"ft"
933452499,"1500080",10570695,2,"1",79.00,"ft"
933452500,"1500080",10570695,3,"1",105.00,"ft"
933452501,"1500081",10570696,1,"1",93.00,"ft"
933452502,"1500082",10570697,1,"1",90.00,"ft"
933452503,"1500083",10570698,1,"1",50.00,"ft"
933452504,"1500084",10570699,1,"1",80.00,"ft"
933452505,"1500085",10570700,1,"1",71.00,"ft"
933452506,"1500085",10570700,2,"1",88.00,"ft"
933452507,"1500086",10570701,1,"1",35.00,"ft"
933452508,"1500086",10570701,2,"1",67.00,"ft"
933452509,"1500087",10570702,1,"1",35.00,"ft"
933452510,"1500087",10570702,2,"3",45.00,"ft"
