cop_band,cm_band,capacity_band,cell_appearances,cell_share_pct,cell_models,rank,ahri_number,ers_appearances,Use,brand,outdoor_model,Spec sheet,page,note,indoor_model,furnace_model,ahri_cop_5f,ahri_capacity_maintenance,ahri_rated_cap_47f_btuh,hspf2_region_iv,hspf2_region_v,cert_status,ahri_cold_climate,ahri_product_group,nrcan_listed,nrcan_brand,es_listed,es_most_efficient,es_cold_climate,es_refrigerant,compressor_staging,implausible_rating,source_url
COP<=1.8,cm<0.60,<18k,660,0.21,31,1,208106642,19,,LENNOX,MHB012S4S-1L,,,no held PDF mentions this model,,,1.78,0.525,12000,8.7,,Active,No,,no,,no,,,,,,
COP<=1.8,cm<0.60,<18k,660,0.21,31,2,208447826,5,,CARRIER,38MHRCQ12AA1,,,no held PDF mentions this model,,,1.78,0.525,12000,8.7,,Active,No,,no,,no,,,,,,
COP<=1.8,cm<0.60,<18k,660,0.21,31,3,211034462,4,,LENNOX,MHB012S4S-1L,,,no held PDF mentions this model,,,1.78,0.525,12000,8.7,,Active,No,,no,,no,,,,,,
COP<=1.8,cm<0.60,18-30k,1934,0.61,59,1,211078853,122,,TOSOT,TUD24W2/D-D(U),,,no held PDF mentions this model,,,1.75,0.5696,23000,7.8,,Active,No,,no,,no,,,,,,
COP<=1.8,cm<0.60,18-30k,1934,0.61,59,2,210421033,69,,GREE,GUD30W2/D-D(U),16-SEER-FLEXX-SALES-GUIDE_1,13,,,,1.76,0.5629,28600,7.8,,Active,No,,no,,no,,,,,,
COP<=1.8,cm<0.60,18-30k,1934,0.61,59,3,210421032,61,Yes,GREE,GUD24W2/D-D(U),16-SEER-FLEXX-SALES-GUIDE_1,12,,,,1.75,0.5696,23000,7.8,,Active,No,,no,,no,,,,,,
COP<=1.8,cm<0.60,30-42k,634,0.2,60,1,211078855,156,,TOSOT,TUD36W2/D-D(U),TOSOT_TUD36.pdf,1,same as GUD36W2/D-D(U),,,1.76,0.55,34000,7.7,,Active,No,,no,,no,,,,,,
COP<=1.8,cm<0.60,30-42k,634,0.2,60,2,210421034,75,Yes,GREE,GUD36W2/D-D(U),16-SEER-FLEXX-SALES-GUIDE_1,13,,,,1.76,0.55,34000,7.7,,Active,No,,no,,no,,,,,,
COP<=1.8,cm<0.60,30-42k,634,0.2,60,3,211078856,36,,TOSOT,TUD42W2/D-D(U),,,no held PDF mentions this model,,,1.78,0.585,40000,7.8,,Active,No,,no,,no,,,,,,
COP<=1.8,cm<0.60,>=42k,314,0.1,40,1,210421036,31,Yes,GREE,GUD48W2/D-D(U),16-SEER-FLEXX-SALES-GUIDE_1,14,,,,1.76,0.5696,46000,7.7,,Active,No,,no,,no,,,,,,
COP<=1.8,cm<0.60,>=42k,314,0.1,40,2,206335356,28,,GREE,GMV-36WL/C-T(U),,,no held PDF mentions this model,,,1.8,0.4762,42000,8,,Active,No,,no,,no,,,,,,
COP<=1.8,cm<0.60,>=42k,314,0.1,40,3,211078858,27,,TOSOT,TUD60W2/D-D(U),,,no held PDF mentions this model,,,1.77,0.5815,54000,7.8,,Active,No,,no,,no,,,,,,
COP<=1.8,0.60<=cm<0.80,<18k,15336,4.84,159,1,10570123,4182,,LG,LSU120HSV5,lg/LG_LSU120HSV5_submittal_ajmadison.pdf,1,exact outdoor model string in doc — combination NOT confirmed; rated points only — NOT a curve,LSN120HSV5,,1.8,0.7059,13600,10,7.5,Active,Yes,ccASHP,yes,LG,yes,Yes,Yes,R-410A,Continuously variable,,https://assets.ajmadison.com/ajmadison/itemdocs/D5b84511d22570.pdf
COP<=1.8,0.60<=cm<0.80,<18k,15336,4.84,159,2,204580064,381,,ZEPHYR,ZE-12CA22EXT,,,no held PDF mentions this model,,,1.75,0.7,12000,9.5,,Active,No,,no,,no,,,,,,
COP<=1.8,0.60<=cm<0.80,<18k,15336,4.84,159,3,209276088,295,,GREE,GWH12ATCXB-D3DNA1C/O,,,no held PDF mentions this model,GWH12ATCXB-D3DN***/I,,1.8,0.7083,12000,8.5,7.2,Active,Yes,ccASHP,yes,GREE,yes,No,Yes,R-410A,Continuously variable,,
COP<=1.8,0.60<=cm<0.80,18-30k,11419,3.6,240,1,204825179,739,Yes,LG,LAU150HYV3,LG_ArtCoolPremier_HYV3_engmanual.pdf,4,ALREADY DIGITIZED — points in datasheet_points_v2.json; no manual search needed,LAN150HYV3,,1.8,0.7,18000,11,8.2,Active,Yes,ccASHP,yes,LG,yes,Yes,Yes,R-410A,Continuously variable,,
COP<=1.8,0.60<=cm<0.80,18-30k,11419,3.6,240,2,9108747,545,,TOSOT,TW18HQ2C2DO,tosot/TOSOT_heatpump_catalogue_2022.pdf,8,normalized outdoor model match — combination NOT confirmed; rated points only — NOT a curve,TW18HQ2C2DI,,1.75,0.7576,19800,8.3,7.3,Active,No,ccASHP,yes,TOSOT,no,,,,,,https://tosotamerica.com/wp-content/uploads/2022/05/TOSOTCAT22_EN_1mai.pdf
COP<=1.8,0.60<=cm<0.80,18-30k,11419,3.6,240,3,211177532,431,,KINGHOME,KU36UHO,,,no held PDF mentions this model,KCA24*I,ML296UH070XV36B-*,1.75,0.7,24000,8.5,7.4,Active,No,ccASHP,yes,KINGHOME,no,,,,,,
COP<=1.8,0.60<=cm<0.80,30-42k,38806,12.24,230,1,211644151,11555,Yes,GREE,GUD36W/A-D(U),gree/FLEXX-Ultra-18-Service-Manual.pdf,6,ALREADY DIGITIZED — points in datasheet_points_v2.json; no manual search needed,GCAT36*/NAA,Coils Only/Serpentins seulement,1.8,0.7222,36000,8.5,7,Active,Yes,ccASHP,yes,GREE,yes,No,Yes,R-410A,Continuously variable,,
COP<=1.8,0.60<=cm<0.80,30-42k,38806,12.24,230,2,212361362,11016,,KINGHOME,KU36UHO,,,no held PDF mentions this model,KCA36*I,Coils Only/Serpentins seulement,1.8,0.7222,36000,8.5,7,Active,No,ccASHP,yes,KINGHOME,no,,,,,,
COP<=1.8,0.60<=cm<0.80,30-42k,38806,12.24,230,3,212361366,4406,,TOSOT,TU36-24WADU,TOSOT_APEX_2-3ton.pdf,1,exact outdoor model string in doc — combination NOT confirmed; rated points only — NOT a curve,TCAT36F/NAA,Coils Only/Serpentins seulement,1.8,0.7222,36000,8.5,7,Active,No,ccASHP,yes,TOSOT,no,,,,,,
COP<=1.8,0.60<=cm<0.80,>=42k,4739,1.49,142,1,212396764,135,,TRANE,4TXD2060A10NU**,,,no held PDF mentions this model,"H,TG52960+TD",Coils Only/Serpentins seulement,1.8,0.62,60000,8.5,7,Active,No,ccASHP,yes,ADP,no,,,,,,
COP<=1.8,0.60<=cm<0.80,>=42k,4739,1.49,142,2,207641338,76,,SENVILLE,SENA/48HF/MOQ,,,no held PDF mentions this model,,,1.8,0.6875,48000,8.7,6.8,Active,No,ccASHP,yes,SENVILLE,yes,Yes,No,R-410A,Continuously variable,,
COP<=1.8,0.60<=cm<0.80,>=42k,4739,1.49,142,3,207699101,39,,LENNOX,MPC048S4M-1P,,,no held PDF mentions this model,,,1.8,0.6875,48000,8.7,6.8,Active,No,ccASHP,yes,LENNOX,yes,Yes,No,R-410A,Continuously variable,,
COP<=1.8,cm>=0.80,<18k,8733,2.75,164,1,207657395,726,,KERR,A-KMH12SV-1,,,no held PDF mentions this model,B-KMH12SV-1,,1.8,1,12000,10.4,8,Active,Yes,ccASHP,yes,KERR,yes,Yes,Yes,R-410A,Continuously variable,,
COP<=1.8,cm>=0.80,<18k,8733,2.75,164,2,207683521,463,,LENNOX,MLB012S4S-1P,,,no held PDF mentions this model,MWMC012S4-1P,,1.8,1,12000,10.4,8,Active,Yes,ccASHP,yes,LENNOX,yes,Yes,Yes,R-410A,Continuously variable,,
COP<=1.8,cm>=0.80,<18k,8733,2.75,164,3,206348136,305,,CARRIER,38MARBQ12AA3,,,no held PDF mentions this model,40MAHBQ12XA3,,1.8,1,12000,10.4,8,Active,Yes,ccASHP,yes,CARRIER,yes,Yes,Yes,R-410A,Continuously variable,,
COP<=1.8,cm>=0.80,18-30k,31979,10.09,339,1,206249116,2253,Yes,GREE,GUD36W/A-D(U),gree/FLEXX-Ultra-18-Service-Manual.pdf,6,ALREADY DIGITIZED — points in datasheet_points_v2.json; no manual search needed,GUD24AH2/A-D(U),,1.8,0.9167,24000,9,7.4,Active,Yes,ccASHP,yes,GREE,yes,Yes,Yes,R-410A,Continuously variable,,
COP<=1.8,cm>=0.80,18-30k,31979,10.09,339,2,202557961,1650,,GREE,GWHD(24)ND3JO,,,no held PDF mentions this model,,,1.8,1.1538,26000,10,7.2,Active,Yes,ccASHP,yes,GREE,yes,Yes,Yes,R-410A,Continuously variable,,
COP<=1.8,cm>=0.80,18-30k,31979,10.09,339,3,212361361,1454,,KINGHOME,KU36UHO,,,no held PDF mentions this model,KCA24*I,Coils Only/Serpentins seulement,1.8,0.9,24000,8.5,7,Active,No,ccASHP,yes,KINGHOME,no,,,,,,
COP<=1.8,cm>=0.80,30-42k,24710,7.79,240,1,206249117,9146,Yes,GREE,GUD36W/A-D(U),GREE_FLEXX_Ultra18_GUD36W-A-DU_submittal.pdf,2,ALREADY DIGITIZED — points in datasheet_points_v2.json; no manual search needed,GUD36AH2/A-D(U),,1.8,0.8,35000,9,7.4,Active,Yes,ccASHP,yes,GREE,yes,Yes,Yes,R-410A,Continuously variable,,
COP<=1.8,cm>=0.80,30-42k,24710,7.79,240,2,206414273,3866,,TOSOT,TU36-24WADU,TOSOT_APEX_2-3ton.pdf,1,exact outdoor model string in doc — combination NOT confirmed; rated points only — NOT a curve,TUD36-24AH2ADU,,1.8,0.8,35000,9,7.4,Active,Yes,ccASHP,yes,TOSOT,yes,Yes,Yes,R-410A,Continuously variable,,
COP<=1.8,cm>=0.80,30-42k,24710,7.79,240,3,207256441,2715,,GREE,FLEXX36HP230V1AO,GREE_FLEXX_extended_ratings.pdf,2,exact outdoor model string in doc — combination NOT confirmed; has full cap+COP+power table,FLEXX36HP230V1BH,,1.8,0.8,35000,9,7.4,Active,Yes,ccASHP,yes,GREE,yes,Yes,Yes,R-410A,Continuously variable,,
COP<=1.8,cm>=0.80,>=42k,1688,0.53,71,1,213248972,16,,Mitsubishi Electric,PUMY-HP48NKMU2***,MITSUBISHI_PUMY-HP48_sub.pdf,1,normalized outdoor model match — combination NOT confirmed; rated points only — NOT a curve,,,1.8,0.8704,54000,8.8,,Active,No,,no,,no,,,,,,
COP<=1.8,cm>=0.80,>=42k,1688,0.53,71,2,216030970,15,,MOOVAIR,MSHMA60R2AN1,,,no held PDF mentions this model,MAHMA60R4AS1,,1.8,0.9286,56000,9,8,Active,Yes,ccASHP,yes,MOOVAIR,yes,Yes,Yes,R-454B,Continuously variable,,
