"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 00:00","2025","01","01","00:00","","0.1","","-0.2","","98","","0.6","","34","","10","","","","97.18","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 01:00","2025","01","01","01:00","","0.1","","-0.2","","98","","0.5","","33","","11","","","","97.16","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 02:00","2025","01","01","02:00","","0.1","","-0.2","","98","","0.2","","34","","13","","","","97.18","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 03:00","2025","01","01","03:00","","0.1","","-0.2","","98","","0.1","","34","","13","","","","97.23","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 04:00","2025","01","01","04:00","","0.1","","-0.2","","98","","0.2","","34","","13","","","","97.25","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 05:00","2025","01","01","05:00","","0.2","","-0.1","","98","","0.3","","34","","15","","","","97.25","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 06:00","2025","01","01","06:00","","0.2","","-0.1","","98","","2.5","","33","","15","","","","97.29","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 07:00","2025","01","01","07:00","","0.3","","0.0","","98","","0.1","","33","","18","","","","97.35","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 08:00","2025","01","01","08:00","","0.2","","-0.1","","98","","0.3","","33","","18","","","","97.41","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 09:00","2025","01","01","09:00","","0.4","","0.0","","97","","0.2","","33","","19","","","","97.49","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 10:00","2025","01","01","10:00","","0.4","","-0.1","","96","","0.1","","33","","17","","","","97.56","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 11:00","2025","01","01","11:00","","0.2","","-0.3","","96","","0.0","","31","","17","","","","97.64","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 12:00","2025","01","01","12:00","","0.0","","-0.6","","96","","0.5","","32","","15","","","","97.63","","","","-4","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 13:00","2025","01","01","13:00","","0.1","","-1.0","","92","","0.3","","31","","19","","","","97.65","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 14:00","2025","01","01","14:00","","-0.2","","-1.6","","90","","0.0","","30","","17","","","","97.68","","","","-5","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 15:00","2025","01","01","15:00","","0.3","","-2.2","","84","","0.0","","31","","16","","","","97.71","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 16:00","2025","01","01","16:00","","0.0","","-2.8","","81","","0.0","","29","","12","","","","97.78","","","","-4","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 17:00","2025","01","01","17:00","","0.0","","-2.9","","81","","0.0","","29","","12","","","","97.83","","","","-4","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 18:00","2025","01","01","18:00","","0.2","","-2.3","","83","","0.0","","29","","13","","","","97.86","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 19:00","2025","01","01","19:00","","0.0","","-3.1","","80","","0.0","","29","","13","","","","97.91","","","","-4","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 20:00","2025","01","01","20:00","","-0.4","","-3.3","","80","","0.0","","30","","11","","","","97.94","","","","-4","","NA"
"-79.78","44.23","EGBERT CS","611E001","2025-01-01 21:00","2025","01","01","21:00","","-0.6","","-4.5","","75","","0.0","","29","","11","","","","97.94","","","","-4","","NA"
