fsa,facility,province,designation,transferred_flag
A0A,ST. JOHN'S,NL,DCF,False
A0B,ST. JOHN'S,NL,DCF,False
A0C,CLARENVILLE,NL,DCF,False
A0E,CLARENVILLE,NL,DCF,False
A0G,GANDER,NL,DCF,False
A0H,GRAND FALLS,NL,DCF,False
A0J,GRAND FALLS,NL,DCF,False
A0K,DEER LAKE,NL,DCF,False
A0L,CORNER BROOK,NL,DCF,False
A0M,PORT-AUX-BASQUES,NL,DCF,False
A0N,STEPHENVILLE,NL,DCF,False
A0P,H. VAL-GOOSE BAY,NL,DCF,False
A0R,MONTREAL,QC,CDP,False
A0Z,STEPHENVILLE,NL,DCF,False
A1A,ST. JOHN'S,NL,STN MAIN,False
A1B,ST. JOHN'S,NL,STN MAIN,False
A1C,ST. JOHN'S,NL,STN MAIN,False
A1E,ST. JOHN'S,NL,STN MAIN,False
A1G,ST. JOHN'S,NL,STN MAIN,False
A1H,ST. JOHN'S,NL,STN MAIN,False
A1K,TORBAY,NL,STN MAIN,False
A1L,PARADISE,NL,STN MAIN,False
A1M,PORTUGAL COVE-ST PHILIPS,NL,STN MAIN,False
A1N,ST. JOHN'S,NL,STN MAIN,False
A1S,GOULDS,NL,STN MAIN,False
A1V,GANDER,NL,LCD MAIN,False
A1W,MANUELS,NL,STN MAIN,False
A1X,FOXTRAP,NL,STN MAIN,False
A1Y,CARBONEAR,NL,STN MAIN,False
A2A,GRAND FALLS-WINDSOR,NL,LCD MAIN,False
A2B,GRAND FALLS-WINDSOR,NL,LCD MAIN,False
A2H,CORNER BROOK,NL,LCD MAIN,False
A2N,STEPHENVILLE,NL,LCD MAIN,False
A2V,LABRADOR CITY,NL,LCD MAIN,False
A5A,CLARENVILLE,NL,LCD MAIN,False
A8A,DEER LAKE,NL,STN MAIN,False
B0C,SYDNEY,NS,DCF,False
B0E,PORT HAWKESBURY,NS,DCF,False
B0H,ANTIGONISH,NS,DCF,False
B0J,HALIFAX,NS,DCF,False
B0K,NEW GLASGOW,NS,DCF,False
B0L,AMHERST,NS,DCF,False
B0M,TRURO,NS,DCF,False
B0N,HALIFAX,NS,DCF,False
B0P,KENTVILLE,NS,DCF,False
B0R,BRIDGEWATER,NS,DCF,False
B0S,MIDDLETON,NS,DCF,False
B0T,LIVERPOOL,NS,DCF,False
B0V,DIGBY,NS,DCF,False
B0W,YARMOUTH,NS,DCF,False
B1A,GLACE BAY,NS,LCD MAIN,False
B1B,GLACE BAY,NS,LCD MAIN,False
B1C,LOUISBOURG,NS,STN MAIN,False
B1E,RESERVE MINES,NS,STN MAIN,False
B1G,DOMINION,NS,STN MAIN,False
B1H,NEW WATERFORD,NS,LCD MAIN,False
B1J,SYDNEY AREA,NS,STN J,False
B1K,SYDNEY AREA,NS,STN K,False
B1L,SYDNEY,NS,STN MAIN,False
B1M,SYDNEY,NS,STN MAIN,False
B1N,SYDNEY,NS,STN MAIN,False
B1P,SYDNEY,NS,STN MAIN,False
B1R,SYDNEY,NS,STN MAIN,False
B1S,SYDNEY,NS,STN MAIN,False
B1T,CHRISTMAS ISLAND,NS,STN MAIN,False
B1V,NORTH SYDNEY,NS,LCD MAIN,False
B1W,ESKASONI,NS,STN MAIN,False
B1X,SYDNEY AREA,NS,STN Y,False
B1Y,SYDNEY AREA,NS,STN Y,False
B2A,NORTH SYDNEY,NS,LCD MAIN,False
B2C,IONA,NS,STN MAIN,False
B2E,SYDNEY AREA,NS,STN J,False
B2G,ANTIGONISH,NS,LCD MAIN,False
B2H,NEW GLASGOW,NS,LCD MAIN,False
B2J,SYDNEY AREA,NS,STN K,False
B2N,TRURO,NS,STN MAIN,False
B2R,WAVERLEY,NS,STN MAIN,False
B2S,LANTZ,NS,STN MAIN,False
B2T,ENFIELD,NS,STN MAIN,False
B2V,DARTMOUTH,NS,LCD MAIN,False
B2W,DARTMOUTH,NS,LCD MAIN,False
B2X,DARTMOUTH,NS,LCD MAIN,False
B2Y,DARTMOUTH,NS,LCD MAIN,False
B2Z,DARTMOUTH,NS,LCD MAIN,False
B3A,DARTMOUTH,NS,LCD MAIN,False
B3B,DARTMOUTH,NS,LCD MAIN,False
B3E,PORTERS LAKE,NS,STN MAIN,False
B3G,DARTMOUTH,NS,LCD MAIN,False
B3H,HALIFAX,NS,LCD 1,False
B3J,HALIFAX,NS,LCD 1,False
B3K,HALIFAX,NS,LCD 1,False
B3L,HALIFAX,NS,LCD 1,False
B3M,HALIFAX,NS,LCD 1,False
B3N,HALIFAX,NS,LCD 1,False
B3P,HALIFAX,NS,LCD 1,False
B3R,HALIFAX,NS,LCD 1,False
B3S,HALIFAX,NS,LCD 1,False
B3T,LAKESIDE,NS,LCD MAIN,False
B3V,HALIFAX,NS,LCD 1 ETION / (-***) SUPPRIMER (*) TRANSFER -,False
B3Z,TANTALLON,NS,STN MAIN,False
B4A,DARTMOUTH,NS,LCD MAIN,False
B4B,DARTMOUTH,NS,LCD MAIN,False
B4C,DARTMOUTH,NS,LCD MAIN,False
B4E,DARTMOUTH,NS,LCD MAIN,False
B4G,DARTMOUTH,NS,LCD MAIN,False
B4H,AMHERST,NS,LCD MAIN,False
B4N,KENTVILLE,NS,LCD MAIN,False
B4P,WOLFVILLE,NS,STN MAIN,False
B4R,COLDBROOK,NS,STN MAIN,False
B4V,BRIDGEWATER,NS,LCD MAIN,False
B5A,YARMOUTH,NS,LCD MAIN,False
B6L,TRURO,NS,STN MAIN,False
B9A,PORT HAWKESBURY,NS,STN MAIN,False
C0A,CHARLOTTETOWN,PE,DCF,False
C0B,SUMMERSIDE,PE,DCF HANGE / (*) TRANFERER - CHANGEMENT,False
C1A,CHARLOTTETOWN,PE,STN MAIN,False
C1B,CHARLOTTETOWN,PE,STN MAIN,False
C1C,CHARLOTTETOWN,PE,STN MAIN,False
C1E,CHARLOTTETOWN,PE,STN MAIN,False
C1N,SUMMERSIDE,PE,LCD MAIN,False
E0A,MONCTON,NB,DCF,False
E0B,BATHURST,NB,DCF,False
E0C,MIRAMICHI,NB,DCF,False
E0E,SUSSEX,NB,DCF,False
E0G,SAINT JOHN,NB,DCF,False
E0H,FREDERICTON,NB,DCF,False
E0J,STJ EXT-WOODSTOCK,NB,DCF,False
E0K,CAMPBELLTON,NB,DCF,False
E0L,STJ EXT-EDMUNDSTON,NB,DCF,False
E1A,MONCTON,NB,LCD 2,False
E1B,MONCTON,NB,STN LCD 1,False
E1C,MONCTON,NB,STN LCD 1,False
E1E,MONCTON,NB,STN LCD 1,False
E1G,MONCTON,NB,STN LCD 1,False
E1H,MONCTON,NB,STN LCD 1,False
E1J,MONCTON,NB,STN LCD 1,False
E1K,MONCTON,NB,LCD 2,False
E1N,MIRAMICHI,NB,LCD MAIN,False
E1V,MIRAMICHI,NB,LCD MAIN,False
E1W,CARAQUET,NB,STN MAIN,False
E1X,TRACADIE-SHEILA,NB,STN MAIN,False
E2A,BATHURST,NB,LCD MAIN,False
E2E,SAINT JOHN,NB,LCD MAIN,False
E2G,SAINT JOHN,NB,LCD MAIN,False
E2H,SAINT JOHN,NB,LCD MAIN,False
E2J,SAINT JOHN,NB,LCD MAIN,False
E2K,SAINT JOHN,NB,LCD MAIN,False
E2L,SAINT JOHN,NB,LCD MAIN,False
E2M,SAINT JOHN,NB,LCD MAIN,False
E2N,SAINT JOHN,NB,LCD MAIN,False
E2P,SAINT JOHN,NB,LCD MAIN,False
E2R,SAINT JOHN,NB,LCD MAIN,False
E2S,SAINT JOHN,NB,LCD MAIN,False
E2V,OROMOCTO,NB,STN MAIN,False
E3A,FREDERICTON,NB,STN LCD 1,False
E3B,FREDERICTON,NB,STN LCD 1,False
E3C,FREDERICTON,NB,STN LCD 1,False
E3E,FREDERICTON,NB,STN LCD 1,False
E3G,FREDERICTON,NB,STN LCD 1,False
E3L,ST STEPHEN,NB,LCD MAIN,False
E3N,CAMPBELLTON,NB,LCD MAIN,False
E3V,EDMUNDSTON,NB,LCD 1,False
E3Y,GRAND FALLS-GRAND-SAULT,NB,STN MAIN,False
E3Z,GRAND FALLS-GRAND-SAULT,NB,STN MAIN,False
E4A,CHIPMAN,NB,STN MAIN,False
E4B,SUSSEX AREA,NB,STN B,False
E4C,SUSSEX AREA,NB,STN C,False
E4E,SUSSEX,NB,STN MAIN,False
E4G,SUSSEX,NB,STN MAIN,False
E4H,MONCTON AREA,NB,STN H,False
E4J,SALISBURY,NB,STN MAIN,False
E4K,MONCTON AREA,NB,STN K,False
E4L,SACKVILLE,NB,STN MAIN,False
E4M,MONCTON AREA,NB,STN M,False
E4N,MONCTON AREA,NB,STN N,False
E4P,MONCTON AREA,NB,STN P,False
E4R,MONCTON AREA,NB,STN R,False
E4S,MONCTON AREA,NB,STN S,False
E4T,MONCTON AREA,NB,STN T,False
E4V,MONCTON AREA,NB,STN V,False
E4W,MONCTON AREA,NB,STN W,False
E4X,MONCTON AREA,NB,STN X,False
E4Y,ROGERSVILLE,NB,STN MAIN,False
E4Z,MONCTON AREA,NB,STN Z,False
E5A,MOORES MILLS,NB,STN MAIN,False
E5B,ST ANDREWS,NB,STN MAIN,False
E5C,SAINT JOHN AREA,NB,STN C,False
E5E,SAINT JOHN AREA,NB,STN E,False
E5G,SAINT JOHN AREA,NB,STN G,False
E5H,SAINT JOHN AREA,NB,STN H,False
E5J,SAINT JOHN AREA,NB,STN J,False
E5K,SAINT JOHN AREA,NB,STN K,False
E5L,SAINT JOHN AREA,NB,STN L,False
E5M,SAINT JOHN AREA,NB,STN M,False
E5N,HAMPTON,NB,STN MAIN,False
E5P,SAINT JOHN AREA,NB,STN P,False
E5R,ST MARTINS,NB,STN MAIN,False
