WEATHERLOC,n_evaluations,top_prov,map_name,map_prov,matched_via,lat,lon,HDD_18C,design_heating_db_C,design_cooling_db_C,design_cooling_wb_C
"TORONTO MET RES STN,ONTARIO",455066,ON,TORONTO BUTTONVILLE,ON,alias:nearest (Downsview absent),43.86,-79.37000339832807,3863.0,-19.8,31.6,23.2
"TORONTO,ONTARIO",377107,ON,TORONTO CITY CENTRE,ON,alias:downtown approx,43.63,-79.39000338424748,3559.0,-16.3,28.5,23.2
"LONDON,ONTARIO",185243,ON,LONDON,ON,exact,43.03,-81.15000388724363,3809.0,-18.4,30.1,23.8
"OTTAWA,ONTARIO",153163,ON,OTTAWA INTL,ON,prefix,45.32,-75.67000232031012,4354.0,-24.3,30.4,23.5
"VANCOUVER,BRITISH COLUMBIA",131486,BC,VANCOUVER INTL,BC,prefix,49.19,-123.18001543206012,2768.0,-4.4,24.9,19.2
"SIMCOE,ONTARIO",123696,ON,LONDON,ON,"proxy:~65 km, inland SW Ontario",43.03,-81.15000388724363,3809.0,-18.4,30.1,23.8
"TORONTO BUTTONVILLE,ONTARIO",119280,ON,TORONTO BUTTONVILLE,ON,exact,43.86,-79.37000339832807,3863.0,-19.8,31.6,23.2
"QUEBEC,QUEBEC",112950,QC,QUÉBEC INTL,QC,alias,46.8,-71.38000099180711,4838.0,-25.7,28.4,22.7
"WINDSOR,ONTARIO",97213,ON,WINDSOR,ON,exact,42.28,-82.96000438207619,3306.0,-15.2,31.8,24.6
"TORONTO INTL,ONTARIO",87690,ON,TORONTO INTL,ON,exact,43.68,-79.63000346451871,3664.0,-18.3,31.5,23.9
"MONTREAL,QUEBEC",80828,QC,MONTRÉAL INTL,QC,alias,45.47,-73.7400016901359,4167.0,-23.1,29.7,23.4
"ST-HUBERT,QUEBEC",80431,QC,MONTRÉAL-ST-HUBERT,QC,alias,45.52,-73.42000158714774,4275.0,-23.2,29.6,23.5
"OTTAWA INTL,ONTARIO",76292,ON,OTTAWA INTL,ON,exact,45.32,-75.67000232031012,4354.0,-24.3,30.4,23.5
"CALGARY,ALBERTA",73666,AB,CALGARY INTL,AB,prefix,51.11,-114.02001426026708,4876.0,-26.2,28.6,18.7
"HALIFAX,NOVA SCOTIA",73444,NS,HALIFAX INTL,NS,prefix,44.88,-63.509998181166985,4111.0,-18.0,27.4,21.8
"EDMONTON,ALBERTA",73179,AB,EDMONTON INTL,AB,prefix,53.31,-113.58001483973388,5668.0,-30.8,27.4,20.1
"BURLINGTON PIERS,ONTARIO",71220,ON,BURLINGTON PIERS,ON,exact,43.3,-79.80000348513677,3449.0,-15.6,30.5,23.5
"CALGARY INTL,ALBERTA",70933,AB,CALGARY INTL,AB,exact,51.11,-114.02001426026708,4876.0,-26.2,28.6,18.7
"MCTAVISH,QUEBEC",64803,QC,MCTAVISH,QC,exact,45.5,-73.58000163863731,4028.0,-22.3,29.6,23.3
"EDMONTON INTL,ALBERTA",62183,AB,EDMONTON INTL,AB,exact,53.31,-113.58001483973388,5668.0,-30.8,27.4,20.1
"SHERBROOKE,QUEBEC",51499,QC,LENNOXVILLE,QC,alias:Sherbrooke borough,45.37,-71.8200010365851,4517.0,-25.8,28.8,22.9
"TORONTO CITY CENTRE,ONTARIO",48147,ON,TORONTO CITY CENTRE,ON,exact,43.63,-79.39000338424748,3559.0,-16.3,28.5,23.2
"WINNIPEG,MANITOBA",47618,MB,WINNIPEG INTL,MB,prefix,49.91,-97.24000972888996,5542.0,-31.3,29.9,23.4
"HALIFAX INTL,NOVA SCOTIA",46117,NS,HALIFAX INTL,NS,exact,44.88,-63.509998181166985,4111.0,-18.0,27.4,21.8
"MONCTON,NEW BRUNSWICK",43809,NB,MONCTON INTL,NB,prefix,46.11,-64.67999863576253,4514.0,-22.1,28.3,22.2
"FREDERICTON,NEW BRUNSWICK",43487,NB,FREDERICTON,NB,exact,45.87,-66.53999926675375,4481.0,-23.3,29.2,22.2
"MONTRÉAL-ST-HUBERT,QUEBEC",41776,QC,MONTRÉAL-ST-HUBERT,QC,exact,45.52,-73.42000158714774,4275.0,-23.2,29.6,23.5
"REGINA,SASKATCHEWAN",40728,SK,REGINA INTL,SK,prefix,50.43,-104.6700118738994,5597.0,-32.4,30.3,22.1
"GREENWOOD,NOVA SCOTIA",39719,NS,GREENWOOD,NS,exact,44.98,-64.91999866780347,3938.0,-17.1,29.1,22.7
"SYDNEY,NOVA SCOTIA",39370,NS,SYDNEY,NS,exact,46.16,-60.04999702849223,4315.0,-15.5,27.1,21.6
"SASKATOON,SASKATCHEWAN",39065,SK,SASKATOON INTL,SK,prefix,52.17,-106.70001284814377,5695.0,-32.5,29.6,21.3
"BAGOTVILLE,QUEBEC",37161,QC,BAGOTVILLE,QC,exact,48.33,-71.00000097750525,5420.0,-29.2,28.4,21.0
"MONCTON INTL,NEW BRUNSWICK",35028,NB,MONCTON INTL,NB,exact,46.11,-64.67999863576253,4514.0,-22.1,28.3,22.2
"L'ASSOMPTION,QUEBEC",34786,QC,L'ASSOMPTION,QC,exact,45.81,-73.43000161290502,4531.0,-26.1,29.8,23.6
"MUSKOKA,ONTARIO",34525,ON,MUSKOKA,ON,exact,44.97,-79.30000347701672,4622.0,-26.6,29.0,22.7
"COMOX,BRITISH COLUMBIA",33931,BC,COMOX,BC,exact,49.72,-124.90001584313909,2939.0,-3.2,26.4,18.7
"ABBOTSFORD,BRITISH COLUMBIA",33908,BC,ABBOTSFORD,BC,exact,49.03,-122.36001525765933,2760.0,-5.9,29.0,20.5
"MIRABEL,QUEBEC",33714,QC,MONTRÉAL MIRABEL  INTL,QC,contains,45.68,-74.03000180329269,4569.0,-25.9,29.2,23.2
"VICTORIA,BRITISH COLUMBIA",33150,BC,VICTORIA GONZALES,BC,alias:city station,48.41,-123.32001524919549,2763.0,-1.3,22.8,17.4
"QUÉBEC INTL,QUEBEC",33040,QC,QUÉBEC INTL,QC,exact,46.8,-71.38000099180711,4838.0,-25.7,28.4,22.7
"MONTRÉAL MIRABEL  INTL,QUEBEC",31471,QC,MONTRÉAL MIRABEL  INTL,QC,exact,45.68,-74.03000180329269,4569.0,-25.9,29.2,23.2
"SAINT JOHN,NEW BRUNSWICK",31144,NB,SAINT JOHN,NB,exact,45.32,-65.88999901572035,4580.0,-22.5,25.8,20.1
"CHARLOTTETOWN,PRINCE EDWARD ISLAND",30121,PE,CHARLOTTETOWN,PE,exact,46.29,-63.11999810244639,4404.0,-19.3,26.7,21.8
"LENNOXVILLE,QUEBEC",29692,QC,LENNOXVILLE,QC,exact,45.37,-71.8200010365851,4517.0,-25.8,28.8,22.9
"MONTRÉAL INTL,QUEBEC",29415,QC,MONTRÉAL INTL,QC,exact,45.47,-73.7400016901359,4167.0,-23.1,29.7,23.4
"NICOLET,QUEBEC",29342,QC,NICOLET,QC,exact,46.23,-72.66000138493598,4560.0,-25.2,28.4,23.4
"TRENTON,ONTARIO",29165,ON,TRENTON,ON,exact,44.12,-77.53000282873546,3935.0,-21.8,29.5,23.6
"SHEARWATER,NOVA SCOTIA",28833,NS,SHEARWATER,NS,exact,44.64,-63.50999817114914,3870.0,-15.9,27.0,21.3
"STE-FOY,QUEBEC",27871,QC,STE-FOY,QC,exact,46.78,-71.29000095856752,4754.0,-24.8,28.5,22.6
"SUMMERLAND,BRITISH COLUMBIA",24661,BC,SUMMERLAND,BC,exact,49.56,-119.6500149356602,3359.0,-13.4,33.4,19.3
"TRURO,NOVA SCOTIA",24532,NS,HALIFAX INTL,NS,proxy:~60 km,44.88,-63.509998181166985,4111.0,-18.0,27.4,21.8
"VANCOUVER INTL,BRITISH COLUMBIA",23983,BC,VANCOUVER INTL,BC,exact,49.19,-123.18001543206012,2768.0,-4.4,24.9,19.2
"COP UPPER,ALBERTA",22715,AB,COP UPPER,AB,exact,51.08,-114.22001429461861,4836.0,-25.5,28.3,17.8
"PITT MEADOWS,BRITISH COLUMBIA",22476,BC,PITT MEADOWS,BC,exact,49.21,-122.69001535857441,2851.0,-6.3,29.5,20.7
"SUDBURY,ONTARIO",21089,ON,SUDBURY,ON,exact,46.63,-80.80000413444762,5049.0,-27.7,28.7,21.5
"KAMLOOPS,BRITISH COLUMBIA",20013,BC,KAMLOOPS,BC,exact,50.7,-120.4500153990904,3365.0,-17.8,34.7,19.2
"KINGSTON,ONTARIO",19481,ON,TRENTON,ON,"proxy:~85 km, same lakeshore",44.12,-77.53000282873546,3935.0,-21.8,29.5,23.6
"BEAUCEVILLE,QUEBEC",18612,QC,BEAUCEVILLE,QC,exact,46.21,-70.78000074292221,4942.0,-26.7,28.2,21.9
"MONT-JOLI,QUEBEC",17045,QC,MONT JOLI ,QC,exact,48.61,-68.21000001528897,5100.0,-22.9,26.3,20.7
"WINNIPEG INTL,MANITOBA",16320,MB,WINNIPEG INTL,MB,exact,49.91,-97.24000972888996,5542.0,-31.3,29.9,23.4
"CHARLO,NEW BRUNSWICK",14970,NB,BATHURST,NB,"proxy:~60 km, north shore NB",47.63,-65.73999908211024,4979.0,-24.1,29.0,22.0
"WIARTON,ONTARIO",14807,ON,WIARTON,ON,exact,44.74,-81.11000403685449,4154.0,-18.3,28.0,22.7
"THUNDER BAY,ONTARIO",13962,ON,THUNDER BAY,ON,exact,48.37,-89.32000707951066,5405.0,-28.6,29.2,22.0
"BATHURST,NEW BRUNSWICK",13631,NB,BATHURST,NB,exact,47.63,-65.73999908211024,4979.0,-24.1,29.0,22.0
"ST-JOHN'S INTL,NEWFOUNDLAND AND LABRADOR",13235,,ST-JOHN'S INTL,NL,exact,47.62,-52.74999448585086,4578.0,-12.8,25.1,20.8
