source_file,brand,model,refrigerant,rated_capacity_source,rated_capacity_kW,factory_charge_source,factory_charge_kg,notes
GREE_GUD48W2.pdf,GREE,GUD48W2/D-D(U),R410A,heating capacity @47F 46000 Btu/h,13.48,"Refrigerant Charge - R410A, 158.7 oz",4.499,single-zone ducted
carrier/25hnb9-2pd.pdf,Carrier,25HNB9 unit size 36-30,R410A,nominal 3 ton (unit size code),10.55,"Charge lb(kg) 14.08 (6.39)",6.39,single-zone ducted; capacity is nominal tonnage not a rated-heating-Btu figure
carrier/25hnb9-2pd.pdf,Carrier,25HNB9 unit size 48-30,R410A,nominal 4 ton (unit size code),14.07,"Charge lb(kg) 14.95 (6.78)",6.78,single-zone ducted; capacity is nominal tonnage not a rated-heating-Btu figure
carrier/25hnb9-2pd.pdf,Carrier,25HNB9 unit size 60-30,R410A,nominal 5 ton (unit size code),17.58,"Charge lb(kg) 14.95 (6.78)",6.78,single-zone ducted; capacity is nominal tonnage not a rated-heating-Btu figure
TOSOT_APEX_2-3ton.pdf,TOSOT,APEX 24K,R410A,cooling capacity (rated) 24000 Btu/h,7.03,"Refrigerant Charge (ozs) 123",3.487,single-zone ducted; capacity is COOLING not heating (heating column misaligned in source PDF layout)
LG_ArtCoolPremier_HYV3_install.pdf,LG,LA120HYV3 (LAU120HYV3 outdoor),R410A,heating capacity rated 13600 Btu/h,3.99,Refrigerant Pre-Charge (oz.) 40.6,1.151,single-zone ductless mini-split; pre-charge only (excludes +0.22 oz/ft line-length adder)
lennox/ehb_sl22klv_2501.pdf,Lennox,SL22KLV-024 (2 ton),R454B,nominal 2 ton (unit size code),6.45,R-454B charge furnished 10 lbs 13 oz,4.905,single-zone ducted variable-capacity
lennox/ehb_sl22klv_2501.pdf,Lennox,SL22KLV-036 (3 ton),R454B,nominal 3 ton (unit size code),9.67,R-454B charge furnished 16 lbs 13 oz,7.625,single-zone ducted variable-capacity
lennox/ehb_sl22klv_2501.pdf,Lennox,SL22KLV-048 (4 ton),R454B,nominal 4 ton (unit size code),12.89,R-454B charge furnished 16 lbs 13 oz,7.625,single-zone ducted variable-capacity; identical to 036 as printed -- not a transcription error, verified against source text twice
lennox/ehb_sl22klv_2501.pdf,Lennox,SL22KLV-060 (5 ton),R454B,nominal 5 ton (unit size code),16.11,R-454B charge furnished 16 lbs 6 oz,7.427,single-zone ducted variable-capacity; LOWER charge than the 4-ton unit as printed -- flagged as suspect, kept as printed rather than corrected on suspicion alone
