ahri_number,total_count
206249117,5465
211644151,5152
212361362,4820
207098550,3337
10570123,2298
212361759,2167
206414273,2153
212361366,2063
212367433,1991
205663358,1791
205047852,1594
207256441,1594
8033586,1539
207706559,1503
207599994,1438
206223052,1332
206249116,1313
210722665,1218
205123809,1150
204717600,1129
205663349,1118
204825178,1103
7091971,1032
206597213,1020
201851577,1011
205047853,959
212633393,896
8703508,783
207768730,765
201863352,762
212361760,760
205663354,683
206414274,530
207657396,529
207202288,467
212851768,293
212361758,225
213153602,158
206903532,90
203025011,32
