column_name,rows_seen,non_empty_count,pct_populated,unique_count
ACCENTESTAR,4542544,542483,11.9,1
ACMODELNUMBER,4542544,2166633,47.7,>20000
ACWINDESTAR,4542544,4277212,94.2,16
ACWINDNUM,4542544,4277212,94.2,35
AHRI,4542544,1672456,36.8,19254
AIR50P,4542544,4542544,100.0,>20000
AIRCONDTYPE,4542544,4271936,94.0,13
AIRCOP,4542544,4277212,94.2,3851
ASHPHSPF,4542544,329179,7.2,643
ASHPHSPF2,4542544,329179,7.2,398
ASHPSEER,4542544,329179,7.2,770
ASHPSEER2,4542544,329179,7.2,360
ATTICCEILINGDEF,4542544,4069811,89.6,>20000
ATYPICALENERGYLOADS,4542544,2054387,45.2,8
AUXENERGY,4542544,2190301,48.2,>20000
BACKWATERVALVE,4542544,1666511,36.7,4
BASELOADSMURB,4542544,4539483,99.9,8292
BASEMENTFLOORAR,4542544,4539483,99.9,>20000
BATTERYSTORAGE,4542544,1666511,36.7,4
BLOWERDOORTEST,4542544,4418265,97.3,13
BUILDINGTYPE,4542544,2065695,45.5,5
CAFLACEILINGDEF,4542544,1080799,23.8,>20000
CCASHP,4542544,1666511,36.7,4
CCASHPCAP,4542544,1672456,36.8,1747
CCASHPCAPACITYMAINTENANCE,4542544,1672456,36.8,530
CCASHPCOP,4542544,1672456,36.8,500
CCASHPHSPF,4542544,1672456,36.8,738
CCASHPHSPF2,4542544,329980,7.3,264
CCASHPSEER,4542544,1671655,36.8,978
CCASHPSEER2,4542544,329179,7.2,215
CEILINGTYPE,4542544,4271389,94.0,152
CEILINS,4542544,4542544,100.0,1738
CENVENTSYSTYPE,4542544,4542544,100.0,5
CLIENTCITY,4542544,4542009,100.0,>20000
CLIENTPCODE,4542544,4542513,100.0,1693
COMMONHEATEDFLOORAREA,4542544,2190301,48.2,1697
COMMONSPACEELECCONS,4542544,2190301,48.2,3864
COP,4542544,4542544,100.0,1789
CRAWLSPFLOORAR,4542544,4539483,99.9,>20000
CREDITEGH,4542544,4539483,99.9,1
CREDITGARAGE,4542544,4539483,99.9,1399
CREDITLIGHTING,4542544,4539483,99.9,29
CREDITOTH1OTH2,4542544,4539483,99.9,1073
CREDITPV,4542544,4539483,99.9,>20000
CREDITVENT,4542544,4539483,99.9,9
CREDITWIND,4542544,4539483,99.9,50
CSHDR,4542544,26469,0.6,3254
CSIA,4542544,4542544,100.0,472
DATASET,4542544,2153114,47.4,2
DEPRESSEXHAUST,4542544,4536291,99.9,841
DHWHPCOP,4542544,4542544,100.0,234
DHWHPTYPE,4542544,17719,0.4,4
DWHRL1M,4542544,4277298,94.2,6
DWHRM1M,4542544,4277298,94.2,6
EGHCRITNATACH,4542544,4542544,100.0,19139
EGHCRITTOTACH,4542544,4542544,100.0,>20000
EGHDESHTLOSS,4542544,4542544,100.0,>20000
EGHFCONELEC,4542544,4542544,100.0,>20000
EGHFCONNGAS,4542544,4542544,100.0,>20000
EGHFCONOIL,4542544,4542544,100.0,>20000
EGHFCONPROP,4542544,4542544,100.0,>20000
EGHFCONTOTAL,4542544,4542544,100.0,>20000
EGHFCONWOOD,4542544,4542543,100.0,610
EGHFCONWOODGJ,4542544,1970231,43.4,3925
EGHFURNACEAEC,4542544,4542544,100.0,>20000
EGHFURSEASEFF,4542544,4542544,100.0,4093
EGHHEATFCONSE,4542544,4277212,94.2,>20000
EGHHEATFCONSG,4542544,4277212,94.2,>20000
EGHHEATFCONSO,4542544,4277212,94.2,>20000
EGHHEATFCONSP,4542544,4277212,94.2,>20000
EGHHEATFCONSW,4542544,4277212,94.2,>20000
EGHHLAIR,4542544,4542544,100.0,>20000
EGHHLCEILING,4542544,4542544,100.0,>20000
EGHHLEXPOSEDFLR,4542544,4542544,100.0,>20000
EGHHLFOUND,4542544,4542544,100.0,>20000
EGHHLWALLS,4542544,4542544,100.0,>20000
EGHHLWINDOOR,4542544,4542544,100.0,>20000
EGHINEXPOSEDFLR,4542544,4542544,100.0,1277
EGHRATING,4542544,4542544,100.0,755
EGHSPACEENERGY,4542544,4542544,100.0,>20000
EIDEF,4542544,1865608,41.1,9726
ELECAUTOCHRGSTATION,4542544,2053334,45.2,4
ELGNBCCMP,4542544,1142785,25.2,4
ENERGYPERFORMANCETIER,4542544,846559,18.6,6
ENTRYDATE,4542544,4542544,100.0,322
ENVELOPEIMPROVEMENT,4542544,846559,18.6,>20000
EPACSA,4542544,1486,0.0,1
EPACSASUPPHTG1,4542544,51653,1.1,1
EPACSASUPPHTG2,4542544,7585,0.2,1
ERSELECGHG,4542544,2501835,55.1,689
ERSENERGYINTENSITY,4542544,2501835,55.1,654
ERSGHG,4542544,2501835,55.1,743
ERSHLDOOR,4542544,2501835,55.1,>20000
ERSHLWINDOW,4542544,2501835,55.1,>20000
ERSLIGHTAPPLIANCEENERGY,4542544,2501835,55.1,4163
ERSNGASGHG,4542544,2501835,55.1,448
ERSOILGHG,4542544,2501835,55.1,489
ERSOTHERELECENERGY,4542544,2501835,55.1,51
ERSPROPGHG,4542544,2501835,55.1,275
ERSRATING,4542544,2501835,55.1,1861
ERSREFHOUSEGHG,4542544,2190301,48.2,540
ERSREFHOUSERATING,4542544,2501835,55.1,1287
ERSRENEWABLEELEC,4542544,2501835,55.1,>20000
ERSRENEWABLEELECGHG,4542544,2501835,55.1,226
ERSRENEWABLEPROD,4542544,2501835,55.1,>20000
ERSRENEWABLESOLAR,4542544,2501835,55.1,675
ERSRENEWABLESOLARGHG,4542544,2501835,55.1,28
ERSSPACECOOLENERGY,4542544,2501835,55.1,>20000
ERSVENTILATIONENERGY,4542544,2501835,55.1,19922
ERSWATERHEATINGENERGY,4542544,2501835,55.1,>20000
ERSWOODGHG,4542544,2501835,55.1,202
ESTAR,4542544,4400220,96.9,6
EUGRAIRTIGHTNESSPRIORITY,4542544,878643,19.3,39
EUGRCATHEDRALCEILFLATPRIORITY,4542544,869971,19.2,26
EUGRCEILINGSPRIORITY,4542544,875799,19.3,37
EUGRCOOLINGPRIORITY,4542544,876171,19.3,33
EUGRDOORSPRIORITY,4542544,872245,19.2,36
EUGRFLOORPRIORITY,4542544,869749,19.1,22
EUGRFOUNDATIONPRIORITY,4542544,874577,19.3,33
EUGRHEATINGPRIORITY,4542544,878541,19.3,40
EUGRHOTWATERPRIORITY,4542544,877381,19.3,42
EUGRMAINWALLSPRIORITY,4542544,871119,19.2,29
EUGRVENTILATIONPRIORITY,4542544,870839,19.2,38
EUGRWINDOWSPRIORITY,4542544,0,0.0,0
EVALTYPE,4542544,4542544,100.0,4
EVALUATIONSID,4542544,4542544,100.0,>20000
EVCharger,4542544,329179,7.2,24
EXPOSEDFLOOR,4542544,1623555,35.7,>20000
EXPOSEDFLOORDEF,4542544,754466,16.6,>20000
FIREPLACEDAMP1,4542544,4539483,99.9,3
FIREPLACEDAMP2,4542544,4539483,99.9,3
FLOORAREA,4542544,4542544,100.0,11177
FNDDEF,4542544,4101018,90.3,>20000
FNDHDR,4542544,3862465,85.0,>20000
FNDTYPE,4542544,4101018,90.3,323
FNDWALLINS,4542544,4542544,100.0,1697
FOOTPRINT,4542544,4542544,100.0,4837
FURDCMOTOR,4542544,4277212,94.2,4
FURNACEFUEL,4542544,4542544,100.0,9
FURNACEMODEL,4542544,2831144,62.3,>20000
FURNACETYPE,4542544,4542543,100.0,58
FURSSEFF,4542544,4542544,100.0,309
GHGI,4542544,1135504,25.0,11551
GUARDED,4542544,1142785,25.2,4
HEATAFUE,4542544,4277212,94.2,274
HEATEDFLOORAREA,4542544,2501835,55.1,>20000
HEATSYSSIZEOP,4542544,4539483,99.9,3
HOUSEID,4542544,4541055,100.0,>20000
HOUSEREGION,4542544,4542340,100.0,205
HPCAP,4542544,3980569,87.6,>20000
HPEquipType,4542544,329179,7.2,8
HPESTAR,4542544,355388,7.8,2
HPSOURCE,4542544,4542516,100.0,5
HRVEFF0C,4542544,4542544,100.0,312
HSEVOL,4542544,4542544,100.0,>20000
HVIEQUIP,4542544,302043,6.6,1
INDFURNACEFUEL,4542544,2465778,54.3,6
INDFURNACETYPE,4542544,2465778,54.3,5
INDFURSSEFF,4542544,4539483,99.9,121
INSCOPEOFNBC,4542544,845497,18.6,1
KWPV,4542544,1672456,36.8,2579
LARGESTCSIA,4542544,3469647,76.4,358
LEAKAR,4542544,4542544,100.0,>20000
LFTOILETS,4542544,4277212,94.2,48
MAINWALLINS,4542544,4542544,100.0,985
MEUI,4542544,846559,18.6,>20000
MINR10EXPFLOOR,4542544,1666511,36.7,4
MOISTUREPROOFCS,4542544,1666511,36.7,4
MURBASHPESTAR,4542544,4189570,92.2,25
MURBDHWCOND,4542544,4189570,92.2,40
MURBDHWCONDINSES,4542544,3980655,87.6,16
MURBDHWINS,4542544,4189570,92.2,16
MURBDHWINSES,4542544,3980655,87.6,9
MURBDWHRL1M,4542544,4189570,92.2,7
MURBDWHRM1M,4542544,4189570,92.2,9
MURBFURDCMOTOR,4542544,91495,2.0,15
MURBFURNACEFUEL,4542544,91495,2.0,33
MURBFURNACETYPE,4542544,91495,2.0,227
MURBFURSSEFF,4542544,91495,2.0,558
MURBHEATAFUE,4542544,91495,2.0,545
MURBHRVHVI,4542544,4189570,92.2,40
MURBHSESTAR,4542544,4189570,92.2,16
MURBHTSYSTEMDIS,4542544,2472587,54.4,5
MURBSOCMULTIPLIER,4542544,2190301,48.2,65
MURBWOODEPA,4542544,4189570,92.2,6
MURBWOODHEAT,4542544,4189570,92.2,18
NBCANNUALENEGYCONSUMPTION,4542544,857192,18.9,>20000
NBCHOUSEENERGYTARGET,4542544,846559,18.6,18187
NELECTHERMOS,4542544,4277212,94.2,113
NLA,4542544,4542544,100.0,2142
NLR,4542544,1425723,31.4,8671
NONRESHEATEDFLOORAREA,4542544,2190301,48.2,657
NUMBEROFHEADS,4542544,1672456,36.8,41
NUMBUILDINGSTOREYS,4542544,2190301,48.2,8
NUMDOORESTAR,4542544,4277212,94.2,37
NUMDOORS,4542544,4277212,94.2,71
NUMDWELLINGUNITS,4542544,2190301,48.2,70
NUMER34TO39,4542544,1672456,36.8,132
NUMER40PLUS,4542544,1672456,36.8,91
NUMHPWHMURB,4542544,1672345,36.8,9
NUMNONRESUNITS,4542544,2190301,48.2,15
NUMSOLSYS,4542544,3469647,76.4,5
NUMWINDOWS,4542544,4277212,94.2,278
NUMWINESTAR,4542544,4277212,94.2,176
NUMWINU105,4542544,1672456,36.8,95
NUMWINU122,4542544,1672456,36.8,91
OVERALLIMPROVEMENT,4542544,846559,18.6,>20000
PDHWEF,4542544,4542544,100.0,2339
PDHWESTAR,4542544,271903,6.0,5
PDHWFUEL,4542544,4542542,100.0,12
PDHWTYPE,4542544,4542542,100.0,33
PDHWUEF,4542544,4542544,100.0,100
PDRAWPATTERN,4542544,60309,1.3,6
PEAKCOOLINGVALIDATION,4542544,845497,18.6,2
PONYWALLEXISTS,4542544,4539483,99.9,4
PRIDHWMODEL,4542544,1658724,36.5,>20000
PRIMARYDHWTANKVOLUME,4542544,1672451,36.8,3051
PROGRAMNAME,4542544,4542544,100.0,67
PROGSMARTTHERMOSTAT,4542544,1666511,36.7,4
PROVINCE,4542544,4542520,100.0,13
QTOT,4542544,2501835,55.1,>20000
QWARN,4542544,2501835,55.1,2453
ROOFINGMEMBRANE,4542544,1666511,36.7,4
RULESETTYPE,4542544,2154903,47.4,5
SDHWEF,4542544,4263739,93.9,829
SDHWESTAR,4542544,3541,0.1,4
SDHWFUEL,4542544,4263233,93.9,10
SDHWHPCOP,4542544,4263739,93.9,38
SDHWHPTYPE,4542544,1169,0.0,14
SDHWTYPE,4542544,4263234,93.9,25
SDHWUEF,4542544,4542544,100.0,50
SDRAWPATTERN,4542544,2658,0.1,6
SECONDARYDHWTANKVOLUME,4542544,1672451,36.8,842
SLABFLOORAREA,4542544,4542544,100.0,>20000
SLABINSUL,4542544,1666511,36.7,4
STOREYS,4542544,4542544,100.0,9
SUPPHTGFUEL1,4542544,2218373,48.8,9
SUPPHTGFUEL2,4542544,512814,11.3,9
SUPPHTGTYPE1,4542544,2218729,48.8,56
SUPPHTGTYPE2,4542544,513382,11.3,33
TBSMNT,4542544,4542544,100.0,95
TEDI,4542544,846559,18.6,>20000
TMAIN,4542544,4542544,100.0,77
TOTALOCCUPANTS,4542544,4542544,100.0,59
TOTALVENTEXH,4542544,4539483,99.9,5103
TOTALVENTSUPPLY,4542544,4539483,99.9,3717
TOTCSIA,4542544,3469647,76.4,358
TYPE1CAPACITY,4542544,3980569,87.6,9006
TYPEOFHOUSE,4542544,4542544,100.0,23
UATTCEILINGDEF,4542544,4069837,89.6,>20000
UCAFLCEILINGDEF,4542544,1080795,23.8,>20000
UCENVENTSYSTYPE,4542544,1307164,28.8,4
UDWHRL1M,4542544,4277212,94.2,6
UDWHRM1M,4542544,4277212,94.2,7
UEPACSASUPPHTG1,4542544,147356,3.2,1
UEPACSASUPPHTG2,4542544,29073,0.6,1
UGEXPOSEDFLOOR,4542544,1623556,35.7,>20000
UGRACCENTESTAR,4542544,1706145,37.6,1
UGRACWINDESTAR,4542544,4277212,94.2,16
UGRACWINDNUM,4542544,4277212,94.2,19
UGRAIR50PA,4542544,4542544,100.0,>20000
UGRAIRCONDTYPE,4542544,4271936,94.0,13
UGRAIRCOP,4542544,4277211,94.2,2731
UGRASHPHSPF,4542544,329179,7.2,653
UGRASHPHSPF2,4542544,329179,7.2,390
UGRBATTERYSTORAGE,4542544,1666511,36.7,4
UGRCCASHP,4542544,1666511,36.7,4
UGRCEILINGTYPE,4542544,4271389,94.0,152
UGRCEILINS,4542544,4542544,100.0,1766
UGRCREDITPV,4542544,4539483,99.9,>20000
UGRCREDITWIND,4542544,4539483,99.9,66
UGRCRITNATACH,4542544,4542544,100.0,15383
UGRCRITTOTACH,4542544,4542544,100.0,>20000
UGRCSHDR,4542544,26469,0.6,3504
UGRDESHTLOSS,4542544,4542544,100.0,>20000
UGRDHWCSIA,4542544,4542544,100.0,459
UGRDHWHPCOP,4542544,4542544,100.0,179
UGRDHWHPTYPE,4542544,277012,6.1,3
UGRDHWSYSEF,4542544,4542544,100.0,950
UGRDHWSYSFUEL,4542544,2919591,64.3,12
UGRDHWSYSTYPE,4542544,2918804,64.3,37
UGREIDEF,4542544,1864830,41.1,10509
UGREPACSA,4542544,2537,0.1,1
UGRERSENERGYINTENSITY,4542544,2501835,55.1,503
UGRERSGHG,4542544,2501835,55.1,590
UGRERSHLDOOR,4542544,2501835,55.1,>20000
UGRERSHLWINDOW,4542544,2501835,55.1,>20000
UGRERSLIGHTAPPLIANCEENERGY,4542544,2501835,55.1,4174
UGRERSOTHERELECENERGY,4542544,2501835,55.1,54
UGRERSRATING,4542544,2501835,55.1,1500
UGRERSSPACECOOLENERGY,4542544,2501835,55.1,>20000
UGRERSVENTILATIONENERGY,4542544,2501835,55.1,>20000
UGRERSWATERHEATINGENERGY,4542544,2501835,55.1,>20000
UGREVCharger,4542544,329179,7.2,2
UGREXPOSEDFLOORDEF,4542544,677800,14.9,>20000
UGRFCONELEC,4542544,4542544,100.0,>20000
UGRFCONNGAS,4542544,4542544,100.0,>20000
UGRFCONOIL,4542544,4542544,100.0,>20000
UGRFCONPROP,4542544,4542544,100.0,>20000
UGRFCONTOTAL,4542544,4542544,100.0,>20000
UGRFCONWOOD,4542544,4542543,100.0,>20000
UGRFNDDEF,4542544,4101018,90.3,>20000
UGRFNDHDR,4542544,3862465,85.0,>20000
UGRFNDINS,4542544,4542544,100.0,1781
UGRFNDTYPE,4542544,4101018,90.3,326
UGRFURDCMOTOR,4542544,4277212,94.2,4
UGRFURNACEAEC,4542544,4542544,100.0,>20000
UGRFURNACEEFF,4542544,4542544,100.0,307
UGRFURNACEFUEL,4542544,4542544,100.0,9
UGRFURNACETYP,4542544,4542528,100.0,56
UGRFURSEASEFF,4542544,4542544,100.0,4238
UGRHEATAFUE,4542544,4277212,94.2,249
UGRHEATFCONSE,4542544,4277212,94.2,>20000
UGRHEATFCONSG,4542544,4277212,94.2,>20000
UGRHEATFCONSO,4542544,4277212,94.2,>20000
UGRHEATFCONSP,4542544,4277212,94.2,>20000
UGRHEATFCONSW,4542544,4277212,94.2,>20000
UGRHLAIR,4542544,4542544,100.0,>20000
UGRHLCEILING,4542544,4542544,100.0,>20000
UGRHLEXPOSEDFLR,4542544,4542544,100.0,>20000
UGRHLFOUND,4542544,4542544,100.0,>20000
UGRHLWALLS,4542544,4542544,100.0,>20000
UGRHLWINDOOR,4542544,4542544,100.0,>20000
UGRHPCOP,4542544,4542544,100.0,1600
UGRHPEquipType,4542544,329179,7.2,8
UGRHPESTAR,4542544,1316044,29.0,2
UGRHPTYPE,4542544,4542540,100.0,5
UGRHVIEQUIP,4542544,1105688,24.3,1
UGRINDFURNACEFU,4542544,2465969,54.3,7
UGRINDFURNACETP,4542544,2465974,54.3,7
UGRINDFURSSEFF,4542544,4539483,99.9,122
UGRINEXPOSEDFLR,4542544,4542544,100.0,1388
UGRKWPV,4542544,1672456,36.8,1212
UGRMINR10EXPFLOOR,4542544,1666511,36.7,4
UGRMOISTUREPROOFCS,4542544,1666511,36.7,4
UGRNELECTHERMOS,4542544,4277212,94.2,121
UGRNUMBEROFHEADS,4542544,1672456,36.8,42
UGRNUMDOORESTAR,4542544,4277212,94.2,56
UGRNUMER34TO39,4542544,1672456,36.8,171
UGRNUMER40PLUS,4542544,1672456,36.8,102
UGRNUMWINESTAR,4542544,4277212,94.2,239
UGRNUMWINU105,4542544,1672456,36.8,166
UGRNUMWINU122,4542544,1672456,36.8,177
UGRPDHWESTAR,4542544,1142671,25.2,4
UGRPDHWUEF,4542544,4542544,100.0,142
UGRPDRAWPATTERN,4542544,44617,1.0,31
UGRPROGSMARTTHERMOSTAT,4542544,1666511,36.7,4
UGRRATING,4542544,4542544,100.0,535
UGRROOFINGMEMBRANE,4542544,1666511,36.7,4
UGRSDHWESTAR,4542544,14325,0.3,5
UGRSDHWHPCOP,4542544,4263739,93.9,41
UGRSDHWHPTYPE,4542544,7725,0.2,20
UGRSDHWSYSEF,4542544,4263739,93.9,454
UGRSDHWSYSFUEL,4542544,4263233,93.9,11
UGRSDHWSYSTYPE,4542544,4263234,93.9,24
UGRSDHWUEF,4542544,4542544,100.0,35
UGRSDRAWPATTERN,4542544,2025,0.0,154
UGRSLABINSUL,4542544,1666511,36.7,7
UGRSPACEENERGY,4542544,2501835,55.1,>20000
UGRSUMPPUMP,4542544,1666511,36.7,4
UGRSUPPHTGFUEL1,4542544,2201633,48.5,9
UGRSUPPHTGFUEL2,4542544,505788,11.1,9
UGRSUPPHTGTYPE1,4542544,2202966,48.5,58
UGRSUPPHTGTYPE2,4542544,507480,11.2,33
UGRTOTALVENTEXH,4542544,4539483,99.9,6019
UGRTOTALVENTSUP,4542544,4539483,99.9,3303
UGRWALLDEF,4542544,4271836,94.0,>20000
UGRWALLINS,4542544,4542544,100.0,1008
UGRWATERPROOF,4542544,1666511,36.7,4
UGRWINDOWCODE,4542544,3970557,87.4,7609
ULFTOILETS,4542544,4277212,94.2,65
