province,year,n,factor_kwh
AB,2014,111.0,0.0
AB,2015,3144.0,0.0
AB,2016,4461.0,0.015839798978598513
AB,2017,5630.0,0.594379598922431
AB,2018,7593.0,0.9152357905569662
AB,2019,11901.0,0.9212119536962784
AB,2020,5933.0,0.848212535645707
AB,2021,13698.0,0.7988193959919817
AB,2022,30421.0,0.7957419829920053
AB,2023,48904.0,0.7658605278495261
AB,2024,50171.0,0.7078855978271881
AB,2025,42078.0,0.5975150998284084
AB,2026,8793.0,0.584678665138603
BC,2011,24.0,0.0
BC,2012,72.0,0.0
BC,2013,115.0,0.0
BC,2014,517.0,0.0
BC,2015,5909.0,2.4462182533770184e-05
BC,2016,7513.0,0.009773745408872776
BC,2017,6253.0,0.015731803410058358
BC,2018,5911.0,0.013947410795265111
BC,2019,6074.0,0.010321896598204486
BC,2020,8559.0,0.010514162032367581
BC,2021,16973.0,0.011408430543884445
BC,2022,35273.0,0.01162895098736405
BC,2023,47900.0,0.012004527952492695
BC,2024,31554.0,0.01304848908040627
BC,2025,21082.0,0.01575959196004661
BC,2026,4781.0,0.016125798206787192
MB,2016,30.0,0.0
MB,2017,42.0,0.0029497793363935064
MB,2018,77.0,0.004163834242353386
MB,2019,179.0,0.0024058187909348125
MB,2020,220.0,0.001662636259667929
MB,2021,1183.0,0.00104906601150783
MB,2022,4389.0,0.001285232938012032
MB,2023,5823.0,0.0011505321834122885
MB,2024,4612.0,0.0006581441910796742
MB,2025,4071.0,0.0006988350435127599
MB,2026,1851.0,0.0007540179689255797
NB,2015,236.0,0.0
NB,2016,606.0,0.3223243266389638
NB,2017,1053.0,0.07453199784135259
NB,2018,4542.0,0.3224848535491636
NB,2019,8587.0,0.331856742644915
NB,2020,7659.0,0.29438179049409385
NB,2021,13470.0,0.27815586525489205
NB,2022,17477.0,0.27825846389288716
NB,2023,21682.0,0.2960896375311367
NB,2024,19190.0,0.30999191967277107
NB,2025,20533.0,0.30624476267098927
NB,2026,10655.0,0.3059906311051183
NF,2017,21.0,0.0
NF,2019,25.0,0.028837564742077052
NF,2021,997.0,0.03397860982843294
NF,2022,4876.0,0.034017356902120176
NF,2023,6433.0,0.03310935632426782
NF,2024,3176.0,0.030102372247524878
NF,2025,880.0,0.025681742612130725
NF,2026,292.0,0.023148851284265685
NS,2013,44.0,0.0
NS,2014,532.0,0.0
NS,2015,4546.0,6.219268859864564e-05
NS,2016,6706.0,0.0754839402545306
NS,2017,7508.0,0.18095316186957563
NS,2018,8427.0,0.6712062478770353
NS,2019,11321.0,0.7320864419166452
NS,2020,8898.0,0.7391455337319358
NS,2021,14392.0,0.7392167686549936
NS,2022,23077.0,0.738807774963739
NS,2023,30375.0,0.7313580153231606
NS,2024,30670.0,0.7197172101805095
NS,2025,26576.0,0.7182583736314915
NS,2026,6980.0,0.7180159123995514
NT,2015,117.0,0.0
NT,2016,205.0,0.0008595059686356319
NT,2017,141.0,0.07819036426374239
NT,2018,174.0,0.16234518789855884
NT,2019,221.0,0.255080208890581
NT,2020,124.0,0.240422161837121
NT,2021,148.0,0.2305733435521125
NT,2022,157.0,0.22522811685616648
NT,2023,176.0,0.2077360107582963
NT,2024,132.0,0.18330020812602954
NT,2025,127.0,0.18001825519613077
NT,2026,26.0,0.18051081153800883
NU,2016,27.0,0.0
NU,2022,20.0,0.7812702570243125
ON,2012,45.0,0.0
ON,2013,142.0,0.0
ON,2014,509.0,8.779411834424743e-05
ON,2015,8517.0,0.0
ON,2016,55799.0,4.317968788972895e-06
ON,2017,89159.0,0.0804754603310429
ON,2018,102617.0,0.09067073205594448
ON,2019,68333.0,0.06336209105952224
ON,2020,45920.0,0.042973807948412504
ON,2021,63315.0,0.03339844383362612
ON,2022,102944.0,0.033331312625641596
ON,2023,207249.0,0.03192222864890316
ON,2024,103949.0,0.03061661619938929
ON,2025,43870.0,0.032876852817087694
ON,2026,9373.0,0.03304972484536136
PE,2017,89.0,0.48580061606570063
PE,2018,1102.0,0.34652670609622965
PE,2019,2657.0,0.32113963296955295
PE,2020,2860.0,0.2926667620083209
PE,2021,3554.0,0.27822417031305247
PE,2022,6150.0,0.27746355804090433
PE,2023,8762.0,0.29265535538655296
PE,2024,6091.0,0.30755300953322495
PE,2025,4463.0,0.3060746163349504
PE,2026,1661.0,0.30597690060851196
QC,2007,43.0,0.0011053829464993082
QC,2008,213.0,0.0009738437433717759
QC,2009,400.0,0.0010069272723540758
QC,2010,751.0,0.0009374222725838359
QC,2011,830.0,0.0007305889302392357
QC,2012,1170.0,0.0006429696915593172
QC,2013,1780.0,0.0004523575787309363
QC,2014,3630.0,0.00042116749363552207
QC,2015,20067.0,8.886517518960868e-05
QC,2016,37848.0,5.762733040743894e-05
QC,2017,45062.0,7.848426712968427e-05
QC,2018,51081.0,0.00014486915863501197
QC,2019,74079.0,0.0004347382822089569
QC,2020,59343.0,0.0013439640065746469
QC,2021,67516.0,0.001249782652316993
QC,2022,109369.0,0.0010447412710706168
QC,2023,124764.0,0.0010212884514472556
QC,2024,87809.0,0.0011483149125816145
QC,2025,53048.0,0.001421406916435281
QC,2026,19674.0,0.0014700471062325264
SK,2014,29.0,0.0
SK,2015,80.0,0.0
SK,2016,99.0,0.09885612741244684
SK,2017,104.0,0.3811931982426993
SK,2018,168.0,0.6465002974374273
SK,2019,214.0,0.7837496890112954
SK,2020,245.0,0.7587234097971035
SK,2021,1342.0,0.7496544422084455
SK,2022,3524.0,0.7490654836376891
SK,2023,3745.0,0.7343324874765068
SK,2024,3849.0,0.7062163291687946
SK,2025,3665.0,0.6962501730086866
SK,2026,1046.0,0.6924055155702756
YK,2014,40.0,0.0
YK,2015,252.0,0.0
YK,2016,283.0,0.0004060520749916962
YK,2017,432.0,0.003525986836145698
YK,2018,570.0,0.04069312882793691
YK,2019,568.0,0.04357742865989356
YK,2020,811.0,0.05184761696689593
YK,2021,992.0,0.05716565463736657
