fuel,province,year,n,factor_native,factor_kwh
Electricity,AB,2002,1.0,0.0008044189413846731,0.8044189413846732
Electricity,AB,2003,1.0,0.0007984471579411075,0.7984471579411075
Electricity,AB,2010,3.0,0.00025007077474757005,0.25007077474757006
Electricity,AB,2011,1.0,0.0,0.0
Electricity,AB,2012,7.0,9.688804816720109e-05,0.09688804816720109
Electricity,AB,2013,12.0,0.0,0.0
Electricity,AB,2014,111.0,0.0,0.0
Electricity,AB,2015,3144.0,0.0,0.0
Electricity,AB,2016,4461.0,1.5839798978598514e-05,0.015839798978598513
Electricity,AB,2017,5630.0,0.0005943795989224309,0.594379598922431
Electricity,AB,2018,7593.0,0.0009152357905569663,0.9152357905569662
Electricity,AB,2019,11901.0,0.0009212119536962783,0.9212119536962784
Electricity,AB,2020,5933.0,0.000848212535645707,0.848212535645707
Electricity,AB,2021,13698.0,0.0007988193959919817,0.7988193959919817
Electricity,AB,2022,30421.0,0.0007957419829920054,0.7957419829920053
Electricity,AB,2023,48904.0,0.000765860527849526,0.7658605278495261
Electricity,AB,2024,50171.0,0.0007078855978271881,0.7078855978271881
Electricity,AB,2025,42078.0,0.0005975150998284084,0.5975150998284084
Electricity,AB,2026,8793.0,0.000584678665138603,0.584678665138603
Electricity,BC,2002,1.0,1.3332800021332481e-05,0.01333280002133248
Electricity,BC,2010,3.0,0.0,0.0
Electricity,BC,2011,24.0,0.0,0.0
Electricity,BC,2012,72.0,0.0,0.0
Electricity,BC,2013,115.0,0.0,0.0
Electricity,BC,2014,517.0,0.0,0.0
Electricity,BC,2015,5909.0,2.4462182533770182e-08,2.4462182533770184e-05
Electricity,BC,2016,7513.0,9.773745408872776e-06,0.009773745408872776
Electricity,BC,2017,6253.0,1.5731803410058356e-05,0.015731803410058358
Electricity,BC,2018,5911.0,1.3947410795265111e-05,0.013947410795265111
Electricity,BC,2019,6074.0,1.0321896598204487e-05,0.010321896598204486
Electricity,BC,2020,8559.0,1.0514162032367583e-05,0.010514162032367581
Electricity,BC,2021,16973.0,1.1408430543884444e-05,0.011408430543884445
Electricity,BC,2022,35273.0,1.1628950987364052e-05,0.01162895098736405
