fuel,year,n,factor_native,factor_kwh
Electricity,1976,2.0,0.0,0.0
Electricity,1991,1.0,0.0,0.0
Electricity,1998,1.0,0.0,0.0
Electricity,2000,8.0,0.00011901188336064504,0.11901188336064504
Electricity,2001,4.0,0.0006003111647490637,0.6003111647490638
Electricity,2002,4.0,0.00020031800483267186,0.20031800483267187
Electricity,2003,11.0,0.0006120812561122857,0.6120812561122857
Electricity,2004,3.0,1.143717654235091e-05,0.011437176542350911
Electricity,2006,3.0,1.663749559106367e-06,0.0016637495591063668
Electricity,2007,49.0,1.0472446469715854e-06,0.0010472446469715856
Electricity,2008,218.0,6.071503647429796e-06,0.006071503647429796
Electricity,2009,414.0,9.727360965660563e-07,0.0009727360965660563
Electricity,2010,780.0,1.9447803717090246e-06,0.0019447803717090246
Electricity,2011,884.0,1.9448660479695914e-06,0.0019448660479695918
Electricity,2012,1314.0,2.1729166771722e-06,0.0021729166771722
Electricity,2013,2117.0,4.172529542474737e-07,0.0004172529542474737
Electricity,2014,5378.0,3.468821703470377e-07,0.00034688217034703765
Electricity,2015,42895.0,6.862247013224196e-08,6.862247013224197e-05
Electricity,2016,113597.0,8.475517841218248e-06,0.00847551784121825
Electricity,2017,155507.0,5.106175410918774e-05,0.051061754109187736
Electricity,2018,182288.0,9.657605632213819e-05,0.09657605632213818
Electricity,2019,184159.0,9.903976811499237e-05,0.09903976811499238
Electricity,2020,140584.0,8.707652882814674e-05,0.08707652882814673
Electricity,2021,197585.0,0.00010943925961284997,0.10943925961284998
Electricity,2022,338722.0,0.00011522875683663346,0.11522875683663346
Electricity,2023,506703.0,0.00011888656336618657,0.11888656336618658
Electricity,2024,342070.0,0.0001537400216190748,0.15374002161907482
Electricity,2025,221160.0,0.00019457336434980388,0.19457336434980388
Electricity,2026,65362.0,0.00017507078656024122,0.1750707865602412
NaturalGas,2001,1.0,0.001885822046974113,0.18200982974530822
NaturalGas,2002,3.0,0.0019228047978557814,0.18557921435521144
NaturalGas,2003,1.0,0.0019285129316038358,0.18613013402088927
NaturalGas,2004,2.0,0.0019348518246387462,0.18674193132377315
NaturalGas,2006,2.0,0.0,0.0
NaturalGas,2007,8.0,0.0004604096666438095,0.04443636936655466
NaturalGas,2008,19.0,0.001337771144718315,0.12911477977418565
NaturalGas,2009,32.0,0.0007409514881457996,0.07151282085355799
NaturalGas,2010,61.0,0.00114336612708048,0.11035180888906389
NaturalGas,2011,100.0,0.0009393526583347969,0.09066147979797479
NaturalGas,2012,130.0,0.0008099024616964976,0.07816761364107068
NaturalGas,2013,336.0,0.0002106195836889631,0.02032791727605786
NaturalGas,2014,1212.0,8.369356089269611e-05,0.008077671375886355
NaturalGas,2015,16881.0,5.79587804119083e-06,0.0005593882928637722
NaturalGas,2016,65812.0,5.524087597162865e-05,0.005331564792505492
NaturalGas,2017,96675.0,0.0011836049333574198,0.11423545119315709
NaturalGas,2018,111603.0,0.0018617562101133365,0.17968711913921653
NaturalGas,2019,87190.0,0.001874886990606922,0.18095443443330553
NaturalGas,2020,61456.0,0.0019023191926213056,0.18360204926323515
NaturalGas,2021,92873.0,0.0019085100895613507,0.18419956274539875
NaturalGas,2022,161383.0,0.001912334874318883,0.1845687112680008
NaturalGas,2023,287770.0,0.0019284789107458912,0.18612685050292835
NaturalGas,2024,177958.0,0.001948630757282842,0.1880718029246742
NaturalGas,2025,104371.0,0.0019519363576694388,0.18839084244621118
NaturalGas,2026,23416.0,0.0019484372902562473,0.1880531304838528
Oil,1991,1.0,0.0,0.0
Oil,2000,3.0,0.0027582934171696354,0.25592360381243257
Oil,2001,2.0,0.002750172940322935,0.2551701590605629
Oil,2002,1.0,0.002759338799947937,0.2560205978908439
Oil,2003,6.0,0.0027499303815093287,0.25514765365003333
Oil,2007,9.0,0.002757113874005098,0.255814161888799
Oil,2008,53.0,0.002756793694477988,0.25578445457124716
Oil,2009,116.0,0.0027562712357761853,0.2557359791215448
Oil,2010,203.0,0.002409960671040993,0.2236041373045513
Oil,2011,204.0,0.0018179126550603023,0.16867196042423338
Oil,2012,265.0,0.0014887875686238022,0.1381346442338698
Oil,2013,410.0,0.0009064653581247618,0.0841048598159886
Oil,2014,997.0,0.0005153371386143208,0.04781468747001437
Oil,2015,5007.0,0.00010025629288060814,0.009302111087662431
Oil,2016,7376.0,0.00028579152065469544,0.026516684356241115
Oil,2017,9446.0,0.0009128748946165149,0.08469955785192851
Oil,2018,12477.0,0.001955093614940373,0.18140006447887072
Oil,2019,15443.0,0.0020831693502970355,0.19328335562888863
Oil,2020,11757.0,0.002747847564476317,0.2549544029835697
Oil,2021,18204.0,0.002755305546399043,0.25564637926098494
Oil,2022,39797.0,0.002755329766400285,0.2556486264729616
Oil,2023,48628.0,0.0027551542307355775,0.2556323396922913
Oil,2024,32237.0,0.002754954462083337,0.25561380449473337
Oil,2025,24539.0,0.0027547288724302844,0.2555928735391531
Oil,2026,7260.0,0.002754705536874076,0.2555907083889176
Propane,2008,9.0,0.0015599696920174121,0.2199711905491507
Propane,2009,19.0,0.0015573305775041086,0.21959904924124093
Propane,2010,28.0,0.0014002873633197767,0.19745439927235733
Propane,2011,27.0,0.0010797330935934327,0.152253069587466
Propane,2012,52.0,0.0002461468550005681,0.03470914660808664
Propane,2013,61.0,0.0005908429249035341,0.08331470943547166
Propane,2014,193.0,0.00038302178442966526,0.054009868498338214
Propane,2015,1181.0,4.282306394367837e-05,0.006038476520958071
Propane,2016,2674.0,5.1658770827166595e-05,0.007284398779864714
Propane,2017,4160.0,0.0007740032085503947,0.10914212509699997
Propane,2018,5319.0,0.0013302031232991188,0.18757182668459169
Propane,2019,5040.0,0.001154937487470778,0.1628576346250938
Propane,2020,3846.0,0.001552034302693713,0.21885222199101947
Propane,2021,7047.0,0.0015519358070487474,0.21883833312869236
Propane,2022,14768.0,0.0015519373117345464,0.2188385453043059
Propane,2023,22781.0,0.0015514804816638627,0.2187741277357845
Propane,2024,15439.0,0.0015516965705144594,0.21880459840580674
Propane,2025,8154.0,0.0015515163646871366,0.21877918759777437
Propane,2026,2282.0,0.0015525714850666173,0.2189279700306862
Wood,2000,1.0,0.0,0.0
Wood,2007,2.0,0.3333333333333333,0.08571426122449681
Wood,2008,7.0,0.35454545454545455,0.09116880512060113
Wood,2009,26.0,0.354223433242507,0.09108599966635901
Wood,2010,36.0,0.35478547854785475,0.09123052556072676
Wood,2011,37.0,0.27835051546391754,0.07157582638334269
Wood,2012,55.0,0.21159638554216856,0.054410483593562334
Wood,2013,105.0,0.05075662042875157,0.01305169866690793
Wood,2014,305.0,0.08278077082469955,0.021286477844500502
Wood,2015,1836.0,0.010300241069471838,0.002648632661111998
Wood,2016,5504.0,0.055890340286187196,0.014371797681648802
Wood,2017,6320.0,0.07746359206580296,0.019919203697148273
Wood,2018,6499.0,0.1943288560427073,0.04997026299090673
Wood,2019,5721.0,0.18905644410594907,0.048614500308815395
Wood,2020,3128.0,0.3556421870524205,0.09145082197038756
Wood,2021,3864.0,0.35805393652927286,0.09207098594438845
Wood,2022,5924.0,0.3583021674753569,0.09213481674085844
Wood,2023,6139.0,0.35817351498815475,0.09210173468217274
Wood,2024,4166.0,0.358136854982485,0.09209230782626533
Wood,2025,3076.0,0.3582947835170223,0.09213291800925776
Wood,2026,1076.0,0.35823056071981035,0.09211640358040736
