column_name,rows_with_column,non_empty_count,pct_populated
AIR50P,454789,454789,100.0
CEILINS,454789,454789,100.0
CENVENTSYSTYPE,454789,454789,100.0
COP,454789,454789,100.0
CSIA,454789,454789,100.0
DHWHPCOP,454789,454789,100.0
EGHCRITNATACH,454789,454789,100.0
EGHCRITTOTACH,454789,454789,100.0
EGHDESHTLOSS,454789,454789,100.0
EGHFCONELEC,454789,454789,100.0
EGHFCONNGAS,454789,454789,100.0
EGHFCONOIL,454789,454789,100.0
EGHFCONPROP,454789,454789,100.0
EGHFCONTOTAL,454789,454789,100.0
EGHFCONWOOD,454789,454788,100.0
EGHFURNACEAEC,454789,454789,100.0
EGHFURSEASEFF,454789,454789,100.0
EGHHLAIR,454789,454789,100.0
EGHHLCEILING,454789,454789,100.0
EGHHLEXPOSEDFLR,454789,454789,100.0
EGHHLFOUND,454789,454789,100.0
EGHHLWALLS,454789,454789,100.0
EGHHLWINDOOR,454789,454789,100.0
EGHINEXPOSEDFLR,454789,454789,100.0
EGHRATING,454789,454789,100.0
EGHSPACEENERGY,454789,454789,100.0
ENTRYDATE,454789,454789,100.0
EVALTYPE,454789,454789,100.0
EVALUATIONSID,454789,454789,100.0
FLOORAREA,454789,454789,100.0
FNDWALLINS,454789,454789,100.0
FOOTPRINT,454789,454789,100.0
FURNACEFUEL,454789,454789,100.0
FURNACETYPE,454789,454789,100.0
FURSSEFF,454789,454789,100.0
HOUSEID,454789,454789,100.0
HPSOURCE,454789,454789,100.0
HRVEFF0C,454789,454789,100.0
HSEVOL,454789,454789,100.0
LEAKAR,454789,454789,100.0
MAINWALLINS,454789,454789,100.0
NLA,454789,454789,100.0
PDHWEF,454789,454789,100.0
PDHWFUEL,454789,454789,100.0
PDHWTYPE,454789,454789,100.0
PDHWUEF,454789,454789,100.0
PROGRAMNAME,454789,454789,100.0
PROVINCE,454789,454767,100.0
SDHWUEF,454789,454789,100.0
SLABFLOORAREA,454789,454789,100.0
STOREYS,454789,454789,100.0
TBSMNT,454789,454789,100.0
TMAIN,454789,454789,100.0
TOTALOCCUPANTS,454789,454789,100.0
TYPEOFHOUSE,454789,454789,100.0
UGRAIR50PA,454789,454789,100.0
UGRCEILINS,454789,454789,100.0
UGRCRITNATACH,454789,454789,100.0
UGRCRITTOTACH,454789,454789,100.0
UGRDESHTLOSS,454789,454789,100.0
UGRDHWCSIA,454789,454789,100.0
UGRDHWHPCOP,454789,454789,100.0
UGRDHWSYSEF,454789,454789,100.0
UGRFCONELEC,454789,454789,100.0
UGRFCONNGAS,454789,454789,100.0
UGRFCONOIL,454789,454789,100.0
UGRFCONPROP,454789,454789,100.0
UGRFCONTOTAL,454789,454789,100.0
UGRFCONWOOD,454789,454788,100.0
UGRFNDINS,454789,454789,100.0
UGRFURNACEAEC,454789,454789,100.0
UGRFURNACEEFF,454789,454789,100.0
UGRFURNACEFUEL,454789,454789,100.0
UGRFURNACETYP,454789,454789,100.0
UGRFURSEASEFF,454789,454789,100.0
UGRHLAIR,454789,454789,100.0
UGRHLCEILING,454789,454789,100.0
UGRHLEXPOSEDFLR,454789,454789,100.0
UGRHLFOUND,454789,454789,100.0
UGRHLWALLS,454789,454789,100.0
UGRHLWINDOOR,454789,454789,100.0
UGRHPCOP,454789,454789,100.0
UGRHPTYPE,454789,454789,100.0
UGRINEXPOSEDFLR,454789,454789,100.0
