column_name,description_en
ACCENTESTAR,Central A/C is ENERGY STAR certified (ESTAR or N/A)
ACMODELNUMBER,Model number of the A/C or heat pump with Heating/Cooling
ACWINDESTAR,"Number of Window unit A/C that are ENERGY STAR certified (0,1,2,3,4...)"
ACWINDNUM,Number of window unit A/C
AHRI,Used to indicate the AHRI number associated with a heat pump
AIR50P,Air leakage at 50 pascals
AIRCONDTYPE,"Type of central A/C System (Central split System, Central single package system, Ductless Mini- or Multi-split system, Compact Ducted Mini- or Multi-split system, and Coils Only) or “Not installed”"
AIRCOP,Coefficient of performance for A/C system
ASHPHSPF,Indicates the heating efficiency of an Air Source Heat Pump (HSPF value or 0)
ASHPHSPF2,Indicates the heating efficiency of an Air Source Heat Pump (HSPF2 value or 0)
ASHPSEER,Indicates the cooling efficiency of an Air Source Heat Pump (SEER value or 0)
ASHPSEER2,Indicates the cooling efficiency of an Air Source Heat Pump (SEER2 value or 0)
ATTICCEILINGDEF,"Description of attic insulation (displays percentage of attic area, followed by the nominal R-value)"
ATYPICALENERGYLOADS,Indicates presence of atypical energy loads (True or False)
AUXENERGY,"Amount of energy required for annual space heating, calculated as the gross space heating energy load less the usable internal and solar heat gains (MJ)"
BACKWATERVALVE,"Used to indicate the presence of a back water valve with alarm (1 = yes, 0 = no)"
BASELOADSMURB,Total MURB base load energy (MJ/year)
BASEMENTFLOORAR,Basement floor area (square metres)
BATTERYSTORAGE,"Indicates the presence of battery storage for PV system (1 = yes, 0 = no)"
BLOWERDOORTEST,"v11.12 (and earlier) files: Blower door test type (None, CGSB, As operated)

v11.13 files:
As operated - User specified - Test Data – The blower door test data is available in HOT2000
As operated - User Specified – The energy advisor used external software (e.g. from the blower door manufacturer) to calculate ACH and ELA
As operated - Calculated – A default ACH value was used and ELA was calculated by HOT2000 (e.g. when vermiculite is exposed to the interior environment, P files) or a 4-zone blower door test was completed

"
BUILDINGTYPE,"Indicates what type of building is being assessed (House, Multi-unit: one unit, or Multi-unit: whole building)"
CAFLACEILINGDEF,"Description of cathedral or flat roof insulation (displays percentage of attic area, followed by nominal R-value)"
CCASHP,"Indicates the presence of a cold climate heat pump (1 = yes, 0 = no)"
CCASHPCAP,Contains the rated heating capacity of the cold climate ASHP at 8.3 °C (47 °F) in kW
