PT,AuditYear,EVALTYPE,AHRI_Records,Distinct_AHRI_Numbers,Total_Audits,Pct_With_AHRI
AB,0026,P,0,0,1,0.0
AB,0201,P,0,0,1,0.0
AB,1970,D,0,0,1,0.0
AB,1970,N,0,0,3,0.0
AB,2002,D,0,0,1,0.0
AB,2003,D,0,0,1,0.0
AB,2003,N,0,0,1,0.0
AB,2003,P,0,0,1,0.0
AB,2004,D,0,0,2,0.0
AB,2004,N,0,0,514,0.0
AB,2004,P,0,0,543,0.0
AB,2005,D,0,0,3,0.0
AB,2005,N,0,0,661,0.0
AB,2005,P,0,0,704,0.0
AB,2006,D,0,0,17,0.0
AB,2006,N,0,0,786,0.0
AB,2006,P,0,0,768,0.0
AB,2007,D,0,0,4407,0.0
AB,2007,E,0,0,645,0.0
AB,2007,N,0,0,1365,0.0
AB,2007,P,0,0,1402,0.0
AB,2008,D,0,0,5877,0.0
AB,2008,E,0,0,2251,0.0
AB,2008,N,0,0,1964,0.0
AB,2008,P,0,0,1999,0.0
AB,2009,D,0,0,18140,0.0
AB,2009,E,0,0,7393,0.0
AB,2009,N,0,0,1785,0.0
AB,2009,P,0,0,1948,0.0
AB,2010,D,0,0,5408,0.0
AB,2010,E,0,0,10036,0.0
AB,2010,N,0,0,3114,0.0
AB,2010,P,0,0,3297,0.0
AB,2011,D,0,0,11626,0.0
AB,2011,E,0,0,7385,0.0
AB,2011,N,0,0,2428,0.0
AB,2011,P,0,0,2757,0.0
AB,2012,D,0,0,1943,0.0
AB,2012,E,0,0,8988,0.0
AB,2012,N,0,0,2705,0.0
AB,2012,P,0,0,2446,0.0
AB,2013,D,0,0,7,0.0
AB,2013,E,0,0,1,0.0
AB,2013,N,0,0,3019,0.0
AB,2013,P,0,0,2980,0.0
AB,2014,D,0,0,7,0.0
AB,2014,N,0,0,2976,0.0
AB,2014,P,0,0,2846,0.0
AB,2015,D,0,0,7,0.0
AB,2015,N,0,0,2750,0.0
AB,2015,P,0,0,2743,0.0
AB,2016,D,0,0,33,0.0
AB,2016,E,0,0,1,0.0
AB,2016,N,0,0,2200,0.0
AB,2016,P,0,0,2228,0.0
AB,2017,D,0,0,419,0.0
AB,2017,E,0,0,5,0.0
AB,2017,N,0,0,2521,0.0
AB,2017,P,0,0,2688,0.0
AB,2018,D,0,0,572,0.0
AB,2018,E,0,0,6,0.0
AB,2018,N,0,0,3386,0.0
AB,2018,P,0,0,3629,0.0
AB,2019,D,0,0,5053,0.0
AB,2019,E,0,0,414,0.0
AB,2019,N,0,0,3096,0.0
AB,2019,P,0,0,3338,0.0
AB,2020,D,0,0,114,0.0
AB,2020,E,0,0,34,0.0
AB,2020,N,0,0,2844,0.0
AB,2020,P,2,2,2941,0.07
AB,2021,D,3,3,6178,0.05
AB,2021,E,9,9,713,1.26
AB,2021,N,3,2,3263,0.09
AB,2021,P,2,2,3544,0.06
AB,2022,D,26,25,15565,0.17
AB,2022,E,162,112,7532,2.15
AB,2022,N,21,10,3498,0.6
AB,2022,P,36,14,3826,0.94
AB,2023,D,54,50,23925,0.23
AB,2023,E,702,278,14492,4.84
AB,2023,N,14,12,5061,0.28
AB,2023,P,19,15,5426,0.35
AB,2024,D,86,64,17551,0.49
AB,2024,E,1442,421,19726,7.31
AB,2024,N,86,29,6098,1.41
AB,2024,P,91,33,6796,1.34
AB,2025,D,88,75,15045,0.58
AB,2025,E,704,321,11495,6.12
AB,2025,N,57,37,8024,0.71
AB,2025,P,43,25,7514,0.57
AB,2026,D,21,18,1296,1.62
AB,2026,E,107,82,2314,4.62
AB,2026,N,10,6,3251,0.31
AB,2026,P,9,5,1932,0.47
