PT,AuditYear,EVALTYPE,AHRI_Records,Distinct_AHRI_Numbers,Total_Audits,Pct_With_AHRI
BC,0002,D,0,0,1,0.0
BC,1980,D,0,0,119,0.0
BC,2000,D,0,0,1,0.0
BC,2002,D,0,0,1,0.0
BC,2004,N,0,0,1,0.0
BC,2004,P,0,0,1,0.0
BC,2005,D,0,0,3,0.0
BC,2005,N,0,0,34,0.0
BC,2005,P,0,0,43,0.0
BC,2006,D,0,0,35,0.0
BC,2006,E,0,0,2,0.0
BC,2006,N,0,0,188,0.0
BC,2006,P,0,0,234,0.0
BC,2007,D,0,0,3176,0.0
BC,2007,E,0,0,361,0.0
BC,2007,N,0,0,674,0.0
BC,2007,P,0,0,713,0.0
BC,2008,D,0,0,18707,0.0
BC,2008,E,0,0,5544,0.0
BC,2008,N,0,0,670,0.0
BC,2008,P,0,0,1027,0.0
BC,2009,D,0,0,35583,0.0
BC,2009,E,0,0,20247,0.0
BC,2009,N,0,0,816,0.0
BC,2009,P,0,0,734,0.0
BC,2010,D,0,0,12628,0.0
BC,2010,E,0,0,19786,0.0
BC,2010,N,0,0,1386,0.0
BC,2010,P,0,0,1486,0.0
BC,2011,D,0,0,25427,0.0
BC,2011,E,0,0,17588,0.0
BC,2011,N,0,0,1683,0.0
BC,2011,P,0,0,2089,0.0
BC,2012,D,0,0,17354,0.0
BC,2012,E,0,0,21342,0.0
BC,2012,N,0,0,2309,0.0
BC,2012,P,0,0,2410,0.0
BC,2013,D,0,0,7057,0.0
BC,2013,E,0,0,8993,0.0
BC,2013,N,0,0,2510,0.0
BC,2013,P,0,0,2597,0.0
BC,2014,D,0,0,1395,0.0
BC,2014,E,0,0,1303,0.0
BC,2014,N,0,0,2612,0.0
BC,2014,P,0,0,2430,0.0
BC,2015,D,0,0,1966,0.0
BC,2015,E,0,0,952,0.0
BC,2015,N,0,0,2146,0.0
BC,2015,P,0,0,2983,0.0
BC,2016,D,0,0,1724,0.0
BC,2016,E,0,0,906,0.0
BC,2016,N,0,0,1901,0.0
BC,2016,P,0,0,2982,0.0
BC,2017,D,0,0,1538,0.0
BC,2017,E,0,0,350,0.0
BC,2017,N,0,0,1916,0.0
BC,2017,P,2,2,2450,0.08
BC,2018,D,0,0,1335,0.0
BC,2018,E,1,1,349,0.29
BC,2018,N,0,0,1904,0.0
BC,2018,P,1,1,2323,0.04
BC,2019,D,1,1,1108,0.09
BC,2019,E,0,0,173,0.0
BC,2019,N,1,1,2365,0.04
BC,2019,P,36,19,2428,1.48
BC,2020,D,3,3,913,0.33
BC,2020,E,1,1,175,0.57
BC,2020,N,18,15,3631,0.5
BC,2020,P,93,71,3840,2.42
BC,2021,D,159,131,6125,2.6
BC,2021,E,476,225,985,48.32
BC,2021,N,366,227,4494,8.14
BC,2021,P,513,301,5369,9.55
BC,2022,D,461,330,15878,2.9
BC,2022,E,5927,946,8984,65.97
BC,2022,N,904,531,5028,17.98
BC,2022,P,1068,543,5383,19.84
BC,2023,D,627,438,20442,3.07
BC,2023,E,12650,1376,16594,76.23
BC,2023,N,1206,619,5659,21.31
BC,2023,P,1266,571,5205,24.32
BC,2024,D,611,436,9851,6.2
BC,2024,E,7060,1332,11241,62.81
BC,2024,N,1835,730,5252,34.94
BC,2024,P,1665,679,5210,31.96
BC,2025,D,685,473,6136,11.16
BC,2025,E,2555,1057,5291,48.29
BC,2025,N,2455,860,5044,48.67
BC,2025,P,1788,716,4611,38.78
BC,2026,D,105,35,600,17.5
BC,2026,E,372,237,758,49.08
BC,2026,N,1228,492,1926,63.76
BC,2026,P,713,324,1497,47.63
