PT,AuditYear,EVALTYPE,AHRI_Records,Distinct_AHRI_Numbers,Total_Audits,Pct_With_AHRI
MB,2002,E,0,0,1,0.0
MB,2004,N,0,0,7,0.0
MB,2004,P,0,0,10,0.0
MB,2005,D,0,0,2,0.0
MB,2005,N,0,0,58,0.0
MB,2005,P,0,0,110,0.0
MB,2006,D,0,0,20,0.0
MB,2006,E,0,0,5,0.0
MB,2006,N,0,0,138,0.0
MB,2006,P,0,0,120,0.0
MB,2007,D,0,0,3522,0.0
MB,2007,E,0,0,601,0.0
MB,2007,N,0,0,103,0.0
MB,2007,P,0,0,98,0.0
MB,2008,D,0,0,5941,0.0
MB,2008,E,0,0,2031,0.0
MB,2008,N,0,0,135,0.0
MB,2008,P,0,0,142,0.0
MB,2009,D,0,0,8371,0.0
MB,2009,E,0,0,4264,0.0
MB,2009,N,0,0,168,0.0
MB,2009,P,0,0,177,0.0
MB,2010,D,0,0,2067,0.0
MB,2010,E,0,0,5747,0.0
MB,2010,N,0,0,138,0.0
MB,2010,P,0,0,135,0.0
MB,2011,D,0,0,7064,0.0
MB,2011,E,0,0,3226,0.0
MB,2011,N,0,0,113,0.0
MB,2011,P,0,0,114,0.0
MB,2012,D,0,0,2294,0.0
MB,2012,E,0,0,5794,0.0
MB,2012,N,0,0,33,0.0
MB,2012,P,0,0,30,0.0
MB,2013,D,0,0,1,0.0
MB,2013,N,0,0,22,0.0
MB,2013,P,0,0,24,0.0
MB,2014,D,0,0,3,0.0
MB,2014,N,0,0,26,0.0
MB,2014,P,0,0,26,0.0
MB,2015,N,0,0,10,0.0
MB,2015,P,0,0,11,0.0
MB,2016,D,0,0,1,0.0
MB,2016,E,0,0,2,0.0
MB,2016,N,0,0,12,0.0
MB,2016,P,0,0,15,0.0
MB,2017,N,0,0,22,0.0
MB,2017,P,0,0,20,0.0
MB,2018,D,0,0,2,0.0
MB,2018,N,0,0,38,0.0
MB,2018,P,0,0,37,0.0
MB,2019,D,0,0,7,0.0
MB,2019,N,1,1,86,1.16
MB,2019,P,1,1,86,1.16
MB,2020,D,0,0,12,0.0
MB,2020,N,1,1,104,0.96
MB,2020,P,0,0,104,0.0
MB,2021,D,13,13,832,1.56
MB,2021,E,6,6,41,14.63
MB,2021,N,12,5,155,7.74
MB,2021,P,12,5,155,7.74
MB,2022,D,22,21,3204,0.69
MB,2022,E,81,59,926,8.75
MB,2022,N,28,20,128,21.88
MB,2022,P,29,21,131,22.14
MB,2023,D,29,29,3027,0.96
MB,2023,E,472,198,2342,20.15
MB,2023,N,38,27,228,16.67
MB,2023,P,38,27,226,16.81
MB,2024,D,30,30,1668,1.8
MB,2024,E,711,254,2258,31.49
MB,2024,N,67,39,341,19.65
MB,2024,P,67,39,345,19.42
MB,2025,D,37,36,1734,2.13
MB,2025,E,253,156,1073,23.58
MB,2025,N,129,68,626,20.61
MB,2025,P,131,68,638,20.53
MB,2026,D,16,15,830,1.93
MB,2026,E,72,42,216,33.33
MB,2026,N,116,43,399,29.07
MB,2026,P,113,42,406,27.83
