PT,AuditYear,EVALTYPE,AHRI_Records,Distinct_AHRI_Numbers,Total_Audits,Pct_With_AHRI
NB,1970,N,0,0,1,0.0
NB,1970,P,0,0,1,0.0
NB,1999,N,0,0,1,0.0
NB,1999,P,0,0,1,0.0
NB,2000,D,0,0,1,0.0
NB,2001,D,0,0,1,0.0
NB,2003,D,0,0,2,0.0
NB,2004,D,0,0,1,0.0
NB,2004,N,0,0,20,0.0
NB,2004,P,0,0,21,0.0
NB,2005,D,0,0,10,0.0
NB,2005,E,0,0,2,0.0
NB,2005,N,0,0,18,0.0
NB,2005,P,0,0,19,0.0
NB,2006,D,0,0,525,0.0
NB,2006,E,0,0,33,0.0
NB,2006,N,0,0,23,0.0
NB,2006,P,0,0,27,0.0
NB,2007,D,0,0,6140,0.0
NB,2007,E,0,0,827,0.0
NB,2007,N,0,0,262,0.0
NB,2007,P,0,0,300,0.0
NB,2008,D,0,0,8518,0.0
NB,2008,E,0,0,2507,0.0
NB,2008,N,0,0,322,0.0
NB,2008,P,0,0,328,0.0
NB,2009,D,0,0,11070,0.0
NB,2009,E,0,0,5222,0.0
NB,2009,N,0,0,559,0.0
NB,2009,P,0,0,601,0.0
NB,2010,D,0,0,6586,0.0
NB,2010,E,0,0,7436,0.0
NB,2010,N,0,0,815,0.0
NB,2010,P,0,0,992,0.0
NB,2011,D,0,0,7074,0.0
NB,2011,E,0,0,5979,0.0
NB,2011,N,0,0,633,0.0
NB,2011,P,0,0,795,0.0
NB,2012,D,0,0,3736,0.0
NB,2012,E,0,0,5159,0.0
NB,2012,N,0,0,710,0.0
NB,2012,P,0,0,690,0.0
NB,2013,D,0,0,4481,0.0
NB,2013,E,0,0,2479,0.0
NB,2013,N,0,0,356,0.0
NB,2013,P,0,0,330,0.0
NB,2014,D,0,0,1499,0.0
NB,2014,E,0,0,3996,0.0
NB,2014,N,0,0,88,0.0
NB,2014,P,0,0,77,0.0
NB,2015,D,0,0,260,0.0
NB,2015,E,0,0,191,0.0
NB,2015,N,0,0,6,0.0
NB,2015,P,0,0,7,0.0
NB,2016,D,0,0,321,0.0
NB,2016,E,0,0,266,0.0
NB,2016,N,0,0,6,0.0
NB,2016,P,0,0,13,0.0
NB,2017,D,1,1,605,0.17
NB,2017,E,0,0,404,0.0
NB,2017,N,0,0,22,0.0
NB,2017,P,0,0,22,0.0
NB,2018,D,2,2,3132,0.06
NB,2018,E,0,0,971,0.0
NB,2018,N,0,0,202,0.0
NB,2018,P,0,0,237,0.0
NB,2019,D,4,4,4806,0.08
NB,2019,E,1,1,2893,0.03
NB,2019,N,1,1,429,0.23
NB,2019,P,0,0,459,0.0
NB,2020,D,53,37,4530,1.17
NB,2020,E,15,15,2763,0.54
NB,2020,N,2,2,198,1.01
NB,2020,P,3,2,168,1.79
NB,2021,D,1325,350,8758,15.13
NB,2021,E,2573,358,4410,58.34
NB,2021,N,67,31,130,51.54
NB,2021,P,36,31,172,20.93
NB,2022,D,2278,546,9938,22.92
NB,2022,E,6186,658,7201,85.9
NB,2022,N,106,53,150,70.67
NB,2022,P,39,34,188,20.74
NB,2023,D,2885,582,12887,22.39
NB,2023,E,7440,670,8274,89.92
NB,2023,N,177,86,248,71.37
NB,2023,P,80,39,273,29.3
NB,2024,D,2728,544,9608,28.39
NB,2024,E,8134,750,8796,92.47
NB,2024,N,372,127,408,91.18
NB,2024,P,143,65,378,37.83
NB,2025,D,3862,772,11433,33.78
NB,2025,E,7267,786,7816,92.98
NB,2025,N,627,140,658,95.29
NB,2025,P,105,49,626,16.77
NB,2026,D,2410,615,6024,40.01
NB,2026,E,3830,600,4216,90.84
NB,2026,N,234,89,244,95.9
NB,2026,P,6,4,171,3.51
