PT,AuditYear,EVALTYPE,AHRI_Records,Distinct_AHRI_Numbers,Total_Audits,Pct_With_AHRI
NF,2004,N,0,0,13,0.0
NF,2004,P,0,0,77,0.0
NF,2005,N,0,0,5,0.0
NF,2005,P,0,0,10,0.0
NF,2006,D,0,0,1,0.0
NF,2006,N,0,0,1,0.0
NF,2006,P,0,0,1,0.0
NF,2007,D,0,0,116,0.0
NF,2007,E,0,0,15,0.0
NF,2007,N,0,0,3,0.0
NF,2007,P,0,0,6,0.0
NF,2008,D,0,0,203,0.0
NF,2008,E,0,0,45,0.0
NF,2008,N,0,0,12,0.0
NF,2008,P,0,0,14,0.0
NF,2009,D,0,0,2749,0.0
NF,2009,E,0,0,847,0.0
NF,2009,N,0,0,20,0.0
NF,2009,P,0,0,23,0.0
NF,2010,D,0,0,1840,0.0
NF,2010,E,0,0,2146,0.0
NF,2010,N,0,0,11,0.0
NF,2010,P,0,0,13,0.0
NF,2011,D,0,0,2061,0.0
NF,2011,E,0,0,1389,0.0
NF,2011,N,0,0,11,0.0
NF,2011,P,0,0,22,0.0
NF,2012,D,0,0,1248,0.0
NF,2012,E,0,0,2137,0.0
NF,2012,N,0,0,4,0.0
NF,2012,P,0,0,23,0.0
NF,2013,D,0,0,3,0.0
NF,2013,E,0,0,90,0.0
NF,2013,N,0,0,12,0.0
NF,2013,P,0,0,23,0.0
NF,2014,D,0,0,2,0.0
NF,2014,N,0,0,1,0.0
NF,2014,P,0,0,18,0.0
NF,2015,P,0,0,2,0.0
NF,2016,N,0,0,1,0.0
NF,2016,P,0,0,2,0.0
NF,2017,D,0,0,21,0.0
NF,2018,D,0,0,4,0.0
NF,2019,D,0,0,6,0.0
NF,2019,E,0,0,1,0.0
NF,2019,N,0,0,7,0.0
NF,2019,P,0,0,11,0.0
NF,2020,D,0,0,7,0.0
NF,2020,N,0,0,2,0.0
NF,2020,P,0,0,2,0.0
NF,2021,D,18,18,830,2.17
NF,2021,E,145,42,166,87.35
NF,2021,N,0,0,1,0.0
NF,2022,D,85,66,3060,2.78
NF,2022,E,1710,203,1816,94.16
NF,2023,D,101,79,3471,2.91
NF,2023,E,2821,325,2962,95.24
NF,2024,D,115,74,1536,7.49
NF,2024,E,1504,279,1638,91.82
NF,2024,P,0,0,2,0.0
NF,2025,D,48,42,296,16.22
NF,2025,E,495,169,584,84.76
NF,2026,D,27,22,77,35.06
NF,2026,E,195,43,213,91.55
NF,2026,N,0,0,2,0.0
