PT,AuditYear,EVALTYPE,AHRI_Records,Distinct_AHRI_Numbers,Total_Audits,Pct_With_AHRI
NS,1980,D,0,0,1,0.0
NS,2000,D,1,1,2,50.0
NS,2001,D,1,1,3,33.33
NS,2003,D,3,3,9,33.33
NS,2004,N,0,0,61,0.0
NS,2004,P,0,0,84,0.0
NS,2005,D,0,0,1,0.0
NS,2005,N,0,0,42,0.0
NS,2005,P,0,0,36,0.0
NS,2006,D,0,0,581,0.0
NS,2006,E,0,0,24,0.0
NS,2006,N,0,0,64,0.0
NS,2006,P,0,0,89,0.0
NS,2007,D,0,0,4267,0.0
NS,2007,E,0,0,514,0.0
NS,2007,N,0,0,141,0.0
NS,2007,P,0,0,221,0.0
NS,2008,D,0,0,8313,0.0
NS,2008,E,0,0,2358,0.0
NS,2008,N,0,0,229,0.0
NS,2008,P,0,0,309,0.0
NS,2009,D,0,0,12189,0.0
NS,2009,E,0,0,5406,0.0
NS,2009,N,0,0,265,0.0
NS,2009,P,0,0,191,0.0
NS,2010,D,0,0,5110,0.0
NS,2010,E,0,0,6850,0.0
NS,2010,N,0,0,373,0.0
NS,2010,P,0,0,643,0.0
NS,2011,D,0,0,7670,0.0
NS,2011,E,0,0,4975,0.0
NS,2011,N,0,0,659,0.0
NS,2011,P,0,0,865,0.0
NS,2012,D,0,0,4432,0.0
NS,2012,E,0,0,6310,0.0
NS,2012,N,0,0,1085,0.0
NS,2012,P,0,0,1275,0.0
NS,2013,D,0,0,5399,0.0
NS,2013,E,0,0,3305,0.0
NS,2013,N,0,0,1189,0.0
NS,2013,P,0,0,1181,0.0
NS,2014,D,0,0,5331,0.0
NS,2014,E,0,0,3985,0.0
NS,2014,N,0,0,656,0.0
NS,2014,P,0,0,535,0.0
NS,2015,D,0,0,3562,0.0
NS,2015,E,0,0,3346,0.0
NS,2015,N,0,0,387,0.0
NS,2015,P,0,0,305,0.0
NS,2016,D,0,0,3507,0.0
NS,2016,E,0,0,2642,0.0
NS,2016,N,0,0,274,0.0
NS,2016,P,0,0,283,0.0
NS,2017,D,0,0,4152,0.0
NS,2017,E,0,0,2680,0.0
NS,2017,N,0,0,309,0.0
NS,2017,P,0,0,367,0.0
NS,2018,D,1,1,5096,0.02
NS,2018,E,0,0,2637,0.0
NS,2018,N,0,0,320,0.0
NS,2018,P,0,0,374,0.0
NS,2019,D,8,7,6422,0.12
NS,2019,E,2,2,3495,0.06
NS,2019,N,0,0,484,0.0
NS,2019,P,8,3,920,0.87
NS,2020,D,49,44,4628,1.06
NS,2020,E,10,9,2519,0.4
NS,2020,N,5,3,768,0.65
NS,2020,P,1,1,983,0.1
NS,2021,D,1359,536,9072,14.98
NS,2021,E,1099,359,3269,33.62
NS,2021,N,106,55,928,11.42
NS,2021,P,225,56,1123,20.04
NS,2022,D,3054,902,14645,20.85
NS,2022,E,4909,801,6933,70.81
NS,2022,N,527,197,845,62.37
NS,2022,P,250,46,654,38.23
NS,2023,D,4641,1148,18250,25.43
NS,2023,E,9259,1191,11319,81.8
NS,2023,N,651,216,738,88.21
NS,2023,P,52,6,68,76.47
NS,2024,D,4861,1118,17406,27.93
NS,2024,E,11488,1392,13088,87.78
NS,2024,N,64,25,67,95.52
NS,2024,P,5,5,109,4.59
NS,2025,D,4757,1113,14509,32.79
NS,2025,E,10202,1367,11892,85.79
NS,2025,N,78,42,84,92.86
NS,2025,P,27,23,91,29.67
NS,2026,D,1195,510,3065,38.99
NS,2026,E,3202,786,3833,83.54
NS,2026,N,53,32,53,100.0
NS,2026,P,20,18,29,68.97
