PT,AuditYear,EVALTYPE,AHRI_Records,Distinct_AHRI_Numbers,Total_Audits,Pct_With_AHRI
NT,2001,D,0,0,1,0.0
NT,2006,D,0,0,4,0.0
NT,2006,E,0,0,2,0.0
NT,2007,D,0,0,110,0.0
NT,2007,E,0,0,1,0.0
NT,2008,D,0,0,265,0.0
NT,2008,E,0,0,27,0.0
NT,2008,N,0,0,3,0.0
NT,2008,P,0,0,3,0.0
NT,2009,D,0,0,388,0.0
NT,2009,E,0,0,40,0.0
NT,2009,P,0,0,7,0.0
NT,2010,D,0,0,94,0.0
NT,2010,E,0,0,37,0.0
NT,2011,D,0,0,99,0.0
NT,2011,E,0,0,84,0.0
NT,2011,N,0,0,2,0.0
NT,2011,P,0,0,2,0.0
NT,2012,D,0,0,39,0.0
NT,2012,E,0,0,22,0.0
NT,2012,N,0,0,63,0.0
NT,2012,P,0,0,88,0.0
NT,2013,D,0,0,105,0.0
NT,2013,E,0,0,2,0.0
NT,2013,N,0,0,42,0.0
NT,2013,P,0,0,53,0.0
NT,2014,D,0,0,58,0.0
NT,2014,E,0,0,5,0.0
NT,2014,N,0,0,68,0.0
NT,2014,P,0,0,52,0.0
NT,2015,D,0,0,39,0.0
NT,2015,E,0,0,1,0.0
NT,2015,N,0,0,63,0.0
NT,2015,P,0,0,63,0.0
NT,2016,D,0,0,52,0.0
NT,2016,E,0,0,1,0.0
NT,2016,N,0,0,74,0.0
NT,2016,P,0,0,78,0.0
NT,2017,D,0,0,73,0.0
NT,2017,E,0,0,3,0.0
NT,2017,N,0,0,32,0.0
NT,2017,P,0,0,33,0.0
NT,2018,D,0,0,66,0.0
NT,2018,E,0,0,11,0.0
NT,2018,N,0,0,46,0.0
NT,2018,P,0,0,51,0.0
NT,2019,D,0,0,111,0.0
NT,2019,E,0,0,10,0.0
NT,2019,N,0,0,50,0.0
NT,2019,P,0,0,50,0.0
NT,2020,D,0,0,64,0.0
NT,2020,E,0,0,2,0.0
NT,2020,N,0,0,29,0.0
NT,2020,P,0,0,29,0.0
NT,2021,D,0,0,65,0.0
NT,2021,E,0,0,3,0.0
NT,2021,N,0,0,40,0.0
NT,2021,P,0,0,40,0.0
NT,2022,D,0,0,126,0.0
NT,2022,E,0,0,11,0.0
NT,2022,N,0,0,10,0.0
NT,2022,P,0,0,10,0.0
NT,2023,D,0,0,140,0.0
NT,2023,E,1,1,22,4.55
NT,2023,N,0,0,7,0.0
NT,2023,P,0,0,7,0.0
NT,2024,D,0,0,97,0.0
NT,2024,E,0,0,27,0.0
NT,2024,N,0,0,4,0.0
NT,2024,P,0,0,4,0.0
NT,2025,D,0,0,91,0.0
NT,2025,E,1,1,24,4.17
NT,2025,N,0,0,6,0.0
NT,2025,P,0,0,6,0.0
NT,2026,D,0,0,21,0.0
NT,2026,E,0,0,5,0.0
