PT,AuditYear,EVALTYPE,AHRI_Records,Distinct_AHRI_Numbers,Total_Audits,Pct_With_AHRI
ON,1970,D,0,0,9,0.0
ON,1970,E,0,0,1,0.0
ON,1980,D,0,0,88,0.0
ON,2000,D,0,0,4,0.0
ON,2000,E,0,0,1,0.0
ON,2001,D,0,0,3,0.0
ON,2002,D,0,0,4,0.0
ON,2003,D,0,0,5,0.0
ON,2004,D,0,0,6,0.0
ON,2004,E,0,0,1,0.0
ON,2004,N,0,0,62,0.0
ON,2004,P,0,0,119,0.0
ON,2005,D,0,0,5,0.0
ON,2005,E,0,0,4,0.0
ON,2005,N,0,0,581,0.0
ON,2005,P,0,0,729,0.0
ON,2006,D,0,0,463,0.0
ON,2006,E,0,0,8,0.0
ON,2006,N,0,0,1995,0.0
ON,2006,P,0,0,1848,0.0
ON,2007,D,0,0,34348,0.0
ON,2007,E,0,0,6321,0.0
ON,2007,N,0,0,4173,0.0
ON,2007,P,0,0,4183,0.0
ON,2008,D,0,0,90147,0.0
ON,2008,E,0,0,37924,0.0
ON,2008,N,0,0,5227,0.0
ON,2008,P,0,0,5240,0.0
ON,2009,D,0,0,188639,0.0
ON,2009,E,0,0,94324,0.0
ON,2009,N,0,0,6225,0.0
ON,2009,P,0,0,6287,0.0
ON,2010,D,0,0,101895,0.0
ON,2010,E,0,0,154442,0.0
ON,2010,N,0,0,7639,0.0
ON,2010,P,0,0,7677,0.0
ON,2011,D,0,0,82264,0.0
ON,2011,E,0,0,102674,0.0
ON,2011,N,0,0,7863,0.0
ON,2011,P,0,0,7939,0.0
ON,2012,D,0,0,9081,0.0
ON,2012,E,0,0,46560,0.0
ON,2012,N,0,0,9340,0.0
ON,2012,P,0,0,9575,0.0
ON,2013,D,0,0,2509,0.0
ON,2013,E,0,0,1737,0.0
ON,2013,N,0,0,9327,0.0
ON,2013,P,0,0,9535,0.0
ON,2014,D,0,0,7306,0.0
ON,2014,E,0,0,5942,0.0
ON,2014,N,0,0,8673,0.0
ON,2014,P,0,0,8871,0.0
ON,2015,D,0,0,9002,0.0
ON,2015,E,0,0,8598,0.0
ON,2015,N,0,0,1467,0.0
ON,2015,P,0,0,1466,0.0
ON,2016,D,0,0,31486,0.0
ON,2016,E,0,0,22905,0.0
ON,2016,N,0,0,710,0.0
ON,2016,P,0,0,699,0.0
ON,2017,D,0,0,46751,0.0
ON,2017,E,0,0,40610,0.0
ON,2017,N,0,0,892,0.0
ON,2017,P,0,0,906,0.0
ON,2018,D,0,0,51121,0.0
ON,2018,E,0,0,49432,0.0
ON,2018,N,7,2,1036,0.68
ON,2018,P,7,2,1028,0.68
ON,2019,D,0,0,32731,0.0
ON,2019,E,1,1,33106,0.0
ON,2019,N,0,0,1242,0.0
ON,2019,P,3,2,1254,0.24
ON,2020,D,0,0,21340,0.0
ON,2020,E,0,0,23000,0.0
ON,2020,N,2,2,786,0.25
ON,2020,P,2,2,794,0.25
ON,2021,D,80,66,41382,0.19
ON,2021,E,514,218,21199,2.42
ON,2021,N,58,18,364,15.93
ON,2021,P,52,17,370,14.05
ON,2022,D,345,252,59899,0.58
ON,2022,E,5760,1030,41808,13.78
ON,2022,N,97,25,618,15.7
ON,2022,P,94,24,619,15.19
ON,2023,D,592,388,121359,0.49
ON,2023,E,55446,2590,84729,65.44
ON,2023,N,120,51,575,20.87
ON,2023,P,122,53,586,20.82
ON,2024,D,725,354,33237,2.18
ON,2024,E,48018,2778,68707,69.89
ON,2024,N,894,110,993,90.03
ON,2024,P,838,106,1012,82.81
ON,2025,D,1510,544,21886,6.9
ON,2025,E,6178,1461,20541,30.08
ON,2025,N,558,80,721,77.39
ON,2025,P,555,81,722,76.87
ON,2026,D,471,188,5230,9.01
ON,2026,E,759,378,4012,18.92
ON,2026,N,55,18,65,84.62
ON,2026,P,56,19,66,84.85
