PT,AuditYear,EVALTYPE,AHRI_Records,Distinct_AHRI_Numbers,Total_Audits,Pct_With_AHRI
PE,2006,N,0,0,1,0.0
PE,2006,P,0,0,1,0.0
PE,2007,D,0,0,55,0.0
PE,2007,E,0,0,5,0.0
PE,2007,N,0,0,3,0.0
PE,2007,P,0,0,3,0.0
PE,2008,D,0,0,1744,0.0
PE,2008,E,0,0,111,0.0
PE,2009,D,0,0,2152,0.0
PE,2009,E,0,0,778,0.0
PE,2009,N,0,0,3,0.0
PE,2009,P,0,0,3,0.0
PE,2010,D,2,2,372,0.54
PE,2010,E,0,0,999,0.0
PE,2011,D,5,5,294,1.7
PE,2011,E,0,0,337,0.0
PE,2011,P,0,0,2,0.0
PE,2012,D,1,1,15,6.67
PE,2012,E,0,0,184,0.0
PE,2012,N,0,0,2,0.0
PE,2012,P,0,0,7,0.0
PE,2013,D,0,0,2,0.0
PE,2013,N,0,0,1,0.0
PE,2013,P,0,0,4,0.0
PE,2014,P,0,0,2,0.0
PE,2015,D,0,0,1,0.0
PE,2015,N,0,0,1,0.0
PE,2015,P,0,0,3,0.0
PE,2016,D,0,0,16,0.0
PE,2016,P,0,0,1,0.0
PE,2017,D,0,0,88,0.0
PE,2017,E,0,0,1,0.0
PE,2018,D,0,0,916,0.0
PE,2018,E,0,0,65,0.0
PE,2018,N,0,0,36,0.0
PE,2018,P,0,0,85,0.0
PE,2019,D,5,5,1950,0.26
PE,2019,E,0,0,455,0.0
PE,2019,N,0,0,91,0.0
PE,2019,P,0,0,161,0.0
PE,2020,D,26,23,1922,1.35
PE,2020,E,4,4,649,0.62
PE,2020,N,0,0,142,0.0
PE,2020,P,4,4,147,2.72
PE,2021,D,749,241,2486,30.13
PE,2021,E,161,91,709,22.71
PE,2021,N,22,18,132,16.67
PE,2021,P,88,35,227,38.77
PE,2022,D,1553,365,3822,40.63
PE,2022,E,1305,337,1933,67.51
PE,2022,N,160,72,201,79.6
PE,2022,P,83,24,194,42.78
PE,2023,D,3851,481,5484,70.22
PE,2023,E,2388,446,3015,79.2
PE,2023,N,160,70,179,89.39
PE,2023,P,24,9,84,28.57
PE,2024,D,2232,387,2842,78.54
PE,2024,E,2707,446,3075,88.03
PE,2024,N,87,32,95,91.58
PE,2024,P,6,2,79,7.59
PE,2025,D,2024,440,2501,80.93
PE,2025,E,1631,381,1817,89.76
PE,2025,N,86,40,89,96.63
PE,2025,P,5,4,56,8.93
PE,2026,D,680,235,922,73.75
PE,2026,E,557,222,701,79.46
PE,2026,N,35,16,37,94.59
PE,2026,P,1,1,1,100.0
