PT,AuditYear,EVALTYPE,AHRI_Records,Distinct_AHRI_Numbers,Total_Audits,Pct_With_AHRI
QC,1970,D,0,0,1,0.0
QC,1976,D,0,0,2,0.0
QC,1991,D,0,0,1,0.0
QC,1998,D,0,0,1,0.0
QC,2000,D,0,0,6,0.0
QC,2000,N,0,0,15,0.0
QC,2000,P,0,0,15,0.0
QC,2001,N,0,0,55,0.0
QC,2001,P,0,0,55,0.0
QC,2002,D,0,0,2,0.0
QC,2002,N,0,0,128,0.0
QC,2002,P,0,0,128,0.0
QC,2003,D,0,0,1,0.0
QC,2003,N,0,0,129,0.0
QC,2003,P,0,0,129,0.0
QC,2004,D,0,0,2,0.0
QC,2004,N,0,0,56,0.0
QC,2004,P,0,0,204,0.0
QC,2005,D,0,0,13,0.0
QC,2005,N,0,0,327,0.0
QC,2005,P,0,0,377,0.0
QC,2006,D,0,0,1844,0.0
QC,2006,E,0,0,124,0.0
QC,2006,N,0,0,877,0.0
QC,2006,P,0,0,883,0.0
QC,2007,D,0,0,10450,0.0
QC,2007,E,0,0,1760,0.0
QC,2007,N,0,0,972,0.0
QC,2007,P,0,0,972,0.0
QC,2008,D,0,0,13050,0.0
QC,2008,E,0,0,5620,0.0
QC,2009,D,5,5,20352,0.02
QC,2009,E,0,0,9507,0.0
QC,2010,D,10,9,7733,0.13
QC,2010,E,0,0,11732,0.0
QC,2010,P,0,0,1,0.0
QC,2011,D,7,7,12290,0.06
QC,2011,E,0,0,6902,0.0
QC,2011,P,0,0,1,0.0
QC,2012,D,13,13,5793,0.22
QC,2012,E,0,0,8793,0.0
QC,2012,P,0,0,2,0.0
QC,2013,D,27,22,15237,0.18
QC,2013,E,0,0,6075,0.0
QC,2014,D,75,62,22842,0.33
QC,2014,E,0,0,11343,0.0
QC,2014,P,0,0,2,0.0
QC,2015,D,112,81,18777,0.6
QC,2015,E,0,0,14461,0.0
QC,2015,N,0,0,1,0.0
QC,2015,P,0,0,1,0.0
QC,2016,D,117,85,22694,0.52
QC,2016,E,0,0,15151,0.0
QC,2016,N,0,0,1,0.0
QC,2016,P,0,0,2,0.0
QC,2017,D,201,138,23870,0.84
QC,2017,E,0,0,21167,0.0
QC,2017,N,0,0,14,0.0
QC,2017,P,0,0,11,0.0
QC,2018,D,209,120,35560,0.59
QC,2018,E,0,0,15521,0.0
QC,2019,D,463,209,43071,1.07
QC,2019,E,4,4,31008,0.01
QC,2020,D,149,102,36511,0.41
QC,2020,E,25,23,22832,0.11
QC,2021,D,2869,887,45835,6.26
QC,2021,E,4820,944,21679,22.23
QC,2021,N,0,0,1,0.0
QC,2021,P,0,0,1,0.0
QC,2022,D,4771,1081,68932,6.92
QC,2022,E,23423,1447,40437,57.92
QC,2023,D,4473,1143,72852,6.14
QC,2023,E,32660,1813,51912,62.91
QC,2024,D,3874,1152,46593,8.31
QC,2024,E,24804,2014,41213,60.18
QC,2024,N,1,1,1,100.0
QC,2024,P,1,1,2,50.0
QC,2025,D,3292,1141,26417,12.46
QC,2025,E,10865,1989,26631,40.8
QC,2026,D,2628,1003,12221,21.5
QC,2026,E,2731,1035,7453,36.64
