PT,AuditYear,EVALTYPE,AHRI_Records,Distinct_AHRI_Numbers,Total_Audits,Pct_With_AHRI
SK,2001,E,0,0,1,0.0
SK,2002,D,0,0,2,0.0
SK,2004,N,0,0,3,0.0
SK,2004,P,0,0,3,0.0
SK,2005,D,0,0,1,0.0
SK,2005,N,0,0,4,0.0
SK,2005,P,0,0,4,0.0
SK,2006,D,0,0,1031,0.0
SK,2006,E,0,0,4,0.0
SK,2006,N,0,0,29,0.0
SK,2006,P,0,0,29,0.0
SK,2007,D,0,0,11750,0.0
SK,2007,E,0,0,1886,0.0
SK,2007,N,0,0,54,0.0
SK,2007,P,0,0,53,0.0
SK,2008,D,0,0,12278,0.0
SK,2008,E,0,0,6102,0.0
SK,2008,N,0,0,264,0.0
SK,2008,P,0,0,266,0.0
SK,2009,D,0,0,14810,0.0
SK,2009,E,0,0,10208,0.0
SK,2009,N,0,0,358,0.0
SK,2009,P,0,0,361,0.0
SK,2010,D,0,0,4550,0.0
SK,2010,E,0,0,11319,0.0
SK,2010,N,0,0,519,0.0
SK,2010,P,0,0,596,0.0
SK,2011,D,0,0,9425,0.0
SK,2011,E,0,0,7746,0.0
SK,2011,N,0,0,299,0.0
SK,2011,P,0,0,610,0.0
SK,2012,D,0,0,4826,0.0
SK,2012,E,0,0,7188,0.0
SK,2012,N,0,0,573,0.0
SK,2012,P,0,0,1169,0.0
SK,2013,D,0,0,2002,0.0
SK,2013,E,0,0,3528,0.0
SK,2013,N,0,0,671,0.0
SK,2013,P,0,0,156,0.0
SK,2014,D,0,0,29,0.0
SK,2014,E,0,0,8,0.0
SK,2014,N,0,0,169,0.0
SK,2014,P,0,0,82,0.0
SK,2015,D,0,0,3,0.0
SK,2015,N,0,0,72,0.0
SK,2015,P,0,0,36,0.0
SK,2016,D,0,0,6,0.0
SK,2016,N,0,0,42,0.0
SK,2016,P,0,0,51,0.0
SK,2017,D,0,0,5,0.0
SK,2017,N,0,0,52,0.0
SK,2017,P,0,0,47,0.0
SK,2018,D,0,0,5,0.0
SK,2018,E,0,0,1,0.0
SK,2018,N,0,0,78,0.0
SK,2018,P,0,0,84,0.0
SK,2019,D,0,0,10,0.0
SK,2019,N,0,0,68,0.0
SK,2019,P,0,0,136,0.0
SK,2020,D,0,0,8,0.0
SK,2020,N,0,0,109,0.0
SK,2020,P,1,1,128,0.78
SK,2021,D,0,0,955,0.0
SK,2021,E,0,0,62,0.0
SK,2021,N,5,5,158,3.16
SK,2021,P,3,3,167,1.8
SK,2022,D,5,5,2325,0.22
SK,2022,E,23,18,923,2.49
SK,2022,N,2,2,145,1.38
SK,2022,P,4,4,131,3.05
SK,2023,D,5,5,2003,0.25
SK,2023,E,74,52,1430,5.17
SK,2023,N,1,1,125,0.8
SK,2023,P,0,0,187,0.0
SK,2024,D,7,6,1626,0.43
SK,2024,E,132,87,1344,9.82
SK,2024,N,12,3,264,4.55
SK,2024,P,23,4,615,3.74
SK,2025,D,7,7,1163,0.6
SK,2025,E,83,68,1060,7.83
SK,2025,N,21,9,755,2.78
SK,2025,P,11,9,687,1.6
SK,2026,D,1,1,192,0.52
SK,2026,E,14,13,375,3.73
SK,2026,N,3,2,434,0.69
SK,2026,P,0,0,45,0.0
