PT,AuditYear,EVALTYPE,AHRI_Records,Distinct_AHRI_Numbers,Total_Audits,Pct_With_AHRI
YK,2001,P,0,0,1,0.0
YK,2002,P,0,0,1,0.0
YK,2003,N,0,0,2,0.0
YK,2003,P,0,0,2,0.0
YK,2004,N,0,0,15,0.0
YK,2004,P,0,0,30,0.0
YK,2005,N,0,0,10,0.0
YK,2005,P,0,0,19,0.0
YK,2006,N,0,0,27,0.0
YK,2006,P,0,0,30,0.0
YK,2007,D,0,0,62,0.0
YK,2007,E,0,0,7,0.0
YK,2007,N,0,0,10,0.0
YK,2007,P,0,0,15,0.0
YK,2008,D,0,0,80,0.0
YK,2008,E,0,0,20,0.0
YK,2008,N,0,0,5,0.0
YK,2008,P,0,0,27,0.0
YK,2009,D,0,0,143,0.0
YK,2009,E,0,0,26,0.0
YK,2009,N,0,0,26,0.0
YK,2009,P,0,0,11,0.0
YK,2010,D,0,0,25,0.0
YK,2010,E,0,0,22,0.0
YK,2010,N,0,0,1,0.0
YK,2010,P,0,0,15,0.0
YK,2011,D,0,0,60,0.0
YK,2011,E,0,0,34,0.0
YK,2011,N,0,0,18,0.0
YK,2011,P,0,0,27,0.0
YK,2012,D,0,0,36,0.0
YK,2012,E,0,0,12,0.0
YK,2012,N,0,0,31,0.0
YK,2012,P,0,0,48,0.0
YK,2013,D,0,0,42,0.0
YK,2013,N,0,0,22,0.0
YK,2013,P,0,0,13,0.0
YK,2014,D,0,0,39,0.0
YK,2014,N,0,0,34,0.0
YK,2014,P,0,0,94,0.0
YK,2015,D,0,0,62,0.0
YK,2015,E,0,0,8,0.0
YK,2015,N,0,0,163,0.0
YK,2015,P,0,0,177,0.0
YK,2016,D,0,0,52,0.0
YK,2016,E,0,0,11,0.0
YK,2016,N,0,0,131,0.0
YK,2016,P,0,0,89,0.0
YK,2017,D,0,0,156,0.0
YK,2017,E,0,0,14,0.0
YK,2017,N,0,0,129,0.0
YK,2017,P,0,0,133,0.0
YK,2018,D,0,0,191,0.0
YK,2018,E,0,0,20,0.0
YK,2018,N,0,0,148,0.0
YK,2018,P,0,0,211,0.0
YK,2019,D,0,0,162,0.0
YK,2019,E,0,0,21,0.0
YK,2019,N,0,0,187,0.0
YK,2019,P,0,0,198,0.0
YK,2020,D,0,0,274,0.0
YK,2020,E,0,0,51,0.0
YK,2020,N,0,0,214,0.0
YK,2020,P,0,0,272,0.0
YK,2021,D,4,2,466,0.86
YK,2021,E,1,1,63,1.59
YK,2021,N,0,0,221,0.0
YK,2021,P,0,0,242,0.0
YK,2022,D,2,2,491,0.41
YK,2022,E,17,12,205,8.29
YK,2022,N,8,4,177,4.52
YK,2022,P,4,3,172,2.33
YK,2023,D,4,4,418,0.96
YK,2023,E,22,16,170,12.94
YK,2023,N,4,3,149,2.68
YK,2023,P,7,3,153,4.58
YK,2024,D,2,2,325,0.62
YK,2024,E,23,12,154,14.94
YK,2024,N,17,11,166,10.24
YK,2024,P,11,9,213,5.16
YK,2025,D,4,4,258,1.55
YK,2025,E,11,8,89,12.36
YK,2025,N,13,7,215,6.05
YK,2025,P,11,5,204,5.39
YK,2026,D,0,0,65,0.0
YK,2026,E,5,4,21,23.81
YK,2026,N,8,7,77,10.39
YK,2026,P,5,4,67,7.46
