AHRI_Number,Total_Count,Count_AB,Count_BC,Count_MB,Count_NB,Count_NF,Count_NS,Count_NT,Count_ON,Count_PE,Count_QC,Count_SK,Count_YK,Cert_Resolved,brand,series,model,indoor_model,cooling_capacity_btuh,eer2,seer2,heating_capacity_47f_btuh,hspf2,heating_capacity_17f_btuh,heating_capacity_5f_btuh,heating_cop_5f,refrigerant,energy_star,cold_climate,ahri_type,model_status,sold_in,split_or_packaged,phase,is_rerated,is_hsvtc,energy_guide_label,manufacturer_type,indoor_brand,airflow_cfm
211644151,11555,169,189,59,1,0,24,0,10820,0,292,1,0,Yes,GREE,FLEXX High-efficiency Series,GUD36W/A-D(U),GCAT36*/NAA,32000,9.5,15.2,36000,8.5,23200,26000,1.80,R-410A,No,Yes,HRCU-A-C,Active,Canada,Split,1,No,No,No,Systems,GREE,760
212361362,11016,10,0,1,0,0,3,0,11001,0,1,0,0,Yes,KINGHOME,,KU36UHO,KCA36*I,32000,9.5,15.2,36000,8.5,23200,26000,1.80,R-410A,No,No,HRCU-A-C,Active,Canada,Split,1,No,No,No,Systems,KINGHOME,760
206249117,9146,9,1002,18,363,2,262,0,134,6,7349,1,0,Yes,GREE,FLEXX High-efficiency Series,GUD36W/A-D(U),GUD36AH2/A-D(U),34000,10,16,35000,9,29000,28000,1.80,R-410A,No,Yes,HRCU-A-CB,Active,Canada,Split,1,No,No,No,Systems,GREE,1000
207098550,5912,18,30,72,0,0,0,0,5765,0,13,14,0,Yes,CARRIER,,38MARBQ24AA3,CAP**2417AL*,21400,11.5,15,26000,10,15800,,,R-410A,No,No,HRCU-A-CB,Discontinued,"USA, Canada",Split,1,No,No,No,Systems,CARRIER,
212361366,4406,126,298,6,1,2,29,0,3761,0,183,0,0,Yes,TOSOT,,TU36-24WADU,TCAT36F/NAA,32000,9.5,15.2,36000,8.5,23200,26000,1.80,R-410A,No,No,HRCU-A-C,Active,Canada,Split,1,No,No,No,Systems,TOSOT,760
208101910,4389,2,0,0,0,0,0,0,4387,0,0,0,0,Yes,MDV,MAC series,MOD30-24HFN1-MW,MAC-24HWDN1-MN0,24000,10.7,16.5,25000,9.5,21000,20000,1.95,R-410A,No,Yes,HRCU-A-C,Active,Canada,Split,1,No,No,No,Systems,MDV,710
212361759,4206,140,21,23,0,2,22,0,3516,0,443,39,0,Yes,MOOVAIR,DM series,DMA24HOS20230E7,CUB24HAC20BWT7A,24000,10.7,16.5,25000,9.5,21000,20000,1.95,R-410A,No,Yes,HRCU-A-C,Active,Canada,Split,1,No,No,No,Systems,MOOVAIR,710
10570123,4182,0,3,0,2539,25,897,0,9,485,224,0,0,Yes,LG,LSU120HSV5,LSU120HSV5,LSN120HSV5,12000,12.5,22,13600,10,8200,9600,1.80,R-410A,Yes,Yes,HRCU-A-CB-O,Active,Canada,Split,1,No,Yes,No,Systems,LG,
206414273,3866,19,1433,6,166,15,388,0,316,8,1515,0,0,Yes,TOSOT,FLEXX High-efficiency Series,TU36-24WADU,TUD36-24AH2ADU,34000,10,16,35000,9,29000,28000,1.80,R-410A,No,Yes,HRCU-A-CB,Active,Canada,Split,1,No,No,No,Systems,TOSOT,1000
212367433,3331,0,0,0,0,0,0,0,3331,0,0,0,0,Yes,Bladex,,BX30-24HPHYHA,BLC-24HWAC1,24000,10.7,16.5,25000,9.5,21000,20000,1.95,R-410A,No,No,HRCU-A-C,Active,Canada,Split,1,No,No,No,Systems,Bladex,710
205047852,3012,0,0,0,1555,10,1051,0,3,195,198,0,0,Yes,PANASONIC,ClimaPure XE,CU-XE12WKUA,CS-XE12WKUAW,11500,14.15,24.6,11500,11,10000,10200,2.13,R-410A,No,Yes,HRCU-A-CB-O,Production Stopped,Canada,Split,1,No,Yes,No,Systems,PANASONIC,
207256441,2715,8,27,2,0,0,1,0,45,0,2632,0,0,Yes,GREE,FLEXX High-efficiency Series,FLEXX36HP230V1AO,FLEXX36HP230V1BH,34000,10,16,35000,9,29000,28000,1.80,R-410A,No,Yes,HRCU-A-CB,Active,Canada,Split,1,No,No,No,Systems,GREE,1000
8033586,2683,1,343,2,122,298,817,0,116,114,869,0,1,Yes,FUJITSU,H-Series,AOU24RLXFZH,,22000,13.3,20,24000,10,15400,25600,2.06,R-410A,Yes,Yes,HMSV-A-CB-O,Production Stopped,USA,Split,1,No,Yes,Yes,Systems,FUJITSU,
207706559,2641,3,223,4,62,3,61,0,206,1,2077,1,0,Yes,MOOVAIR,DM series,DMA24HOS20230E7,FMA24HIAHUU230X7,24000,11.7,17.4,24000,10,19200,22600,1.91,R-410A,Yes,Yes,HRCU-A-CB,Active,Canada,Split,1,No,No,No,Systems,MOOVAIR,920
205663358,2572,5,114,0,143,684,618,0,50,46,912,0,0,Yes,DAIKIN,,3MXL24RMVJU*,,24000,12.7,18,24000,12.5,15500,,,R-410A,No,No,HMSV-A-CB-O,Discontinued,"USA, Canada",Split,1,No,Yes,No,Systems,DAIKIN,
212396763,2411,106,56,11,4,0,14,0,2101,0,119,0,0,Yes,TRANE,,4TXD2036A10NU**,"H,TG34936+TD",33400,9,15.2,36000,8.5,22000,24000,1.80,R-410A,No,No,HRCU-A-C,Active,Canada,Split,1,No,,No,Coil (Mix-Match),ADP,840
210722665,2302,4,196,1,77,657,759,0,31,21,555,0,1,Yes,DAIKIN,Daikin AURORA,3MXL24WMVJU*,,24000,11.7,18,24000,9.7,15500,21600,1.80,R-410A,No,Yes,HMSV-A-CB-O,Production Stopped,Canada,Split,1,No,Yes,No,Systems,DAIKIN,
201754299,2288,0,28,0,682,41,523,0,33,203,778,0,0,Yes,Mitsubishi Electric,M-Series,MUZ-FH12NAH,MSZ-FH12NA**,12000,13.8,26.3,13600,10.4,8100,,,R-410A,No,No,HRCU-A-CB-O,Discontinued,USA,Split,1,No,Yes,No,Systems,Mitsubishi Electric,
206249116,2253,1,72,15,102,2,102,0,22,1,1936,0,0,Yes,GREE,FLEXX High-efficiency Series,GUD36W/A-D(U),GUD24AH2/A-D(U),24000,12,17,24000,9,20000,22000,1.80,R-410A,No,Yes,HRCU-A-CB,Active,Canada,Split,1,No,No,No,Systems,GREE,720
207599994,2206,5,75,13,53,55,81,0,44,3,1877,0,0,Yes,DAIKIN,Daikin Fit,DZ17VSA301B*,DV35FECC14A*,25000,10.7,18,22800,10,17600,,,R-410A,No,No,HRCU-A-CB,Discontinued,"USA, Canada",Split,1,No,No,No,Systems,DAIKIN,
204717600,2131,0,4,0,777,22,458,0,5,414,451,0,0,Yes,DAIKIN,,RXL12QMVJU9,FTX12NMVJU,10600,12.5,20,13400,12,8800,,,R-410A,No,No,HRCU-A-CB-O,Discontinued,"USA, Canada",Split,1,No,Yes,No,Systems,DAIKIN,
7091971,2113,0,0,0,302,0,721,0,1,72,1017,0,0,Yes,GREE,Lomo,GWH12QC-D3DNA1D/O,GWH12QC-D3DN***/I,12000,12,21.5,13000,8.5,10400,9100,1.80,R-410A,No,Yes,HRCU-A-CB-O,Production Stopped,Canada,Split,1,No,Yes,No,Systems,GREE,
204825178,2089,0,0,0,1489,44,305,0,3,105,143,0,0,Yes,LG,LAU120HYV3,LAU120HYV3,LAN120HYV3,12000,13.8,25.5,13600,11.2,8300,9600,1.85,R-410A,Yes,Yes,HRCU-A-CB-O,Active,Canada,Split,1,No,Yes,No,Systems,LG,
205663349,2022,0,9,0,729,8,588,0,1,537,150,0,0,Yes,DAIKIN,,RXL15QMVJU*,FTX15NMVJU,15000,13,19.5,18300,10,11500,,1.80,R-410A,No,No,HRCU-A-CB-O,Discontinued,"USA, Canada",Split,1,No,No,No,Systems,DAIKIN,
8703508,2014,0,2,0,616,13,264,0,5,956,158,0,0,Yes,FUJITSU,,AOU15RLS3H,ASU15RLS3Y,14500,13.9,25.3,15000,13.3,11200,,,R-410A,No,No,HRCU-A-CB-O,Discontinued,"USA, Canada",Split,1,No,No,No,Systems,FUJITSU,
201754301,1984,0,25,0,549,56,593,0,30,360,371,0,0,Yes,Mitsubishi Electric,M-Series,MUZ-FH15NAH,MSZ-FH15NA**,15000,12.5,21.5,18000,9.9,11000,,,R-410A,No,No,HRCU-A-CB-O,Discontinued,USA,Split,1,No,Yes,No,Systems,Mitsubishi Electric,
206223052,1963,5,549,11,54,7,65,0,799,0,465,0,8,Yes,,,,,,,,,,,,,,,,,Delisted,,,,,,,,,
205047853,1958,0,0,0,813,98,171,0,0,762,114,0,0,Yes,PANASONIC,ClimaPure XE,CU-XE15WKUA,CS-XE15WKUAW,14700,12.55,22,14700,11,11000,15300,1.87,R-410A,No,Yes,HRCU-A-CB-O,Production Stopped,Canada,Split,1,No,Yes,No,Systems,PANASONIC,
6233140,1934,0,0,0,1266,4,540,0,0,66,58,0,0,Yes,LG,LAU120HYV,LAU120HYV,LAN120HYV,12000,14.1,25.5,13600,10.2,8400,9500,5.97,R-410A,No,No,HRCU-A-CB-O,Discontinued,"USA, Canada",Split,1,No,Yes,No,Systems,LG,
206597213,1918,0,6,0,919,4,140,0,4,619,226,0,0,Yes,FUJITSU,H-Series,AOUG15LZAH1,ASUG15LZBS,14500,13.9,25.3,14500,12.7,11200,17500,2.34,R-410A,Yes,Yes,HRCU-A-CB-O,Production Stopped,"USA, Canada",Split,1,No,No,Yes,Systems,FUJITSU,
205123809,1795,0,824,0,207,31,349,0,28,0,356,0,0,Yes,FUJITSU,H-Series,AOUG36LMAS1,AMUG36LMAS,36000,10.7,17.1,36000,8.8,29400,32800,2.00,R-410A,No,Yes,HRCU-A-CB,Production Stopped,"USA, Canada",Split,1,No,Yes,Yes,Systems,FUJITSU,
212633393,1724,42,21,144,0,0,10,0,1499,0,4,4,0,Yes,,,,,,,,,,,,,,,,,Delisted,,,,,,,,,
207706560,1703,2,143,3,117,8,96,0,198,1,1132,1,2,Yes,MOOVAIR,DM series,DMA30HOS20230E7,FMA30HIAHUU230X7,30000,10,16.2,33000,8.9,21000,24000,1.80,R-410A,No,Yes,HRCU-A-CB,Active,Canada,Split,1,No,No,No,Systems,MOOVAIR,960
202557961,1650,0,1,0,9,0,143,0,9,2,1486,0,0,Yes,GREE,J-Series,GWHD(24)ND3JO,,22000,12,20,26000,10,17900,30000,1.80,R-410A,No,Yes,HMSV-A-CB-O,Active,Canada,Split,1,No,Yes,No,Systems,GREE,
207706561,1610,0,220,4,164,75,125,0,234,17,771,0,0,Yes,MOOVAIR,DM series,DMA36HOS20230E7,FMA36HIAHUU230X7,36000,10,16,40000,9.5,30400,34400,1.97,R-410A,No,Yes,HRCU-A-CB,Active,Canada,Split,1,No,No,No,Systems,MOOVAIR,1150
201851577,1604,0,105,1,86,345,393,0,35,18,620,0,1,Yes,DAIKIN,,3MXL24RMVJU,,24000,12.7,18,24000,12.5,15500,,,R-410A,No,No,HMSV-A-CB-O,Discontinued,"USA, Canada",Split,1,No,Yes,No,Systems,DAIKIN,
212361760,1596,110,11,8,0,0,12,0,1185,0,257,13,0,Yes,MOOVAIR,DM series,DMA30HOS20230E7,CUB36HAC20CWT7A,30000,10.5,15.5,33000,9.7,22600,27000,1.85,R-410A,No,Yes,HRCU-A-C,Active,Canada,Split,1,No,No,No,Systems,MOOVAIR,905
201754295,1569,0,7,0,483,1,338,0,4,386,350,0,0,Yes,Mitsubishi Electric,M-Series,MUZ-FE12NAH,MSZ-FE12NA**,12000,12.9,23,13600,10.1,7800,,,R-410A,No,No,HRCU-A-CB-O,Discontinued,USA,Split,1,No,No,No,Systems,Mitsubishi Electric,
