HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
1908669,AB,T2N,D,2021-06-01,2021,Single Detached,508.1,Two storeys,1975,B1,1.0,1.847,19558.0,19.558,35935.7,9982.2,91296.5,25360.3,9982.3,3589.2,0.0,0.0,0.0,8077723,Ground,,18844.2,f,0.0,4.1,0.0,,,0.0,,,,Conventional A/C,5.63,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with pilot (unsealed),Natural Gas,No,,,,,,,,,,,,,,
1919048,AB,T0B,D,2021-09-01,2021,Single Detached,317.4,Two storeys,2019,B1,1.0,0.9708,11492.8,11.493,38778.3,10771.8,74479.4,20688.9,10771.8,0.0,0.0,0.0,0.0,26223059,Air,,14067.4,f,0.0,3.35,0.0,,,0.0,,,,Central split system,3.11,Electric furnace,Electricity,Advanced airtight wood stove,Mixed Wood,Yes,,,,,,,,,,,,,,
1888196,AB,T3H,E,2021-11-01,2021,Single Detached,362.2,Two storeys,2005,B1,1.0,2.0203,15182.7,15.183,29834.0,8287.3,84534.8,23482.1,8287.3,0.0,0.0,0.0,0.0,8738040,Ground,,17174.0,f,0.0,4.0,0.0,,,0.0,,,C448,Conventional A/C,4.95,Electric furnace,Electricity,,,No,,,,,,,,,,,,,,
1858609,AB,T5R,E,2021-11-01,2021,Single Detached,225.7,Two storeys,2015,B1,1.0,2.3744,11113.4,11.113,15214.0,4226.1,103044.4,28623.7,4226.1,10778.1,0.0,0.0,0.0,202919996,Air,,4281.6,f,0.0,3.465,0.0,,,0.0,,,ESTAR,Central split system,3.038,Condensing furnace,Natural Gas,Fireplace with pilot (sealed),Natural Gas,Yes,LENNOX,EL16XP1-030-230A**,CX35-30B+TDR,28600,18900,,,8.2,14.25,No,8.382,,0.754,
1891452,AB,T2N,E,2021-11-01,2021,Single Detached,311.4,Two storeys,2009,B1,1.0,3.6944,15061.3,15.061,33157.7,9210.5,78187.4,21718.9,9210.6,268.6,0.0,0.0,0.0,8735754,Ground,,17000.0,f,0.0,3.9,0.0,,,0.0,,,,Conventional A/C,5.54,Condensing heater,Natural Gas,Wood fireplace,Mixed Wood,No,,,,,,,,,,,,,,
1838460,AB,T3M,N,2021-08-01,2021,Single Detached,328.6,Two storeys,2021,B1,1.0,0.5865,5908.1,5.908,11509.5,3197.1,39057.0,10849.3,3192.5,0.0,0.0,0.0,0.0,206223059,Air,,14067.4,f,0.0,4.54,0.0,,,0.0,,,,Central split system,3.199,Electric furnace,Electricity,Fan heater units,Electricity,Yes,,,,,,,,,,,,,,
1960752,AB,T6H,D,2021-12-01,2021,Single Detached,256.9,One storey,1960,B1;P1,1.0,2.9052,14126.3,14.126,20802.1,5778.4,119761.7,33267.4,5778.4,11717.0,0.0,0.0,0.0,7915887,Air,,10550.6,f,0.0,4.164,0.0,,,0.0,,,,Central split system,3.3255,Boiler  with continuous pilot,Natural Gas,,,Yes,SAMSUNG,AJ036JCJ5CH,,34000,21400,,,9,16.5,No,9.964,,0.705,
2501746,AB,T8N,E,2021-08-01,2021,Single Detached,254.5,Two storeys,1998,B1,1.0,3.56,16165.5,16.166,10998.4,3055.1,128862.4,35795.4,3055.0,16398.7,0.0,0.0,0.0,204875803,Air,,7684.1,T,9.91,4.39,2.82,,,55.0,,,ESTAR,Central split system,3.4635,Condensing furnace,Natural Gas,Fireplace with pilot (sealed),Natural Gas,Yes,DAIKIN,DZ17VSA361A*,CA*EA3026*4A*,33800,22000,,,9.6,17.5,No,9.906,,0.613,
1875494,AB,T3C,E,2022-01-01,2022,Single Detached,206.1,Split level,1961,B1,1.0,3.2845,8332.8,8.333,12446.2,3457.3,65386.6,18163.1,3457.2,2814.2,0.0,0.0,0.0,206322099,Air,,9378.3,f,0.0,4.54,0.0,,,0.0,,,ESTAR,Central split system,3.613,Condensing furnace,Natural Gas,Wood fireplace,Mixed Wood,Yes,LENNOX,XP20-036-230B**,CR33-50/60+TDR+TXV,32000,20600,16000,2.04,7.9,19,No,9.378,4.689,1.125,0.563
1992878,AB,T3H,E,2021-10-01,2021,Double/Semi-detached,338.5,One storey,1991,B1;P1,1.0,3.8275,19696.0,19.696,14587.9,4052.2,126270.2,35075.3,4052.3,15990.1,0.0,0.0,0.0,207168337,Air,,8323.2,F,0.0,4.54,0.0,,,0.0,,,,Central split system,3.383,Condensing furnace,Natural Gas,Furnace/Boiler w/ spark ignition,Natural Gas,Yes,DAIKIN,DZ17VSA241B*,DV24FECB14A*,22800,14600,,1.99,8.5,17.3,No,6.682,,0.339,
1910058,AB,T3H,E,2021-08-01,2021,"Row house, end unit",229.9,One storey,1993,B1,1.0,3.1876,10257.4,10.257,7759.4,2155.4,74775.5,20771.1,2155.3,3165.3,0.0,0.0,0.0,204875675,Air,,7033.7,F,0.0,4.54,0.0,,,0.0,,,ESTAR,Central split system,3.383,Condensing furnace,Natural Gas,,,Yes,DAIKIN,DZ17VSA241A*,CA*EA1818*4A*,22800,14300,,,10,18,No,6.682,,0.651,
1908663,AB,T0L,E,2021-09-01,2021,Single Detached,313.1,Two storeys,1998,B1;P1,1.0,2.8254,21575.9,21.576,39313.0,10920.4,88063.7,24462.3,10920.4,0.0,0.0,0.0,0.0,202514053,Ground,,24000.0,F,0.0,3.8,0.0,,,0.0,,,C448,Conventional A/C,4.303,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Advanced airtight wood stove,Mixed Wood,No,,,,,,,,,,,,,,
