HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
657511,MB,R5A,D,2021-09-01,2021,Single Detached,355.5,One storey,1974,B1,1.0,2.4659,19935.3,19.935,34780.2,9661.2,82115.7,22810.1,9661.2,0.0,0.0,0.0,0.0,202541572,Water,,22000.0,f,0.0,5.25,0.0,,,0.0,,,,Conventional A/C,5.25,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,No,,,,,,,,,,,,,,
623367,MB,R3P,D,2021-08-01,2021,Single Detached,252.6,One storey,1992,B1,1.0,4.1754,14779.0,14.779,28786.7,7996.4,83174.3,23104.2,7996.5,2594.7,0.0,0.0,0.0,207200557,Ground,,16500.0,f,0.0,4.0,0.0,,,0.0,,,,Conventional A/C,4.0,Furnace with continuous pilot,Natural Gas,,,No,,,,,,,,,,,,,,
1177999,MB,R0E,E,2021-09-01,2021,Single Detached,530.3,Two storeys,1930,B1;B2;B3;C1;F1,1.0,2.7378,32108.6,32.109,110787.9,30774.7,187369.2,52047.4,30774.7,0.0,0.0,0.0,0.0,5440555,Ground,,16382.7,f,0.0,3.6,0.0,,,0.0,,,C448,Conventional A/C,5.01,Electric furnace,Electricity,Wood fireplace,Mixed Wood,No,,,,,,,,,,,,,,
1910323,MB,R0A,D,2021-09-01,2021,Single Detached,115.9,One storey,1986,C1;F1,1.0,13.3021,23635.3,23.635,55804.6,15501.4,118930.9,33036.6,15501.5,0.0,0.0,0.0,4192.3,8071537,Air,,10316.1,f,0.0,4.314,0.0,,,0.0,,,,Mini-split ductless,3.498,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Advanced airtight wood stove,Mixed Wood,Yes,FUJITSU,AOU36RLXFZ1,,36000,21400,22600,1.82,9,19,No,10.551,6.623,0.446,0.28
1893983,MB,R3M,E,2021-09-01,2021,Single Detached,246.5,One storey,1954,B1,1.0,3.041,11282.5,11.282,14879.4,4133.2,87700.0,24361.3,4133.1,7073.1,0.0,0.0,0.0,204297426,Air,,12500.0,f,0.0,4.352,0.0,,,0.0,,,ESTAR,Central split system,3.268,Condensing furnace,Natural Gas,,,Yes,BRYANT HEATING AND COOLING SYSTEMS,288BNV036*0**A*,CNPV*4217AL*+UI,35600,24400,,,9.5,16,No,10.433,,0.925,
1923484,MB,R3G,D,2021-10-01,2021,Single Detached,134.5,Two storeys,1946,B1;B2,1.0,4.3615,12529.7,12.53,12613.0,3503.6,100015.4,27782.3,3503.6,11264.5,0.0,0.0,0.0,201771984,Air,,8206.0,F,0.0,4.126,0.0,,,0.0,,,,Mini-split ductless,4.073,Induced draft fan boiler,Natural Gas,,,Yes,LENNOX,MPB030S4M-1P,,28000,17200,,,9.2,23,No,8.206,,0.655,
5303917,MB,R3C,D,2021-11-01,2021,Single Detached,217.6,Three storeys,1904,B1,1.0,4.3595,16989.3,16.989,78150.3,21708.6,124933.1,34703.9,21708.5,0.0,0.0,0.0,0.0,201953308,Air,,6447.5,F,0.0,4.051,0.0,,,0.0,,,ESTAR,Central split system,3.958,Electric furnace,Electricity,,,Yes,LENNOX,XP25-024-230-**,CBA38MV-036-230*+TDR,22000,13600,,,10,22,No,6.448,,0.38,
884235,MB,R3M,D,2021-11-01,2021,Single Detached,352.0,Two and a half,1924,B1;B2;B3,1.0,6.5082,32658.9,32.659,14371.2,3992.0,266417.2,74005.4,3992.0,56245.2,0.0,0.0,0.0,1234567890,Air,,7385.4,f,0.0,4.051,0.0,,,0.0,,,,Mini-split ductless,3.636,Induced draft fan boiler,Natural Gas,Wood fireplace,Mixed Wood,Yes,,,,,,,,,,,,,,
1944289,MB,R3G,D,2021-11-01,2021,Single Detached,236.8,Two and a half,1910,B1;C1;F1,1.0,6.5097,30699.5,30.7,8679.9,2411.1,318523.2,88479.4,2411.1,70450.6,0.0,0.0,0.0,203363530,Air,,3516.8,f,0.0,4.145,0.0,,,0.0,,,ESTAR,Mini-split ductless,4.073,Boiler  with continuous pilot,Natural Gas,,,Yes,NAPOLEON,NMZO-27F-B,,28000,17200,,,9.2,23,No,8.206,,0.267,
514352,MB,R2W,E,2021-12-01,2021,Single Detached,264.6,One and a half,1929,B1,1.0,4.0171,23664.1,23.664,8359.3,2322.0,206477.2,57355.2,2322.0,42439.2,0.0,0.0,0.0,6961729,Air,,4689.1,t,4.69,4.916,2.01,,,75.0,,,ESTAR,Mini-split ductless,3.958,Induced draft fan boiler,Natural Gas,,,Yes,FUJITSU,AOU12RLFW1,ASU12RLF1,12000,9400,,,11,22,No,3.517,,0.149,
1897661,MB,R1A,D,2021-07-01,2021,Single Detached,373.0,One storey,1970,B1,1.0,6.1748,22155.4,22.155,51626.3,14340.8,98422.3,27339.7,14340.7,0.0,0.0,0.0,0.0,4702484,Ground,,24500.0,f,0.0,3.6,0.0,,,0.0,,,,Conventional A/C,3.6,Electric furnace,Electricity,Wood fireplace,Mixed Wood,Yes,,,,,,,,,,,,,,
1879196,MB,R5G,P,2021-07-01,2021,Apartment,1106.7,Three storeys,2021,,10.0,1.5,32744.0,32.744,80914.4,22476.4,361334.5,100371.5,22476.3,0.0,0.0,0.0,0.0,10255977,Air,,22273.4,f,0.0,3.724,0.0,,,0.0,,,,Central split system,3.015,Electric furnace,Electricity,Baseboard/Hydronic/Plenum(duct) htrs,Electricity,Yes,AMERISTAR,M4THS1518A11N**,M4MHW1518A1N0**,19000,12100,,,9,15,No,5.568,,0.17,
1867828,MB,R3T,P,2021-06-01,2021,Single Detached,439.3,Two storeys,2020,B1,1.0,1.5,13032.6,13.033,47581.0,13217.1,83678.1,23244.1,13217.1,0.0,0.0,0.0,0.0,201754495,Air,,30529.9,f,0.0,3.34,0.0,,,0.0,,,,Central split system,3.11,Electric furnace,Electricity,Baseboard/Hydronic/Plenum(duct) htrs,Electricity,Yes,Mitsubishi Electric,PUZ-HA42NKA,PVA-A42AA*,48000,42000,,,11,15.3,No,14.067,,1.079,
1885362,MB,R0E,P,2019-07-01,2019,Single Detached,398.3,Two storeys,2021,B1,1.0,1.5,11369.0,11.369,20718.3,5755.1,55766.9,15490.9,5755.0,0.0,0.0,0.0,0.0,4230459,Ground,,16089.6,f,0.0,3.7,0.0,,,0.0,,,C448,Conventional A/C,3.9,Electric furnace,Electricity,Advanced airtight wood stove,Mixed Wood,No,,,,,,,,,,,,,,
