HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
1908286,NF,A1B,D,2021-07-01,2021,Single Detached,187.2,Split level,1960,B1;B2;B3;B4;P1;P2,1.0,7.3706,12218.8,12.219,30418.5,8449.7,100740.6,27983.7,8449.5,0.0,6586.7,0.0,0.0,202635845,Air,,5770.0,t,5.77,3.19,2.01,,,62.0,,,,Mini-split ductless,1.80865,Heater w/ flame ret. head,Oil,,,Yes,TRANE,4TXK2312A10N0**,4MXW2312A10N0**,13000,7100,,,11,22,No,3.81,,0.312,
1917226,NF,A1W,D,2021-10-01,2021,Single Detached,241.9,Two storeys,2012,B1;B2;C1;F1;P1,1.0,2.0694,8335.3,8.335,26128.2,7257.9,69551.3,19320.0,7257.8,0.0,0.0,0.0,0.0,7993243,Air,,11920.4,T,5.28,3.35,2.18,,,113.0,,,ESTAR,Mini-split ductless,4.34,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,FUJITSU,AOU15RLS3,ASU15RLS3,15000,11200,,,13.4,25.3,No,4.396,,0.527,
1920884,NF,A1M,D,2021-10-01,2021,Single Detached,297.9,Two storeys,2019,B1;P1,1.0,1.5029,8804.5,8.804,21936.0,6093.4,71159.2,19766.6,6093.4,0.0,0.0,1794.5,0.0,6961729,Air,,10000.0,f,0.0,4.916,0.0,,,0.0,,,ESTAR,Mini-split ductless,3.958,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with pilot (sealed),Propane,Yes,FUJITSU,AOU12RLFW1,ASU12RLF1,12000,9400,,,11,22,No,3.517,,0.399,
1921726,NF,A1H,D,2021-10-01,2021,Single Detached,301.1,Two storeys,2009,B1,1.0,1.9294,7640.0,7.64,19529.9,5425.0,63742.6,17706.4,5425.0,0.0,0.0,0.0,0.0,5265756,Air,,6427.0,F,0.0,4.23,0.0,,,0.0,,,,Mini-split ductless,3.69,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with spark ignit. (sealed),Propane,Yes,DAIKIN,RXS15LVJU,FTXS15LVJU,18000,11900,10000,1.80,10.5,20,No,5.275,2.931,0.69,0.384
1922112,NF,A1H,D,2021-10-01,2021,Single Detached,371.5,One and a half,2019,B1;P1,1.0,1.8845,9733.6,9.734,28797.0,7999.2,71367.2,19824.4,7999.2,0.0,0.0,0.0,0.0,201851577,Air,,14126.9,f,0.0,3.54,0.0,,,0.0,,,,Mini-split ductless,3.5,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with spark ignit. (sealed),Propane,Yes,DAIKIN,3MXL24RMVJU,,24000,15500,,,12.5,18,No,7.034,,0.723,
1927987,NF,A1C,D,2021-10-01,2021,Single Detached,152.5,Two storeys,1945,B1;B2;B3;C1;F1,1.0,4.1933,7200.1,7.2,20318.1,5644.0,64733.5,17981.7,5643.9,0.0,0.0,0.0,0.0,10570123,Air,,3985.7,f,0.0,4.506,0.0,,,0.0,,,,Mini-split ductless,4.0385,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,LG,LSU120HSV5,LSN120HSV5,13600,8200,9600,1.80,10,22,Yes,3.986,2.813,0.554,0.391
1886650,NF,A0A,E,2021-10-01,2021,Single Detached,245.0,One storey,2013,B1,1.0,2.7683,6025.2,6.025,10645.8,2957.2,55601.1,15444.9,2957.2,0.0,0.0,0.0,0.0,10064023,Air,,7000.0,T,12.46,5.104,0.0,,,0.0,,,ESTAR,Mini-split ductless,3.843,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with spark ignit. (sealed),Propane,Yes,TOSOT,TM36H4O,,36000,26600,,,11.5,21,No,10.551,,1.751,
5188361,NF,A1L,D,2021-10-01,2021,Single Detached,190.7,Two storeys,2006,B1,1.0,1.9007,5253.2,5.253,12173.9,3381.7,56697.2,15749.3,3381.7,0.0,0.0,0.0,0.0,8858354,Air,,5568.3,F,0.0,4.164,0.0,,,0.0,,,ESTAR,Mini-split ductless,4.0155,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,SENVILLE,SENA/18HF/MOZ,,18000,11800,,,9.1,22.4,No,5.275,,1.004,
1942175,NF,A1G,D,2021-11-01,2021,Single Detached,323.0,Two storeys,2005,B1;B2;B3;B4;P1,1.0,2.7074,13193.0,13.193,85152.5,23653.7,128699.7,35750.2,23653.5,0.0,0.0,0.0,0.0,9571162,Air,,5275.3,F,0.0,4.702,0.0,,,0.0,,,,Mini-split ductless,3.9695,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with spark ignit. (sealed),Propane,Yes,,,,,,,,,,,,,,
1946116,NF,A0B,D,2021-11-01,2021,Single Detached,186.3,One storey,1974,B1;B2,1.0,5.5642,11957.5,11.958,50325.1,13979.3,92302.5,25639.8,13979.3,0.0,0.0,0.0,0.0,200059035,Air,,14268.4,f,0.0,2.77,0.0,,,0.0,,,,Mini-split ductless,3.45,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,COMFORT-AIRE,A-VMH24SU-1,B-VMH24SU-1,24000,15400,,,9.5,20,No,7.034,,0.588,
1946509,NF,A0A,D,2021-11-01,2021,Single Detached,237.6,Two storeys,1994,B1,1.0,5.1547,9963.4,9.963,42015.1,11671.0,85062.2,23628.6,11670.9,0.0,0.0,0.0,0.0,9680935,Air,,5275.3,F,0.0,2.998,0.0,,,0.0,,,,Mini-split ductless,2.578,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,LG,LAU150HYV2,LAN150HYV2,18000,11000,,,12.5,24,No,5.275,,0.529,
1946508,NF,A1Y,D,2021-11-01,2021,Single Detached,235.9,One storey,1984,B1;P1,1.0,3.3677,12677.2,12.677,59201.2,16444.9,101036.5,28065.9,16444.9,0.0,0.0,0.0,0.0,10255977,Air,,5568.3,F,0.0,3.724,0.0,,,0.0,,,,Mini-split ductless,3.153,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,AMERISTAR,M4THS1518A11N**,M4MHW1518A1N0**,19000,12100,,,9,15,No,5.568,,0.439,
