HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
1956589,SK,S0K,E,2022-03-01,2022,Single Detached,378.9,Two storeys,2009,B1,1.0,2.0843,15336.0,15.336,21798.0,6055.0,60250.8,16736.5,6055.0,0.0,0.0,0.0,0.0,205767475,Ground,,10850.0,F,0.0,5.66,0.0,,,0.0,,,C448,Conventional A/C,4.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Advanced airtight wood stove,Mixed Wood,No,,,,,,,,,,,,,,
5001349,SK,S7K,D,2022-05-01,2022,Single Detached,289.0,Two storeys,2021,B1,1.0,0.7644,6385.0,6.385,12623.0,3506.4,47494.0,13192.9,3506.4,0.0,0.0,0.0,0.0,9892779,Air,,13627.8,F,0.0,4.375,0.0,,,0.0,,,ESTAR,Central split system,3.4405,Electric furnace,Electricity,,,Yes,,,,,,,,,,,,,,
13704746,SK,S7J,E,2022-06-01,2022,Single Detached,174.9,One storey,1965,B1;B2,1.0,3.0678,13653.9,13.654,23022.4,6395.2,109656.9,30460.5,6395.1,9074.8,0.0,0.0,0.0,207098551,Air,,8570.0,T,14.03,3.63,2.0,,,70.0,,,ESTAR,Central single package system,3.36,Condensing furnace,Natural Gas,,,Yes,CARRIER,38MARBQ24AA3,CNPV*3017AL*,25400,15500,,,10,15.5,No,7.444,,0.545,
1921400,SK,S4N,E,2022-06-01,2022,Single Detached,191.0,One storey,1955,B1;B2,1.0,4.0603,15603.8,15.604,17905.9,4973.9,154732.0,42981.5,4973.9,22594.9,0.0,0.0,0.0,207202254,Air,,9230.0,T,9.23,4.0,2.0,,,74.0,,,ESTAR,Central split system,3.44,Furnace with continuous pilot,Natural Gas,,,Yes,CARRIER,38MARBQ18AA3,CNPV*2414AL*,18500,14600,,,10.5,17,No,5.422,,0.347,
1911897,SK,S9H,E,2022-06-01,2022,Single Detached,265.4,Split level,1964,B1;B2;B3,1.0,3.1637,18774.1,18.774,18226.8,5063.0,174136.5,48371.6,5063.1,27639.7,0.0,0.0,0.0,205291853,Air,,4542.6,F,0.0,4.54,0.0,,,0.0,,,ESTAR,Mini-split ductless,3.6705,Boiler  with continuous pilot,Natural Gas,Fireplace with pilot (unsealed),Natural Gas,Yes,SAMSUNG,AJ020TXJ2CH,,18000,11500,,,10,19.5,No,5.275,,0.281,
16433746,SK,S7M,E,2022-07-01,2022,Single Detached,273.3,One storey,1976,B1,1.0,2.4599,14184.9,14.185,12928.3,3591.2,115605.4,32112.9,3591.1,13195.4,0.0,0.0,0.0,207098553,Air,,7444.0,T,7.44,4.051,2.0,,,70.0,,,ESTAR,Central split system,3.2105,Condensing furnace,Natural Gas,Wood fireplace insert,Mixed Wood,Yes,CARRIER,38MARBQ24AA3,CNPV*3617AL*,25400,15500,,,10,15.5,No,7.444,,0.525,
9772746,SK,S0G,E,2022-05-01,2022,Single Detached,217.8,One storey,2009,B1,1.0,1.5042,8169.6,8.17,11722.5,3256.3,80925.1,22479.4,3256.1,4797.0,0.0,0.0,0.0,207098551,Air,,7444.0,T,6.39,4.54,1.8,,,85.0,,,ESTAR,Mini-split ductless,3.2105,Condensing furnace,Natural Gas,Fireplace with spark ignit. (sealed),Natural Gas,Yes,CARRIER,38MARBQ24AA3,CNPV*3017AL*,25400,15500,,,10,15.5,No,7.444,,0.911,
5014087,SK,S0K,D,2022-07-01,2022,Single Detached,287.3,One storey,1999,B1;B2,1.0,2.0342,17840.5,17.84,7088.9,1969.2,228657.8,63516.6,1969.2,45755.9,0.0,0.0,0.0,8111355,Air,,2960.0,F,0.0,4.39,0.0,,,0.0,,,ESTAR,Mini-split ductless,3.27,Boiler  with continuous pilot,Natural Gas,,,Yes,LG,LMU30CHV,,32000,19600,,,9.2,22,No,9.378,,0.526,
320093,SK,S7J,E,2022-07-01,2022,Single Detached,180.9,One storey,1964,B1,1.0,4.072,10860.5,10.86,13388.8,3719.1,87102.6,24195.4,3719.2,8528.7,0.0,0.0,0.0,207098551,Air,,7440.0,T,7.44,4.051,2.0,,,70.0,,,ESTAR,Central split system,3.2105,Condensing furnace,Natural Gas,,,Yes,CARRIER,38MARBQ24AA3,CNPV*3017AL*,25400,15500,,,10,15.5,No,7.444,,0.685,
5012073,SK,S7J,E,2022-07-01,2022,Single Detached,167.3,One storey,1958,B1;B2,1.0,7.3,15368.3,15.368,13576.1,3771.2,131120.6,36422.7,3771.1,17655.1,0.0,0.0,0.0,207098551,Air,,7444.0,T,7.44,4.051,2.0,,,70.0,,,ESTAR,Central split system,3.2105,Condensing furnace,Natural Gas,Wood furnace,Mixed Wood,Yes,CARRIER,38MARBQ24AA3,CNPV*3017AL*,25400,15500,,,10,15.5,No,7.444,,0.484,
