HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
1873998,YK,Y1A,D,2021-06-01,2021,Single Detached,186.8,One storey,1978,B1,1.0,2.6286,10893.5,10.894,34367.3,9546.5,78747.5,21874.5,9546.5,0.0,0.0,0.0,0.0,201754323,Air,,10550.6,T,11.14,3.12,1.83,,,100.0,,,,Central split system,3.47,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,Mitsubishi Electric,PUZ-HA36NHA5,PVA-A36AA*,38000,29000,,,11,17.8,No,11.137,,1.022,
1917788,YK,Y1A,D,2021-10-01,2021,Single Detached,216.5,One storey,2004,C1;F1,1.0,1.6078,13920.4,13.92,41298.8,11472.0,91990.9,25553.2,11472.0,0.0,0.0,2337.8,0.0,201754323,Air,,26030.0,F,0.0,3.12,0.0,,,0.0,,,,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with pilot (unsealed),Propane,Yes,Mitsubishi Electric,PUZ-HA36NHA5,PVA-A36AA*,38000,29000,,,11,17.8,No,11.137,,0.8,
5344728,YK,Y1A,D,2021-11-01,2021,Single Detached,165.1,One storey,1969,B1;P1,1.0,2.1552,9704.9,9.705,31917.6,8866.1,75025.8,20840.7,8866.2,0.0,0.0,0.0,0.0,201754495,Air,,32879.9,F,0.0,3.24,0.0,,,0.0,,,,Not installed,0.0,Electric furnace,Electricity,Advanced airtight wood stove,Softwood,Yes,Mitsubishi Electric,PUZ-HA42NKA,PVA-A42AA*,48000,42000,,,11,15.3,No,14.067,,1.45,
5344693,YK,Y1A,E,2022-01-01,2022,Single Detached,138.7,One storey,1977,C1;F1,1.0,5.2592,11943.3,11.943,30054.9,8348.7,75775.1,21048.8,8348.7,0.0,0.0,0.0,0.0,8858354,Air,,7000.0,T,5.57,3.54,1.97,,,53.0,,,ESTAR,Mini-split ductless,3.44,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Advanced airtight wood stove,Softwood,Yes,SENVILLE,SENA/18HF/MOZ,,18000,11800,,,9.1,22.4,No,5.275,,0.442,
1872978,YK,Y1A,E,2022-01-01,2022,Single Detached,282.7,Two storeys,1994,B1,1.0,1.5435,14847.4,14.847,53057.5,14738.3,99160.9,27544.9,14738.2,0.0,0.0,0.0,0.0,206223059,Air,,32881.7,T,14.07,3.44,2.05,,,100.0,,,ESTAR,Central single package system,3.199,Electric furnace,Electricity,,,Yes,,,,,,,,,,,,,,
3138746,YK,Y1A,E,2022-04-01,2022,Single Detached,192.1,One storey,2018,B1,1.0,0.9841,5586.7,5.587,14683.9,4078.9,53333.7,14815.0,4078.9,0.0,0.0,0.0,0.0,10221199,Air,,12800.0,T,5.54,3.51,3.01,,,66.0,,,ESTAR,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,PANASONIC,CU-3E19RBU-5,,19000,20800,18900,1.88,10.1,22,Yes,5.568,5.539,0.997,0.991
5344728,YK,Y1A,E,2022-06-01,2022,Single Detached,165.1,One storey,1969,B1;P1,1.0,1.8479,8794.0,8.794,17330.5,4814.1,75139.2,20872.2,4814.2,0.0,3081.1,0.0,1002.8,201754495,Air,,32879.9,F,0.0,3.24,0.0,,,0.0,,,,Not installed,0.0,Mid-efficiency furnace (no dil. air),Oil,Advanced airtight wood stove,Softwood,Yes,Mitsubishi Electric,PUZ-HA42NKA,PVA-A42AA*,48000,42000,,,11,15.3,No,14.067,,1.6,
1917788,YK,Y1A,E,2022-06-01,2022,Single Detached,216.5,One storey,2004,C1;F1,1.0,1.4209,14059.3,14.059,42472.4,11798.0,93164.7,25879.3,11797.9,0.0,0.0,2337.8,0.0,201754323,Air,,26030.0,F,0.0,3.12,0.0,,,0.0,,,,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with pilot (unsealed),Propane,Yes,Mitsubishi Electric,PUZ-HA36NHA5,PVA-A36AA*,38000,29000,,,11,17.8,No,11.137,,0.792,
1666439,YK,Y1A,E,2022-07-01,2022,Single Detached,165.6,One storey,1964,B1,1.0,4.0119,13197.5,13.198,24906.5,6918.5,90312.9,25087.1,6918.7,0.0,5716.7,0.0,0.0,10221199,Air,,12797.2,T,7.5,3.51,2.1,,,72.0,,,,Mini-split ductless,3.0,Mid-efficiency boiler  (no dil. air),Oil,,,Yes,PANASONIC,CU-3E19RBU-5,,19000,20800,18900,1.88,10.1,22,Yes,5.568,5.539,0.422,0.42
1863035,YK,Y1A,E,2022-08-01,2022,"Row house, end unit",165.1,One storey,2004,B1,1.0,2.8173,7018.0,7.018,12180.8,3383.6,60893.3,16914.9,3383.6,0.0,0.0,1298.3,0.0,10221199,Air,,12797.2,T,12.8,3.51,2.1,,,66.0,,,ESTAR,Not installed,0.0,Condensing furnace,Propane,,,Yes,PANASONIC,CU-3E19RBU-5,,19000,20800,18900,1.88,10.1,22,Yes,5.568,5.539,0.793,0.789
