province,elec_cents_per_kwh,elec_source,elec_confidence,gas_dollars_per_m3,gas_source,heating_oil_cad_per_litre,heating_oil_source,propane_cad_per_litre,propane_source,heating_wood_cad_per_kwh
AB,22.900,offgridsolarsystem_blog,unverified,0.1388,,,,,,
BC,10.970,offgridsolarsystem_blog,unverified,0.4071,,,,,,
MB,10.600,offgridsolarsystem_blog,unverified,0.2537,,,,,,
NB,15.400,offgridsolarsystem_blog,unverified,0.5137,,,,,,
NL,15.800,offgridsolarsystem_blog,unverified,,,,,,,
NS,19.128,offgridsolarsystem_blog,unverified,0.7026,,,,,,
NT,29.500,offgridsolarsystem_blog,unverified,,,,,,,
NU,35.400,offgridsolarsystem_blog,unverified,,,,,,,
ON,17.000,offgridsolarsystem_blog,unverified,0.2429,,,,,,
PE,19.700,offgridsolarsystem_blog,unverified,,,,,,,
QC,8.300,offgridsolarsystem_blog,unverified,0.1940,,,,,,
SK,15.476,offgridsolarsystem_blog,verified_against_primary,0.2984,,,,,,
YT,21.000,offgridsolarsystem_blog,unverified,,,,,,,
